дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-07-28 09:00:01	35829	Сенсор № 1053; Кейс № 6744;	ftp://ftp.cloud.gcm/traffic/1053/1626715778_2021_07_19____20_29_38_385690.pcap
2021-07-28 09:00:02	35830	Сенсор № 1030; Кейс № 6594;	ftp://ftp.cloud.gcm//traffic/1030/1626409352_2021_07_16____07_22_32_707457.pcap , ftp://ftp.cloud.gcm/traffic/1030/1626769820_2021_07_20____11_30_20_000862.pcap
2021-07-28 09:00:03	35831	Сенсор № 1036; Кейс № 7190;	ftp://ftp.cloud.gcm/traffic/1036/1627401660_2021_07_27____19_01_00_646657.pcap , ftp://ftp.cloud.gcm/traffic/1036/1627389764_2021_07_27____15_42_44_918467.pcap , ftp://ftp.cloud.gcm/traffic/1036/1627403247_2021_07_27____19_27_27_551814.pcap , ftp://ftp.cloud.gcm/traffic/1036/1627399450_2021_07_27____18_24_10_584342.pcap
2021-07-28 09:00:20	35832	Сенсор № 1002; Кейс № 7194; Воздействие так же направлено на следующие адреса: 95.173.136.80, 95.173.128.90	ftp://ftp.cloud.gcm/traffic/1002/1627442956_2021_07_28____06_29_16_410416.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627439543_2021_07_28____05_32_23_159739.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437679_2021_07_28____05_01_19_373060.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627436141_2021_07_28____04_35_41_849687.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627435898_2021_07_28____04_31_38_081495.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627435414_2021_07_28____04_23_34_342686.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433104_2021_07_28____03_45_04_944788.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627448426_2021_07_28____08_00_26_744905.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627443577_2021_07_28____06_39_37_950506.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627441071_2021_07_28____05_57_51_021045.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627440527_2021_07_28____05_48_47_771449.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437779_2021_07_28____05_02_59_284384.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437693_2021_07_28____05_01_33_301298.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437681_2021_07_28____05_01_21_978936.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437666_2021_07_28____05_01_06_250230.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437111_2021_07_28____04_51_51_900065.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433771_2021_07_28____03_56_11_907956.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627432569_2021_07_28____03_36_09_477920.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627430458_2021_07_28____03_00_58_079947.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627447479_2021_07_28____07_44_39_882458.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627441075_2021_07_28____05_57_55_335827.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627440434_2021_07_28____05_47_14_140050.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437838_2021_07_28____05_03_58_487788.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437743_2021_07_28____05_02_23_569147.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437739_2021_07_28____05_02_19_053240.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437702_2021_07_28____05_01_42_287420.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433040_2021_07_28____03_44_00_082489.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433017_2021_07_28____03_43_37_032330.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627432580_2021_07_28____03_36_20_399443.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627432376_2021_07_28____03_32_56_903344.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627444793_2021_07_28____06_59_53_090679.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627444788_2021_07_28____06_59_48_636653.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627442909_2021_07_28____06_28_29_326833.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627441077_2021_07_28____05_57_57_640192.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627439908_2021_07_28____05_38_28_015293.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627438382_2021_07_28____05_13_02_738964.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437684_2021_07_28____05_01_24_352234.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437335_2021_07_28____04_55_35_455446.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437008_2021_07_28____04_50_08_667385.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627436131_2021_07_28____04_35_31_215631.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433204_2021_07_28____03_46_44_623392.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433161_2021_07_28____03_46_01_834377.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627430469_2021_07_28____03_01_09_457706.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627438275_2021_07_28____05_11_15_466053.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437752_2021_07_28____05_02_32_698222.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437067_2021_07_28____04_51_07_826356.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627434872_2021_07_28____04_14_32_198565.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627432723_2021_07_28____03_38_43_613225.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627442960_2021_07_28____06_29_20_878267.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627439540_2021_07_28____05_32_20_394560.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437794_2021_07_28____05_03_14_515387.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437736_2021_07_28____05_02_16_516972.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627435381_2021_07_28____04_23_01_268153.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433173_2021_07_28____03_46_13_809232.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627443878_2021_07_28____06_44_38_388873.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627448425_2021_07_28____08_00_25_753991.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627432557_2021_07_28____03_35_57_513586.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627440806_2021_07_28____05_53_26_993575.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627430432_2021_07_28____03_00_32_995991.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627438526_2021_07_28____05_15_26_204480.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437827_2021_07_28____05_03_47_979144.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437784_2021_07_28____05_03_04_229242.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437733_2021_07_28____05_02_13_882461.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437706_2021_07_28____05_01_46_922108.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437231_2021_07_28____04_53_51_090215.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627432582_2021_07_28____03_36_22_717125.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627432567_2021_07_28____03_36_07_199284.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627430469_2021_07_28____03_01_09_929363.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627442906_2021_07_28____06_28_26_850241.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627440877_2021_07_28____05_54_37_404724.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627440108_2021_07_28____05_41_48_552331.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627439944_2021_07_28____05_39_04_309741.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437670_2021_07_28____05_01_10_871398.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437649_2021_07_28____05_00_49_016005.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627435378_2021_07_28____04_22_58_874861.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627447135_2021_07_28____07_38_55_948200.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627438384_2021_07_28____05_13_04_971492.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437833_2021_07_28____05_03_53_288191.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437759_2021_07_28____05_02_39_846447.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627436131_2021_07_28____04_35_31_136602.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433771_2021_07_28____03_56_11_341299.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433181_2021_07_28____03_46_21_589105.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433118_2021_07_28____03_45_18_180410.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627432559_2021_07_28____03_35_59_950635.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627430431_2021_07_28____03_00_31_971528.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627446766_2021_07_28____07_32_46_381032.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627441460_2021_07_28____06_04_20_217208.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627440162_2021_07_28____05_42_42_534679.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627439542_2021_07_28____05_32_22_636490.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437835_2021_07_28____05_03_55_799078.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437773_2021_07_28____05_02_53_435575.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437618_2021_07_28____05_00_18_914905.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437376_2021_07_28____04_56_16_773465.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437215_2021_07_28____04_53_35_886327.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627437106_2021_07_28____04_51_46_577762.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627435917_2021_07_28____04_31_57_352991.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627434896_2021_07_28____04_14_56_373499.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433166_2021_07_28____03_46_06_693719.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627433151_2021_07_28____03_45_51_730905.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627432743_2021_07_28____03_39_03_878405.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627430428_2021_07_28____03_00_28_492466.pcap , ftp://ftp.cloud.gcm/traffic/1002/1627430424_2021_07_28____03_00_24_967075.pcap
2021-07-28 09:00:20	35833	Сенсор № 1134; Кейс № 7192;	ftp://ftp.cloud.gcm/traffic/1134/1627407020_2021_07_27____20_30_20_281179.pcap , ftp://ftp.cloud.gcm/traffic/1134/1627436351_2021_07_28____04_39_11_858996.pcap
2021-07-28 14:00:01	35834	Сенсор № 1099; Кейс № 7208;	ftp://ftp.cloud.gcm/traffic/1099/1627450662_2021_07_28____08_37_42_770508.pcap
2021-07-28 14:00:02	35835	Сенсор № 1072; Кейс № 7209; Воздействие так же направлено на следующие адреса: 91.201.209.251, 91.201.209.252, 91.201.209.242, 91.201.209.243, 91.201.209.253	ftp://ftp.cloud.gcm/traffic/1072/1627455585_2021_07_28____09_59_45_711233.pcap , ftp://ftp.cloud.gcm/traffic/1072/1627455588_2021_07_28____09_59_48_141932.pcap , ftp://ftp.cloud.gcm/traffic/1072/1627448504_2021_07_28____08_01_44_473341.pcap , ftp://ftp.cloud.gcm/traffic/1072/1627447061_2021_07_28____07_37_41_735741.pcap
2021-07-28 15:06:11	35836	Сенсор № 1100; Кейс № 6885;	ftp://ftp.cloud.gcm/traffic/1100/1627462343_2021_07_28____11_52_23_112537.pcap , ftp://ftp.cloud.gcm/traffic/1100/1627463265_2021_07_28____12_07_45_033966.pcap , ftp://ftp.cloud.gcm/traffic/1100/1627313610_2021_07_26____18_33_30_786711.pcap , ftp://ftp.cloud.gcm/traffic/1100/1626904332_2021_07_22____00_52_12_680937.pcap , ftp://ftp.cloud.gcm/traffic/1100/1627462390_2021_07_28____11_53_10_896734.pcap
