дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-12-23 09:20:39	39185	Сенсор № 1070; Кейс № 14965;	ftp://ftp.cloud.gcm/traffic/1070/1640100398_2021_12_21____18_26_38_590445.pcap
2021-12-23 09:20:40	39186	Сенсор № 1051; Кейс № 14967;	ftp://ftp.cloud.gcm/traffic/1051/1640101198_2021_12_21____18_39_58_278708.pcap
2021-12-23 09:20:40	39187	Сенсор № 1051; Кейс № 14970;	ftp://ftp.cloud.gcm/traffic/1051/1640100950_2021_12_21____18_35_50_612317.pcap
2021-12-23 09:20:41	39188	Сенсор № 1124; Кейс № 14974;	ftp://ftp.cloud.gcm/traffic/1124/1640107954_2021_12_21____20_32_34_604535.pcap
2021-12-23 09:20:41	39189	Сенсор № 1035; Кейс № 14973;	ftp://ftp.cloud.gcm/traffic/1035/1640106035_2021_12_21____20_00_35_073715.pcap
2021-12-23 09:20:41	39190	Сенсор № 1030; Кейс № 14991;	ftp://ftp.cloud.gcm/traffic/1030/1640167506_2021_12_22____13_05_06_259071.pcap
2021-12-23 09:20:41	39191	Сенсор № 1139; Кейс № 14992;	ftp://ftp.cloud.gcm/traffic/1139/1640172809_2021_12_22____14_33_29_456683.pcap
2021-12-23 09:20:43	39192	Сенсор № 1118; Кейс № 14993;	ftp://ftp.cloud.gcm/traffic/1118/1640173539_2021_12_22____14_45_39_789687.pcap
2021-12-23 09:20:44	39193	Сенсор № 1130; Кейс № 15000;	ftp://ftp.cloud.gcm/traffic/1130/1640167150_2021_12_22____12_59_10_905453.pcap
2021-12-23 09:20:48	39194	Сенсор № 1030; Кейс № 14998;	ftp://ftp.cloud.gcm/traffic/1030/1640184627_2021_12_22____17_50_27_924352.pcap
2021-12-23 09:20:48	39195	Сенсор № 1130; Кейс № 14994;	ftp://ftp.cloud.gcm/traffic/1130/1640174296_2021_12_22____14_58_16_679494.pcap
2021-12-23 09:20:49	39196	Сенсор № 1044сенсор № 1072; Кейс № 14988; Воздействие так же направлено на следующие адреса: 91.201.211.33	ftp://ftp.cloud.gcm/traffic/1044/1640161131_2021_12_22____11_18_51_359325.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640161131_2021_12_22____11_18_51_991045.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640161131_2021_12_22____11_18_51_537352.pcap
2021-12-23 09:20:50	39197	Сенсор № 1072; Кейс № 15002; Воздействие так же направлено на следующие адреса: 91.201.211.118	ftp://ftp.cloud.gcm/traffic/1072/1640203511_2021_12_22____23_05_11_995826.pcap
2021-12-23 09:20:50	39198	Сенсор № 1130; Кейс № 15003;	ftp://ftp.cloud.gcm/traffic/1130/1640203497_2021_12_22____23_04_57_771779.pcap
2021-12-23 09:20:52	39199	Сенсор № 1052; Кейс № 15004;	ftp://ftp.cloud.gcm/traffic/1052/1640227108_2021_12_23____05_38_28_551698.pcap
2021-12-23 09:20:52	39200	Сенсор № 1051; Кейс № 15005;	ftp://ftp.cloud.gcm/traffic/1051/1640231778_2021_12_23____06_56_18_877174.pcap
2021-12-23 09:20:52	39201	Сенсор № 1130; Кейс № 15006;	ftp://ftp.cloud.gcm/traffic/1130/1640231399_2021_12_23____06_49_59_016150.pcap
2021-12-23 09:20:52	39202	Сенсор № 1022; Кейс № 15007;	ftp://ftp.cloud.gcm/traffic/1022/1640231397_2021_12_23____06_49_57_185197.pcap
2021-12-23 09:20:53	39203	Сенсор № 1054; Кейс № 15008;	ftp://ftp.cloud.gcm/traffic/1054/1640222150_2021_12_23____04_15_50_101977.pcap
2021-12-23 09:20:53	39204	Сенсор № 1010; Кейс № 15009;	ftp://ftp.cloud.gcm/traffic/1010/1640217627_2021_12_23____03_00_27_606774.pcap
2021-12-23 09:20:54	39205	Сенсор № 1070; Кейс № 15010;	ftp://ftp.cloud.gcm/traffic/1070/1640172335_2021_12_22____14_25_35_249480.pcap
