дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-09-13 07:00:02	36733	Сенсор № 1070; Кейс № 9319;	ftp://ftp.cloud.gcm/traffic/1070/1631292284_2021_09_10____19_44_44_889541.pcap
2021-09-13 07:00:03	36734	Сенсор № 1017; Кейс № 9320;	ftp://ftp.cloud.gcm/traffic/1017/1631288417_2021_09_10____18_40_17_098586.pcap
2021-09-13 07:00:03	36735	Сенсор № 1045; Кейс № 9322;	ftp://ftp.cloud.gcm/traffic/1045/1631274262_2021_09_10____14_44_22_129141.pcap
2021-09-13 07:00:04	36736	Сенсор № 1072; Кейс № 9323;	ftp://ftp.cloud.gcm/traffic/1072/1631288434_2021_09_10____18_40_34_228304.pcap
2021-09-13 07:00:04	36737	Сенсор № 1106; Кейс № 9326;	ftp://ftp.cloud.gcm/traffic/1106/1631298677_2021_09_10____21_31_17_829670.pcap
2021-09-13 07:00:08	36738	Сенсор № 1037; Кейс № 9329;	ftp://ftp.cloud.gcm/traffic/1037/1631239890_2021_09_10____05_11_30_918864.pcap
2021-09-13 07:00:11	36739	Сенсор № 1072; Кейс № 9307; Воздействие так же направлено на следующие адреса: 91.201.209.250, 91.201.209.242, 91.201.209.243, 91.201.209.253	ftp://ftp.cloud.gcm/traffic/1072/1631300145_2021_09_10____21_55_45_924453.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631246253_2021_09_10____06_57_33_330671.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631243910_2021_09_10____06_18_30_951961.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631234032_2021_09_10____03_33_52_941849.pcap
2021-09-13 07:00:12	36740	Сенсор № 1030; Кейс № 9343;	ftp://ftp.cloud.gcm/traffic/1030/1631310634_2021_09_11____00_50_34_998303.pcap
2021-09-13 07:00:12	36741	Сенсор № 1070; Кейс № 9345;	ftp://ftp.cloud.gcm/traffic/1070/1631309197_2021_09_11____00_26_37_256425.pcap
2021-09-13 07:00:13	36742	Сенсор № 1017; Кейс № 9347;	ftp://ftp.cloud.gcm/traffic/1017/1631312610_2021_09_11____01_23_30_296843.pcap
2021-09-13 07:00:13	36743	Сенсор № 1100; Кейс № 9349;	ftp://ftp.cloud.gcm/traffic/1100/1631378094_2021_09_11____19_34_54_087517.pcap
2021-09-13 07:00:14	36744	Сенсор № 1035; Кейс № 9351;	ftp://ftp.cloud.gcm/traffic/1035/1631336939_2021_09_11____08_08_59_599132.pcap
2021-09-13 07:00:14	36745	Сенсор № 1061; Кейс № 9357;	ftp://ftp.cloud.gcm/traffic/1061/1631389443_2021_09_11____22_44_03_713223.pcap
2021-09-13 07:00:14	36746	Сенсор № 1030; Кейс № 9352;	ftp://ftp.cloud.gcm/traffic/1030/1631398348_2021_09_12____01_12_28_184935.pcap
2021-09-13 07:00:18	36747	Сенсор № 1061; Кейс № 9354;	ftp://ftp.cloud.gcm/traffic/1061/1631391809_2021_09_11____23_23_29_539806.pcap
2021-09-13 07:00:19	36748	Сенсор № 1005; Кейс № 9353;	ftp://ftp.cloud.gcm/traffic/1005/1631396042_2021_09_12____00_34_02_918759.pcap
2021-09-13 07:00:19	36749	Сенсор № 1035; Кейс № 9359;	ftp://ftp.cloud.gcm/traffic/1035/1631375981_2021_09_11____18_59_41_796328.pcap
2021-09-13 07:00:20	36750	Сенсор № 1088; Кейс № 9355;	ftp://ftp.cloud.gcm/traffic/1088/1631387091_2021_09_11____22_04_51_139583.pcap
2021-09-13 07:00:22	36751	Сенсор № 1088; Кейс № 9358;	ftp://ftp.cloud.gcm/traffic/1088/1631415243_2021_09_12____05_54_03_714273.pcap
