дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-06-23 08:52:37	34721	Сенсор № 1030; Кейс № 5559;	ftp://ftp.cloud.gcm/traffic/1030/1624388413_2021_06_22____22_00_13_313995.pcap
2021-06-23 08:52:37	34722	Сенсор № 1052; Кейс № 5562;	ftp://ftp.cloud.gcm/traffic/1052/1624334415_2021_06_22____07_00_15_655465.pcap
2021-06-23 08:52:37	34723	Сенсор № 1003; Кейс № 5558;	ftp://ftp.cloud.gcm/traffic/1003/1624358500_2021_06_22____13_41_40_681605.pcap , ftp://ftp.cloud.gcm/traffic/1003/1624358482_2021_06_22____13_41_22_526746.pcap , ftp://ftp.cloud.gcm/traffic/1003/1624358483_2021_06_22____13_41_23_543266.pcap , ftp://ftp.cloud.gcm/traffic/1003/1624358483_2021_06_22____13_41_23_025746.pcap
2021-06-23 08:52:37	34724	Сенсор № 1122; Кейс № 5563;	ftp://ftp.cloud.gcm/traffic/1122/1624395421_2021_06_22____23_57_01_572396.pcap
дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-06-23 14:49:17	34725	Сенсор № 1072; Кейс № 5570;	ftp://ftp.cloud.gcm/traffic/1072/1624442158_2021_06_23____12_55_58_428304.pcap
2021-06-23 15:30:01	34726	Сенсор № 1017; Кейс № 5574;	ftp://ftp.cloud.gcm/traffic/1017/1624446702_2021_06_23____14_11_42_288015.pcap
2021-06-23 16:30:02	34727	Сенсор № 1106; Кейс № 5579; Воздействие так же направлено на следующие адреса: 212.22.95.45	ftp://ftp.cloud.gcm/traffic/1106/1624452385_2021_06_23____15_46_25_164603.pcap
2021-06-23 16:30:02	34728	Сенсор № 1017; Кейс № 5578;	ftp://ftp.cloud.gcm/traffic/1017/1624450980_2021_06_23____15_23_00_546521.pcap
2021-06-23 17:00:02	34729	Сенсор № 1038; Кейс № 5577;	ftp://ftp.cloud.gcm/traffic/1038/1624449656_2021_06_23____15_00_56_786911.pcap
2021-06-23 17:00:02	34730	Сенсор № 1072; Кейс № 5571; Воздействие так же направлено на следующие адреса: 91.201.209.242, 91.201.209.243, 91.201.209.245, 91.201.209.253	ftp://ftp.cloud.gcm/traffic/1072/1624447523_2021_06_23____14_25_23_511254.pcap
2021-06-23 17:30:03	34731	Сенсор № 1038; Кейс № 5580;	ftp://ftp.cloud.gcm/traffic/1038/1624452793_2021_06_23____15_53_13_873295.pcap
2021-06-23 18:00:02	34732	Сенсор № 1036; Кейс № 5583;	ftp://ftp.cloud.gcm/traffic/1036/1624456451_2021_06_23____16_54_11_595205.pcap
2021-06-23 18:00:03	34733	Сенсор № 1036; Кейс № 5584;	ftp://ftp.cloud.gcm/traffic/1036/1624456091_2021_06_23____16_48_11_243800.pcap
2021-06-23 18:00:04	34734	Сенсор № 1134; Кейс № 5585;	ftp://ftp.cloud.gcm/traffic/1134/1624452179_2021_06_23____15_42_59_538967.pcap
