дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-12-07 07:00:02	38844	Сенсор № 1030; Кейс № 12909;	ftp://ftp.cloud.gcm/traffic/1030/1638811744_2021_12_06____20_29_04_860495.pcap
2021-12-07 07:00:11	38845	Сенсор № 1076; Кейс № 12908;	ftp://ftp.cloud.gcm/traffic/1076/1638804937_2021_12_06____18_35_37_284655.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638804831_2021_12_06____18_33_51_015841.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638746956_2021_12_06____02_29_16_553318.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801044_2021_12_06____17_30_44_682208.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638808437_2021_12_06____19_33_57_135056.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801012_2021_12_06____17_30_12_117064.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801123_2021_12_06____17_32_03_891476.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801057_2021_12_06____17_30_57_230912.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638804853_2021_12_06____18_34_13_058197.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638805381_2021_12_06____18_43_01_569279.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638804886_2021_12_06____18_34_46_997036.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801073_2021_12_06____17_31_13_385231.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801052_2021_12_06____17_30_52_760492.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801009_2021_12_06____17_30_09_751116.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638747044_2021_12_06____02_30_44_200608.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638804895_2021_12_06____18_34_55_213711.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638747015_2021_12_06____02_30_15_896274.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638746991_2021_12_06____02_29_51_224883.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638746970_2021_12_06____02_29_30_871480.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638747050_2021_12_06____02_30_50_505422.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638747108_2021_12_06____02_31_48_238909.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801065_2021_12_06____17_31_05_219805.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638804928_2021_12_06____18_35_28_991599.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638746979_2021_12_06____02_29_39_092818.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638804947_2021_12_06____18_35_47_731019.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638811907_2021_12_06____20_31_47_531886.pcap
2021-12-07 07:00:15	38846	Сенсор № 1076; Кейс № 12910;	ftp://ftp.cloud.gcm/traffic/1076/1638803936_2021_12_06____18_18_56_591146.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638803601_2021_12_06____18_13_21_498267.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638806684_2021_12_06____19_04_44_876914.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638803938_2021_12_06____18_18_58_990206.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638804592_2021_12_06____18_29_52_388274.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638804591_2021_12_06____18_29_51_897557.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638803603_2021_12_06____18_13_23_908508.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638800767_2021_12_06____17_26_07_953015.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638808124_2021_12_06____19_28_44_462406.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638747265_2021_12_06____02_34_25_488857.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638804589_2021_12_06____18_29_49_681250.pcap
2021-12-07 07:00:22	38847	Сенсор № 1076; Кейс № 12907;	ftp://ftp.cloud.gcm/traffic/1076/1638802599_2021_12_06____17_56_39_617100.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638800224_2021_12_06____17_17_04_600025.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638800288_2021_12_06____17_18_08_000851.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638802597_2021_12_06____17_56_37_275387.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638802609_2021_12_06____17_56_49_851975.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638800232_2021_12_06____17_17_12_600186.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638802612_2021_12_06____17_56_52_406125.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638802506_2021_12_06____17_55_06_129396.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638800304_2021_12_06____17_18_24_484720.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638802611_2021_12_06____17_56_51_881927.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638806313_2021_12_06____18_58_33_800943.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638806230_2021_12_06____18_57_10_777434.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638806316_2021_12_06____18_58_36_009859.pcap
2021-12-07 07:01:23	38848	Сенсор № 1076; Кейс № 12911;	ftp://ftp.cloud.gcm/traffic/1076/1638803363_2021_12_06____18_09_23_111278.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638803624_2021_12_06____18_13_44_493310.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638808197_2021_12_06____19_29_57_170357.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638808008_2021_12_06____19_26_48_305520.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638802977_2021_12_06____18_02_57_995859.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638813414_2021_12_06____20_56_54_805596.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638816538_2021_12_06____21_48_58_328460.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638813212_2021_12_06____20_53_32_946398.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638802953_2021_12_06____18_02_33_896397.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638811724_2021_12_06____20_28_44_935954.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638803537_2021_12_06____18_12_17_081558.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638808192_2021_12_06____19_29_52_335676.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638747239_2021_12_06____02_33_59_143607.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638808165_2021_12_06____19_29_25_935106.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638746800_2021_12_06____02_26_40_193091.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638802785_2021_12_06____17_59_45_231312.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638804730_2021_12_06____18_32_10_648891.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638817209_2021_12_06____22_00_09_235424.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801559_2021_12_06____17_39_19_274256.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638803555_2021_12_06____18_12_35_010725.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638807746_2021_12_06____19_22_26_132846.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801397_2021_12_06____17_36_37_862720.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638802649_2021_12_06____17_57_29_378211.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638801428_2021_12_06____17_37_08_107406.pcap , ftp://ftp.cloud.gcm/traffic/1076/1638800194_2021_12_06____17_16_34_704373.pcap
2021-12-07 07:01:24	38849	Сенсор № 1099; Кейс № 12914;	ftp://ftp.cloud.gcm/traffic/1099/1638803037_2021_12_06____18_03_57_769812.pcap
2021-12-07 07:01:24	38850	Сенсор № 1054; Кейс № 12916; Воздействие так же направлено на следующие адреса: 144.206.11.43	ftp://ftp.cloud.gcm/traffic/1054/1638817994_2021_12_06____22_13_14_316195.pcap , ftp://ftp.cloud.gcm/traffic/1054/1638754507_2021_12_06____04_35_07_204477.pcap
2021-12-07 07:01:25	38851	Сенсор № 1054; Кейс № 12917;	ftp://ftp.cloud.gcm/traffic/1054/1638818001_2021_12_06____22_13_21_332296.pcap
2021-12-07 07:01:25	38852	Сенсор № 1106; Кейс № 12918; Воздействие так же направлено на следующие адреса: 212.22.95.37	ftp://ftp.cloud.gcm/traffic/1106/1638802145_2021_12_06____17_49_05_521330.pcap
2021-12-07 07:01:41	38853	Сенсор № 1106; Кейс № 12920;	ftp://ftp.cloud.gcm/traffic/1106/1638750295_2021_12_06____03_24_55_652356.pcap
