дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-07-21 09:00:02	35663	Сенсор № 1002; Кейс № 6799;	ftp://ftp.cloud.gcm/traffic/1002/1626805071_2021_07_20____21_17_51_040943.pcap
2021-07-21 09:00:02	35664	Сенсор № 1002; Кейс № 6800;	ftp://ftp.cloud.gcm/traffic/1002/1626800414_2021_07_20____20_00_14_851999.pcap
2021-07-21 09:00:03	35665	Сенсор № 1002; Кейс № 6801;	ftp://ftp.cloud.gcm/traffic/1002/1626796980_2021_07_20____19_03_00_481035.pcap
2021-07-21 09:00:03	35666	Сенсор № 1002; Кейс № 6804;	ftp://ftp.cloud.gcm/traffic/1002/1626789945_2021_07_20____17_05_45_484520.pcap
2021-07-21 09:00:08	35667	Сенсор № 1002; Кейс № 6805;	ftp://ftp.cloud.gcm/traffic/1002/1626756644_2021_07_20____07_50_44_726616.pcap
2021-07-21 09:00:08	35668	Сенсор № 1099; Кейс № 6807;	ftp://ftp.cloud.gcm/traffic/1099/1626796447_2021_07_20____18_54_07_934588.pcap
2021-07-21 09:00:09	35669	Сенсор № 1099; Кейс № 6809;	ftp://ftp.cloud.gcm/traffic/1099/1626783087_2021_07_20____15_11_27_547237.pcap
2021-07-21 09:00:09	35670	Сенсор № 1072; Кейс № 6812; Воздействие так же направлено на следующие адреса: 91.201.209.245, 91.201.209.252, 91.201.209.242, 91.201.209.243, 91.201.209.251, 91.201.209.249, 91.201.209.250	ftp://ftp.cloud.gcm/traffic/1072/1626779916_2021_07_20____14_18_36_567899.pcap
2021-07-21 09:00:10	35671	Сенсор № 1099; Кейс № 6806;	ftp://ftp.cloud.gcm/traffic/1099/1626743900_2021_07_20____04_18_20_514768.pcap , ftp://ftp.cloud.gcm/traffic/1099/1626794140_2021_07_20____18_15_40_053276.pcap , ftp://ftp.cloud.gcm/traffic/1099/1626790701_2021_07_20____17_18_21_915882.pcap , ftp://ftp.cloud.gcm/traffic/1099/1626789606_2021_07_20____17_00_06_889743.pcap , ftp://ftp.cloud.gcm/traffic/1099/1626803595_2021_07_20____20_53_15_281938.pcap , ftp://ftp.cloud.gcm/traffic/1099/1626732448_2021_07_20____01_07_28_710750.pcap
2021-07-21 09:00:15	35672	Сенсор № 1072; Кейс № 6811; Воздействие так же направлено на следующие адреса: 91.201.209.243, 91.201.209.245, 91.201.209.249, 91.201.209.253, 91.201.209.252, 91.201.209.250, 91.201.209.251	ftp://ftp.cloud.gcm/traffic/1072/1626812398_2021_07_20____23_19_58_194839.pcap , ftp://ftp.cloud.gcm/traffic/1072/1626785254_2021_07_20____15_47_34_373298.pcap , ftp://ftp.cloud.gcm/traffic/1072/1626751624_2021_07_20____06_27_04_503111.pcap , ftp://ftp.cloud.gcm/traffic/1072/1626737467_2021_07_20____02_31_07_754942.pcap , ftp://ftp.cloud.gcm/traffic/1072/1626742818_2021_07_20____04_00_18_441718.pcap , ftp://ftp.cloud.gcm/traffic/1072/1626758889_2021_07_20____08_28_09_473721.pcap
