дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-12-13 07:00:02	38954	Сенсор № 1060; Кейс № 13937; Воздействие так же направлено на следующие адреса: 194.190.37.235, 194.190.37.236	ftp://ftp.cloud.gcm/traffic/1060/1639147604_2021_12_10____17_46_44_663361.pcap
2021-12-13 07:00:02	38955	Сенсор № 1130; Кейс № 13936;	ftp://ftp.cloud.gcm/traffic/1130/1639144472_2021_12_10____16_54_32_106619.pcap
2021-12-13 07:00:02	38956	Сенсор № 1070; Кейс № 13939;	ftp://ftp.cloud.gcm/traffic/1070/1639159329_2021_12_10____21_02_09_407259.pcap
2021-12-13 07:00:03	38957	Сенсор № 1130; Кейс № 13940;	ftp://ftp.cloud.gcm/traffic/1130/1639148057_2021_12_10____17_54_17_362872.pcap
2021-12-13 07:00:03	38958	Сенсор № 1070; Кейс № 14318;	ftp://ftp.cloud.gcm/traffic/1070/1639189544_2021_12_11____05_25_44_316745.pcap
2021-12-13 07:00:03	38959	Сенсор № 1065; Кейс № 14319;	ftp://ftp.cloud.gcm/traffic/1065/1639182483_2021_12_11____03_28_03_423136.pcap
2021-12-13 07:00:04	38960	Сенсор № 1030; Кейс № 14320;	ftp://ftp.cloud.gcm/traffic/1030/1639190583_2021_12_11____05_43_03_723872.pcap
2021-12-13 07:00:04	38961	Сенсор № 1065; Кейс № 14321;	ftp://ftp.cloud.gcm/traffic/1065/1639198487_2021_12_11____07_54_47_206511.pcap
2021-12-13 07:00:04	38962	Сенсор № 1035; Кейс № 13938;	ftp://ftp.cloud.gcm/traffic/1035/1639154727_2021_12_10____19_45_27_282079.pcap
2021-12-13 07:00:07	38963	Сенсор № 1038; Кейс № 14323;	ftp://ftp.cloud.gcm/traffic/1038/1639202865_2021_12_11____09_07_45_526158.pcap
2021-12-13 07:00:07	38964	Сенсор № 1051; Кейс № 14329;	ftp://ftp.cloud.gcm/traffic/1051/1639173437_2021_12_11____00_57_17_657230.pcap
2021-12-13 07:00:08	38965	Сенсор № 1117; Кейс № 14330;	ftp://ftp.cloud.gcm/traffic/1117/1639176100_2021_12_11____01_41_40_681057.pcap
2021-12-13 07:00:08	38966	Сенсор № 1038; Кейс № 14332;	ftp://ftp.cloud.gcm/traffic/1038/1639202975_2021_12_11____09_09_35_989690.pcap
2021-12-13 07:00:11	38967	Сенсор № 1030; Кейс № 14331;	ftp://ftp.cloud.gcm/traffic/1030/1639179537_2021_12_11____02_38_57_001059.pcap
2021-12-13 07:00:12	38968	Сенсор № 1035; Кейс № 14333;	ftp://ftp.cloud.gcm/traffic/1035/1639180684_2021_12_11____02_58_04_811125.pcap
