дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-08-11 09:00:02	36187	Сенсор № 1024сенсор № 1135; Кейс № 6875; Воздействие так же направлено на следующие адреса: 94.141.63.77, 94.141.63.77, 217.107.78.110	ftp://ftp.cloud.gcm/traffic/1024/1623829258_2021_06_16____10_40_58_281921.pcap , ftp://ftp.cloud.gcm/traffic/1024/1623829258_2021_06_16____10_40_58_281921.pcap , ftp://ftp.cloud.gcm/traffic/1135/1626911234_2021_07_22____02_47_14_399489.pcap , ftp://ftp.cloud.gcm/traffic/1135/1626911234_2021_07_22____02_47_14_399489.pcap
2021-08-11 09:00:03	36188	Сенсор № 1079; Кейс № 7370;	ftp://ftp.cloud.gcm/traffic/1079/1627930831_2021_08_02____22_00_31_245774.pcap , ftp://ftp.cloud.gcm/traffic/1079/1627930830_2021_08_02____22_00_30_686250.pcap
2021-08-11 09:00:03	36189	Сенсор № 1088; Кейс № 8003;	ftp://ftp.cloud.gcm/traffic/1088/1628621695_2021_08_10____21_54_55_305630.pcap
2021-08-11 09:00:03	36190	Сенсор № 1035; Кейс № 8005;	ftp://ftp.cloud.gcm/traffic/1035/1628621702_2021_08_10____21_55_02_688960.pcap
2021-08-11 09:00:04	36191	Сенсор № 1052; Кейс № 8008;	ftp://ftp.cloud.gcm/traffic/1052/1628630151_2021_08_11____00_15_51_539818.pcap
2021-08-11 09:00:04	36192	Сенсор № 1036; Кейс № 8007;	ftp://ftp.cloud.gcm/traffic/1036/1628624191_2021_08_10____22_36_31_832885.pcap
2021-08-11 09:00:05	36193	Сенсор № 1037; Кейс № 8006;	ftp://ftp.cloud.gcm/traffic/1037/1628621934_2021_08_10____21_58_54_098705.pcap , ftp://ftp.cloud.gcm/traffic/1037/1628621785_2021_08_10____21_56_25_390955.pcap
2021-08-11 09:00:05	36194	Сенсор № 1017; Кейс № 8012;	ftp://ftp.cloud.gcm/traffic/1017/1628630357_2021_08_11____00_19_17_650535.pcap
2021-08-11 09:00:09	36195	Сенсор № 1073; Кейс № 8013;	ftp://ftp.cloud.gcm/traffic/1073/1628640020_2021_08_11____03_00_20_624743.pcap
2021-08-11 15:00:03	36196	Сенсор № 1074; Кейс № 8015;	ftp://ftp.cloud.gcm/traffic/1074/1628680468_2021_08_11____14_14_28_696041.pcap
2021-08-11 15:00:03	36197	Сенсор № 1130; Кейс № 8016;	ftp://ftp.cloud.gcm/traffic/1130/1628678993_2021_08_11____13_49_53_823787.pcap
2021-08-11 15:30:02	36198	Сенсор № 1036; Кейс № 8017;	ftp://ftp.cloud.gcm/traffic/1036/1628662518_2021_08_11____09_15_18_432766.pcap
2021-08-11 16:00:02	36199	Сенсор № 1036; Кейс № 8020;	ftp://ftp.cloud.gcm/traffic/1036/1628685214_2021_08_11____15_33_34_971072.pcap
2021-08-11 16:00:03	36200	Сенсор № 1036; Кейс № 8021;	ftp://ftp.cloud.gcm/traffic/1036/1628684776_2021_08_11____15_26_16_567121.pcap
2021-08-11 16:00:03	36201	Сенсор № 1036; Кейс № 8022;	ftp://ftp.cloud.gcm/traffic/1036/1628684769_2021_08_11____15_26_09_751019.pcap
2021-08-11 16:00:03	36202	Сенсор № 1017; Кейс № 8023;	ftp://ftp.cloud.gcm/traffic/1017/1628658438_2021_08_11____08_07_18_691296.pcap
2021-08-11 16:30:02	36203	Сенсор № 1036; Кейс № 8024;	ftp://ftp.cloud.gcm/traffic/1036/1628652259_2021_08_11____06_24_19_371086.pcap
2021-08-11 16:30:02	36204	Сенсор № 1017; Кейс № 8025;	ftp://ftp.cloud.gcm/traffic/1017/1628635678_2021_08_11____01_47_58_349970.pcap
2021-08-11 16:30:03	36205	Сенсор № 1017; Кейс № 8026;	ftp://ftp.cloud.gcm/traffic/1017/1628632570_2021_08_11____00_56_10_898654.pcap
2021-08-11 16:30:04	36206	Сенсор № 1130; Кейс № 8027;	ftp://ftp.cloud.gcm/traffic/1130/1628631199_2021_08_11____00_33_19_612301.pcap
2021-08-11 16:30:04	36207	Сенсор № 1059; Кейс № 8028;	ftp://ftp.cloud.gcm/traffic/1059/1628658304_2021_08_11____08_05_04_567459.pcap
2021-08-11 16:30:05	36208	Сенсор № 1080; Кейс № 8030;	ftp://ftp.cloud.gcm/traffic/1080/1628654023_2021_08_11____06_53_43_355596.pcap
2021-08-11 18:00:03	36209	Сенсор № 1048; Кейс № 8032; Воздействие так же направлено на следующие адреса: 62.148.142.20	ftp://ftp.cloud.gcm/traffic/1048/1628691743_2021_08_11____17_22_23_806431.pcap
2021-08-11 18:30:03	36210	Сенсор № 1028; Кейс № 8033;	ftp://ftp.cloud.gcm/traffic/1028/1628692165_2021_08_11____17_29_25_415082.pcap
