дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-08-18 09:00:02	36312	Сенсор № 1002; Кейс № 8325;	ftp://ftp.cloud.gcm/traffic/1002/1629219825_2021_08_17____20_03_45_720549.pcap
2021-08-18 09:00:02	36313	Сенсор № 1076; Кейс № 8326;	ftp://ftp.cloud.gcm/traffic/1076/1629218558_2021_08_17____19_42_38_276709.pcap
2021-08-18 09:00:02	36314	Сенсор № 1054; Кейс № 8329;	ftp://ftp.cloud.gcm/traffic/1054/1629210542_2021_08_17____17_29_02_204093.pcap
2021-08-18 09:00:07	36315	Сенсор № 1029; Кейс № 8261;	ftp://ftp.cloud.gcm/traffic/1029/1629156600_2021_08_17____02_30_00_092231.pcap , ftp://ftp.cloud.gcm/traffic/1029/1629172827_2021_08_17____07_00_27_312702.pcap , ftp://ftp.cloud.gcm/traffic/1029/1629157452_2021_08_17____02_44_12_471403.pcap , ftp://ftp.cloud.gcm/traffic/1029/1629158426_2021_08_17____03_00_26_124325.pcap
2021-08-18 09:00:07	36316	Сенсор № 1030; Кейс № 8270;	ftp://ftp.cloud.gcm/traffic/1030/1629154662_2021_08_17____01_57_42_108405.pcap
2021-08-18 09:00:22	36317	Сенсор № 1124; Кейс № 8336;	ftp://ftp.cloud.gcm/traffic/1124/1629235575_2021_08_18____00_26_15_001072.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235566_2021_08_18____00_26_06_281232.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235559_2021_08_18____00_25_59_625504.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235539_2021_08_18____00_25_39_689258.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235504_2021_08_18____00_25_04_075451.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235499_2021_08_18____00_24_59_752309.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235495_2021_08_18____00_24_55_238173.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235555_2021_08_18____00_25_55_379952.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235531_2021_08_18____00_25_31_176620.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235526_2021_08_18____00_25_26_595600.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235475_2021_08_18____00_24_35_799548.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235473_2021_08_18____00_24_33_480939.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235451_2021_08_18____00_24_11_109183.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235873_2021_08_18____00_31_13_995991.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235553_2021_08_18____00_25_53_021335.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235506_2021_08_18____00_25_06_349744.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235480_2021_08_18____00_24_40_021363.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235466_2021_08_18____00_24_26_673566.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235459_2021_08_18____00_24_19_966312.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235885_2021_08_18____00_31_25_121522.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235880_2021_08_18____00_31_20_703035.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235570_2021_08_18____00_26_10_608922.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235548_2021_08_18____00_25_48_658375.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235544_2021_08_18____00_25_44_190738.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235515_2021_08_18____00_25_15_461470.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235497_2021_08_18____00_24_57_653625.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235572_2021_08_18____00_26_12_782973.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235542_2021_08_18____00_25_42_016427.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235524_2021_08_18____00_25_24_434999.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235520_2021_08_18____00_25_20_615110.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235517_2021_08_18____00_25_17_443441.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235482_2021_08_18____00_24_42_118535.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235464_2021_08_18____00_24_24_373057.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235453_2021_08_18____00_24_13_671504.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235871_2021_08_18____00_31_11_796648.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235561_2021_08_18____00_26_01_966170.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235522_2021_08_18____00_25_22_110615.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235477_2021_08_18____00_24_37_900394.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235455_2021_08_18____00_24_15_352972.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235537_2021_08_18____00_25_37_493472.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235508_2021_08_18____00_25_08_570625.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235493_2021_08_18____00_24_53_027565.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235490_2021_08_18____00_24_50_928778.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235488_2021_08_18____00_24_48_727320.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235546_2021_08_18____00_25_46_422024.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235510_2021_08_18____00_25_10_745309.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235882_2021_08_18____00_31_22_923989.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235876_2021_08_18____00_31_16_501348.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235568_2021_08_18____00_26_08_370630.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235550_2021_08_18____00_25_50_945206.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235535_2021_08_18____00_25_35_176810.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235528_2021_08_18____00_25_28_911244.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235521_2021_08_18____00_25_21_073679.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235513_2021_08_18____00_25_13_003782.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235471_2021_08_18____00_24_31_290002.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235468_2021_08_18____00_24_28_785008.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235457_2021_08_18____00_24_17_754980.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235557_2021_08_18____00_25_57_547243.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235533_2021_08_18____00_25_33_084385.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235501_2021_08_18____00_25_01_870243.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235486_2021_08_18____00_24_46_511618.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235471_2021_08_18____00_24_31_838361.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235462_2021_08_18____00_24_22_292293.pcap , ftp://ftp.cloud.gcm/traffic/1124/1629235453_2021_08_18____00_24_13_101677.pcap
2021-08-18 09:00:22	36318	Сенсор № 1121; Кейс № 8341;	ftp://ftp.cloud.gcm/traffic/1121/1629158267_2021_08_17____02_57_47_659005.pcap
2021-08-18 10:30:02	36319	Сенсор № 1032; Кейс № 8327;	ftp://ftp.cloud.gcm/traffic/1032/1629212935_2021_08_17____18_08_55_165567.pcap , ftp://ftp.cloud.gcm/traffic/1032/1629272097_2021_08_18____10_34_57_920590.pcap
2021-08-18 11:00:01	36320	Сенсор № 1055; Кейс № 8343;	ftp://ftp.cloud.gcm/traffic/1055/1629237917_2021_08_18____01_05_17_035846.pcap
2021-08-18 11:00:02	36321	Сенсор № 1052; Кейс № 8345; Воздействие так же направлено на следующие адреса: 194.226.26.116, 194.226.26.155, 194.226.26.151, 194.226.26.49, 194.226.26.153	ftp://ftp.cloud.gcm/traffic/1052/1629259517_2021_08_18____07_05_17_672491.pcap
