дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-11-26 09:28:47	38590	Сенсор № 1072; Кейс № 12573;	ftp://ftp.cloud.gcm/traffic/1072/1637839824_2021_11_25____14_30_24_981559.pcap
2021-11-26 09:28:47	38591	Сенсор № 1002; Кейс № 12574;	ftp://ftp.cloud.gcm/traffic/1002/1637845203_2021_11_25____16_00_03_029188.pcap
2021-11-26 09:28:48	38592	Сенсор № 1004; Кейс № 12575;	ftp://ftp.cloud.gcm/traffic/1004/1637824959_2021_11_25____10_22_39_141138.pcap
2021-11-26 09:28:48	38593	Сенсор № 1125; Кейс № 12576;	ftp://ftp.cloud.gcm/traffic/1125/1637829342_2021_11_25____11_35_42_878231.pcap
2021-11-26 09:28:49	38594	Сенсор № 1060; Кейс № 12579;	ftp://ftp.cloud.gcm/traffic/1060/1637796493_2021_11_25____02_28_13_411709.pcap
2021-11-26 09:28:50	38595	Сенсор № 1070; Кейс № 12580;	ftp://ftp.cloud.gcm/traffic/1070/1637845318_2021_11_25____16_01_58_871925.pcap
2021-11-26 09:28:50	38596	Сенсор № 1044; Кейс № 12581;	ftp://ftp.cloud.gcm/traffic/1044/1637846314_2021_11_25____16_18_34_237101.pcap
2021-11-26 09:28:51	38597	Сенсор № 1073; Кейс № 12582;	ftp://ftp.cloud.gcm/traffic/1073/1637845218_2021_11_25____16_00_18_980284.pcap
2021-11-26 09:28:52	38598	Сенсор № 1139; Кейс № 12583;	ftp://ftp.cloud.gcm/traffic/1139/1637801087_2021_11_25____03_44_47_108231.pcap
2021-11-26 09:28:52	38599	Сенсор № 1076; Кейс № 12585;	ftp://ftp.cloud.gcm/traffic/1076/1637869555_2021_11_25____22_45_55_736100.pcap
2021-11-26 09:28:52	38600	Сенсор № 1002; Кейс № 12586;	ftp://ftp.cloud.gcm/traffic/1002/1637869593_2021_11_25____22_46_33_471977.pcap
2021-11-26 09:28:53	38601	Сенсор № 1139; Кейс № 12587;	ftp://ftp.cloud.gcm/traffic/1139/1637869671_2021_11_25____22_47_51_267712.pcap
