дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-09-02 07:00:02	36565	Сенсор № 1002; Кейс № 8980; Воздействие так же направлено на следующие адреса: 95.173.136.72	ftp://ftp.cloud.gcm/traffic/1002/1630514280_2021_09_01____19_38_00_813120.pcap
2021-09-02 07:00:06	36566	Сенсор № 1079; Кейс № 8982;	ftp://ftp.cloud.gcm/traffic/1079/1630524348_2021_09_01____22_25_48_419867.pcap , ftp://ftp.cloud.gcm/traffic/1079/1630520581_2021_09_01____21_23_01_715657.pcap
2021-09-02 07:00:07	36567	Сенсор № 1121; Кейс № 8983;	ftp://ftp.cloud.gcm/traffic/1121/1630520608_2021_09_01____21_23_28_174226.pcap
2021-09-02 07:30:01	36568	Сенсор № 1028; Кейс № 8987;	ftp://ftp.cloud.gcm/traffic/1028/1630460435_2021_09_01____04_40_35_818461.pcap
2021-09-02 08:00:02	36569	Сенсор № 1072; Кейс № 8959; Воздействие так же направлено на следующие адреса: 91.201.211.76	ftp://ftp.cloud.gcm/traffic/1072/1630501574_2021_09_01____16_06_14_187293.pcap , ftp://ftp.cloud.gcm/traffic/1072/1630485586_2021_09_01____11_39_46_191180.pcap
2021-09-02 08:00:03	36570	Сенсор № 1017; Кейс № 8962;	ftp://ftp.cloud.gcm/traffic/1017/1630507829_2021_09_01____17_50_29_607432.pcap , ftp://ftp.cloud.gcm/traffic/1017/1630522184_2021_09_01____21_49_44_338695.pcap , ftp://ftp.cloud.gcm/traffic/1017/1630488654_2021_09_01____12_30_54_614212.pcap , ftp://ftp.cloud.gcm/traffic/1017/1630485849_2021_09_01____11_44_09_659278.pcap , ftp://ftp.cloud.gcm/traffic/1017/1630541226_2021_09_02____03_07_06_067356.pcap , ftp://ftp.cloud.gcm/traffic/1017/1630509590_2021_09_01____18_19_50_118419.pcap , ftp://ftp.cloud.gcm/traffic/1017/1630552825_2021_09_02____06_20_25_106678.pcap , ftp://ftp.cloud.gcm/traffic/1017/1630539021_2021_09_02____02_30_21_865775.pcap
2021-09-02 08:00:03	36571	Сенсор № 1017; Кейс № 8963;	ftp://ftp.cloud.gcm/traffic/1017/1630484433_2021_09_01____11_20_33_469362.pcap
2021-09-02 08:00:03	36572	Сенсор № 1051; Кейс № 8978;	ftp://ftp.cloud.gcm/traffic/1051/1630503695_2021_09_01____16_41_35_793600.pcap
2021-09-02 08:00:04	36573	Сенсор № 1002; Кейс № 8984;	ftp://ftp.cloud.gcm/traffic/1002/1630519614_2021_09_01____21_06_54_780072.pcap
2021-09-02 08:30:01	36574	Сенсор № 1002; Кейс № 8985;	ftp://ftp.cloud.gcm/traffic/1002/1630558990_2021_09_02____08_03_10_891766.pcap
2021-09-02 08:30:02	36575	Сенсор № 1106; Кейс № 8988;	ftp://ftp.cloud.gcm/traffic/1106/1630557156_2021_09_02____07_32_36_779236.pcap
2021-09-02 12:30:03	36576	Сенсор № 1094; Кейс № 8993;	ftp://ftp.cloud.gcm/traffic/1094/1630539650_2021_09_02____02_40_50_972415.pcap , ftp://ftp.cloud.gcm/traffic/1094/1630573060_2021_09_02____11_57_40_283797.pcap , ftp://ftp.cloud.gcm/traffic/1094/1630571778_2021_09_02____11_36_18_346275.pcap
2021-09-02 12:30:03	36577	Сенсор № 1017; Кейс № 8996;	ftp://ftp.cloud.gcm/traffic/1017/1630557681_2021_09_02____07_41_21_495541.pcap
2021-09-02 13:00:01	36578	Сенсор № 1054; Кейс № 8999;	ftp://ftp.cloud.gcm/traffic/1054/1630542919_2021_09_02____03_35_19_477568.pcap
2021-09-02 13:00:02	36579	Сенсор № 1010; Кейс № 8998;	ftp://ftp.cloud.gcm/traffic/1010/1630557146_2021_09_02____07_32_26_599435.pcap
2021-09-02 13:00:02	36580	Сенсор № 1105; Кейс № 8926; Воздействие так же направлено на следующие адреса: 10.10.48.83, 10.10.162.192	ftp://ftp.cloud.gcm/traffic/1105/1630398988_2021_08_31____11_36_28_209068.pcap
2021-09-02 13:30:03	36581	Сенсор № 1072; Кейс № 9002; Воздействие так же направлено на следующие адреса: 91.201.209.250, 91.201.209.252, 91.201.209.243, 91.201.209.251, 91.201.209.253	ftp://ftp.cloud.gcm/traffic/1072/1630556183_2021_09_02____07_16_23_621199.pcap , ftp://ftp.cloud.gcm/traffic/1072/1630534102_2021_09_02____01_08_22_802925.pcap , ftp://ftp.cloud.gcm/traffic/1072/1630542804_2021_09_02____03_33_24_966911.pcap , ftp://ftp.cloud.gcm/traffic/1072/1630557671_2021_09_02____07_41_11_494226.pcap , ftp://ftp.cloud.gcm/traffic/1072/1630577945_2021_09_02____13_19_05_133723.pcap
2021-09-02 17:30:02	36582	Сенсор № 1035; Кейс № 9011;	ftp://ftp.cloud.gcm/traffic/1035/1630539080_2021_09_02____02_31_20_130747.pcap
2021-09-02 18:30:03	36583	Сенсор № 1072; Кейс № 9013; Воздействие так же направлено на следующие адреса: 91.201.211.118, 91.201.208.87	ftp://ftp.cloud.gcm/traffic/1072/1630594755_2021_09_02____17_59_15_826122.pcap
2021-09-02 18:30:07	36584	Сенсор № 1082; Кейс № 9016;	ftp://ftp.cloud.gcm/traffic/1082/1630593110_2021_09_02____17_31_50_666640.pcap
2021-09-02 18:30:08	36585	Сенсор № 1110; Кейс № 9017;	ftp://ftp.cloud.gcm/traffic/1110/1630593135_2021_09_02____17_32_15_301123.pcap
