дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-10-14 07:00:09	37463	Сенсор № 1070; Кейс № 10661;	ftp://ftp.cloud.gcm/traffic/1070/1634111027_2021_10_13____10_43_47_720539.pcap , ftp://ftp.cloud.gcm/traffic/1070/1634111029_2021_10_13____10_43_49_871745.pcap , ftp://ftp.cloud.gcm/traffic/1070/1634117734_2021_10_13____12_35_34_841187.pcap , ftp://ftp.cloud.gcm/traffic/1070/1634125653_2021_10_13____14_47_33_530526.pcap , ftp://ftp.cloud.gcm/traffic/1070/1634125658_2021_10_13____14_47_38_180767.pcap , ftp://ftp.cloud.gcm/traffic/1070/1634133712_2021_10_13____17_01_52_272471.pcap , ftp://ftp.cloud.gcm/traffic/1070/1634137645_2021_10_13____18_07_25_728775.pcap
2021-10-14 07:00:12	37464	Сенсор № 1072; Кейс № 10663; Воздействие так же направлено на следующие адреса: 91.201.209.251, 91.201.209.253, 91.201.209.250, 91.201.209.252	ftp://ftp.cloud.gcm/traffic/1072/1634108306_2021_10_13____09_58_26_928627.pcap , ftp://ftp.cloud.gcm/traffic/1072/1634117889_2021_10_13____12_38_09_041325.pcap , ftp://ftp.cloud.gcm/traffic/1072/1634125379_2021_10_13____14_42_59_937084.pcap , ftp://ftp.cloud.gcm/traffic/1072/1634125998_2021_10_13____14_53_18_775635.pcap , ftp://ftp.cloud.gcm/traffic/1072/1634129093_2021_10_13____15_44_53_213757.pcap , ftp://ftp.cloud.gcm/traffic/1072/1634133617_2021_10_13____17_00_17_196816.pcap , ftp://ftp.cloud.gcm/traffic/1072/1634133646_2021_10_13____17_00_46_333191.pcap
2021-10-14 07:00:12	37465	Сенсор № 1048; Кейс № 10668;	ftp://ftp.cloud.gcm/traffic/1048/1634150323_2021_10_13____21_38_43_693846.pcap
2021-10-14 07:00:13	37466	Сенсор № 1028; Кейс № 10669;	ftp://ftp.cloud.gcm/traffic/1028/1634155996_2021_10_13____23_13_16_481043.pcap
2021-10-14 07:00:13	37467	Сенсор № 1134; Кейс № 10670;	ftp://ftp.cloud.gcm/traffic/1134/1634147513_2021_10_13____20_51_53_316899.pcap
2021-10-14 11:00:02	37468	Сенсор № 1076сенсор № 1065; Кейс № 10665; Воздействие так же направлено на следующие адреса: 194.226.132.78	ftp://ftp.cloud.gcm/traffic/1076/1634167729_2021_10_14____02_28_49_120554.pcap , ftp://ftp.cloud.gcm/traffic/1065/1634104685_2021_10_13____08_58_05_483285.pcap
2021-10-14 11:30:02	37469	Сенсор № 1072; Кейс № 10662;	ftp://ftp.cloud.gcm/traffic/1072/1634093413_2021_10_13____05_50_13_975160.pcap
2021-10-14 12:00:02	37470	Сенсор № 1106; Кейс № 10671;	ftp://ftp.cloud.gcm/traffic/1106/1634103617_2021_10_13____08_40_17_338980.pcap
2021-10-14 12:00:03	37471	Сенсор № 1135; Кейс № 10678;	ftp://ftp.cloud.gcm/traffic/1135/1634201644_2021_10_14____11_54_04_448252.pcap , ftp://ftp.cloud.gcm/traffic/1135/1634178924_2021_10_14____05_35_24_672885.pcap
2021-10-14 13:30:02	37472	Сенсор № 1105; Кейс № 10681;	ftp://ftp.cloud.gcm/traffic/1105/1634202813_2021_10_14____12_13_33_550429.pcap
2021-10-14 14:30:02	37473	Сенсор № 1076; Кейс № 10685;	ftp://ftp.cloud.gcm/traffic/1076/1634202800_2021_10_14____12_13_20_100938.pcap
