дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-07-13 09:00:01	35395	Сенсор № 1072; Кейс № 6405; Воздействие так же направлено на следующие адреса: 91.201.209.251, 91.201.209.245, 91.201.209.242, 91.201.209.252, 91.201.209.253, 91.201.209.243	ftp://ftp.cloud.gcm/traffic/1072/1626107744_2021_07_12____19_35_44_760894.pcap , ftp://ftp.cloud.gcm/traffic/1072/1626110656_2021_07_12____20_24_16_680787.pcap
2021-07-13 09:00:02	35396	Сенсор № 1017; Кейс № 6406;	ftp://ftp.cloud.gcm/traffic/1017/1626108679_2021_07_12____19_51_19_795780.pcap
2021-07-13 09:00:02	35397	Сенсор № 1049; Кейс № 6407;	ftp://ftp.cloud.gcm/traffic/1049/1626078487_2021_07_12____11_28_07_199516.pcap
2021-07-13 09:00:03	35398	Сенсор № 1052; Кейс № 6408;	ftp://ftp.cloud.gcm/traffic/1052/1626043748_2021_07_12____01_49_08_661363.pcap
2021-07-13 09:00:03	35399	Сенсор № 1028; Кейс № 6409;	ftp://ftp.cloud.gcm/traffic/1028/1626083691_2021_07_12____12_54_51_732044.pcap
2021-07-13 09:00:04	35400	Сенсор № 1073; Кейс № 6411; Воздействие так же направлено на следующие адреса: 193.29.19.212, 193.29.19.135	ftp://ftp.cloud.gcm/traffic/1073/1626086596_2021_07_12____13_43_16_911311.pcap
2021-07-13 09:00:31	35401	Сенсор № 1002; Кейс № 6412;	ftp://ftp.cloud.gcm/traffic/1002/1626041800_2021_07_12____01_16_40_748722.pcap
2021-07-13 09:00:32	35402	Сенсор № 1002; Кейс № 6413;	ftp://ftp.cloud.gcm/traffic/1002/1626041805_2021_07_12____01_16_45_957712.pcap , ftp://ftp.cloud.gcm/traffic/1002/1626042914_2021_07_12____01_35_14_541238.pcap , ftp://ftp.cloud.gcm/traffic/1002/1626040604_2021_07_12____00_56_44_652185.pcap , ftp://ftp.cloud.gcm/traffic/1002/1626041452_2021_07_12____01_10_52_876261.pcap
2021-07-13 09:00:33	35403	Сенсор № 1002; Кейс № 6414; Воздействие так же направлено на следующие адреса: 95.173.135.140	ftp://ftp.cloud.gcm/traffic/1002/1626069409_2021_07_12____08_56_49_844942.pcap , ftp://ftp.cloud.gcm/traffic/1002/1626122441_2021_07_12____23_40_41_049802.pcap
2021-07-13 09:00:33	35404	Сенсор № 1002; Кейс № 6415;	ftp://ftp.cloud.gcm/traffic/1002/1626117191_2021_07_12____22_13_11_694587.pcap
2021-07-13 09:00:34	35405	Сенсор № 1002; Кейс № 6416;	ftp://ftp.cloud.gcm/traffic/1002/1626044776_2021_07_12____02_06_16_895234.pcap
2021-07-13 09:00:34	35406	Сенсор № 1002; Кейс № 6410;	ftp://ftp.cloud.gcm/traffic/1002/1626087626_2021_07_12____14_00_26_805919.pcap , ftp://ftp.cloud.gcm/traffic/1002/1626083497_2021_07_12____12_51_37_448690.pcap
2021-07-13 10:30:02	35407	Сенсор № 1106; Кейс № 6422;	ftp://ftp.cloud.gcm/traffic/1106/1626118942_2021_07_12____22_42_22_162948.pcap
2021-07-13 11:00:02	35408	Сенсор № 1106; Кейс № 6423;	ftp://ftp.cloud.gcm/traffic/1106/1626118944_2021_07_12____22_42_24_371268.pcap
2021-07-13 11:30:02	35409	Сенсор № 1017; Кейс № 6431;	ftp://ftp.cloud.gcm/traffic/1017/1626126272_2021_07_13____00_44_32_064297.pcap
2021-07-13 12:00:02	35410	Сенсор № 1070; Кейс № 6433;	ftp://ftp.cloud.gcm/traffic/1070/1626152770_2021_07_13____08_06_10_240699.pcap
2021-07-13 12:30:02	35411	Сенсор № 1110; Кейс № 6438;	ftp://ftp.cloud.gcm/traffic/1110/1626129267_2021_07_13____01_34_27_994411.pcap
2021-07-13 12:30:02	35412	Сенсор № 1110; Кейс № 6439;	ftp://ftp.cloud.gcm/traffic/1110/1626166358_2021_07_13____11_52_38_970314.pcap
2021-07-13 12:30:02	35413	Сенсор № 1110; Кейс № 6440;	ftp://ftp.cloud.gcm/traffic/1110/1626159739_2021_07_13____10_02_19_212935.pcap
2021-07-13 13:00:02	35414	Сенсор № 1028; Кейс № 6434;	ftp://ftp.cloud.gcm/traffic/1028/1626152763_2021_07_13____08_06_03_118628.pcap
2021-07-13 13:30:02	35415	Сенсор № 1120; Кейс № 6430;	ftp://ftp.cloud.gcm/traffic/1120/1626158897_2021_07_13____09_48_17_125596.pcap
2021-07-13 15:30:01	35416	Сенсор № 1139; Кейс № 6419;	ftp://ftp.cloud.gcm/traffic/1139/1626174019_2021_07_13____14_00_19_861575.pcap , ftp://ftp.cloud.gcm/traffic/1139/1626138258_2021_07_13____04_04_18_789062.pcap
2021-07-13 15:30:01	35417	Сенсор № 1002; Кейс № 6445;	ftp://ftp.cloud.gcm/traffic/1002/1626177014_2021_07_13____14_50_14_167312.pcap
2021-07-13 16:30:01	35418	Сенсор № 1129; Кейс № 6446;	ftp://ftp.cloud.gcm/traffic/1129/1626172563_2021_07_13____13_36_03_801549.pcap
2021-07-13 16:30:02	35419	Сенсор № 1002; Кейс № 6417;	ftp://ftp.cloud.gcm/traffic/1002/1626091594_2021_07_12____15_06_34_021503.pcap
2021-07-13 17:00:01	35420	Сенсор № 1127; Кейс № 6404;	ftp://ftp.cloud.gcm/traffic/1127/1626105508_2021_07_12____18_58_28_429693.pcap , ftp://ftp.cloud.gcm/traffic/1127/1626164931_2021_07_13____11_28_51_899341.pcap , ftp://ftp.cloud.gcm/traffic/1127/1626050668_2021_07_12____03_44_28_834168.pcap , ftp://ftp.cloud.gcm/traffic/1127/1626164942_2021_07_13____11_29_02_161683.pcap
2021-07-13 17:00:02	35421	Сенсор № 1054; Кейс № 6421;	ftp://ftp.cloud.gcm/traffic/1054/1626130069_2021_07_13____01_47_49_040254.pcap
2021-07-13 17:00:02	35422	Сенсор № 1130; Кейс № 6424;	ftp://ftp.cloud.gcm/traffic/1130/1626118882_2021_07_12____22_41_22_978212.pcap
2021-07-13 17:30:02	35423	Сенсор № 1051; Кейс № 6455;	ftp://ftp.cloud.gcm/traffic/1051/1626178141_2021_07_13____15_09_01_536983.pcap
2021-07-13 17:30:02	35424	Сенсор № 1139; Кейс № 6454;	ftp://ftp.cloud.gcm/traffic/1139/1626166624_2021_07_13____11_57_04_832859.pcap
2021-07-13 18:00:01	35425	Сенсор № 1088; Кейс № 6457;	ftp://ftp.cloud.gcm/traffic/1088/1626169947_2021_07_13____12_52_27_072809.pcap
2021-07-13 18:00:02	35426	Сенсор № 1054; Кейс № 6451;	ftp://ftp.cloud.gcm/traffic/1054/1626184753_2021_07_13____16_59_13_441032.pcap
