дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-08-25 09:00:02	36450	Сенсор № 1083; Кейс № 8598;	ftp://ftp.cloud.gcm/traffic/1083/1629821208_2021_08_24____19_06_48_938584.pcap
2021-08-25 09:00:06	36451	Сенсор № 1028; Кейс № 8600;	ftp://ftp.cloud.gcm/traffic/1028/1629833750_2021_08_24____22_35_50_807049.pcap
2021-08-25 09:00:07	36452	Сенсор № 1133; Кейс № 8603;	ftp://ftp.cloud.gcm/traffic/1133/1629846226_2021_08_25____02_03_46_816841.pcap
2021-08-25 09:00:07	36453	Сенсор № 1085; Кейс № 8602;	ftp://ftp.cloud.gcm/traffic/1085/1629863853_2021_08_25____06_57_33_996935.pcap , ftp://ftp.cloud.gcm/traffic/1085/1629846130_2021_08_25____02_02_10_362964.pcap
2021-08-25 09:00:08	36454	Сенсор № 1094; Кейс № 8601;	ftp://ftp.cloud.gcm/traffic/1094/1629833458_2021_08_24____22_30_58_499018.pcap , ftp://ftp.cloud.gcm/traffic/1094/1629833901_2021_08_24____22_38_21_287585.pcap
2021-08-25 12:30:23	36455	Сенсор № 1132; Кейс № 8608;	ftp://ftp.cloud.gcm/traffic/1132/1629883115_2021_08_25____12_18_35_773182.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883104_2021_08_25____12_18_24_133949.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883098_2021_08_25____12_18_18_684822.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883094_2021_08_25____12_18_14_789643.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883090_2021_08_25____12_18_10_052542.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883089_2021_08_25____12_18_09_556294.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883088_2021_08_25____12_18_08_523615.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883082_2021_08_25____12_18_02_514024.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883081_2021_08_25____12_18_01_500956.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883070_2021_08_25____12_17_50_958462.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883068_2021_08_25____12_17_48_610567.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883064_2021_08_25____12_17_44_400235.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883056_2021_08_25____12_17_36_613331.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883055_2021_08_25____12_17_35_385676.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883041_2021_08_25____12_17_21_789415.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883038_2021_08_25____12_17_18_480410.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883032_2021_08_25____12_17_12_913939.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883031_2021_08_25____12_17_11_938327.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883024_2021_08_25____12_17_04_710587.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883015_2021_08_25____12_16_55_200210.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883013_2021_08_25____12_16_53_303285.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883012_2021_08_25____12_16_52_818861.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882999_2021_08_25____12_16_39_122871.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882994_2021_08_25____12_16_34_629141.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882994_2021_08_25____12_16_34_160122.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882991_2021_08_25____12_16_31_035453.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882981_2021_08_25____12_16_21_521790.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882979_2021_08_25____12_16_19_078919.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882976_2021_08_25____12_16_16_544093.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882973_2021_08_25____12_16_13_176363.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882967_2021_08_25____12_16_07_956053.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882961_2021_08_25____12_16_01_959313.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882960_2021_08_25____12_16_00_966309.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882954_2021_08_25____12_15_54_983684.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882953_2021_08_25____12_15_53_439582.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882951_2021_08_25____12_15_51_544049.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882944_2021_08_25____12_15_44_968820.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882943_2021_08_25____12_15_43_421716.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882934_2021_08_25____12_15_34_857631.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882911_2021_08_25____12_15_11_740333.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882910_2021_08_25____12_15_10_298002.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882904_2021_08_25____12_15_04_239956.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882902_2021_08_25____12_15_02_272195.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882897_2021_08_25____12_14_57_219074.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882895_2021_08_25____12_14_55_202498.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882893_2021_08_25____12_14_53_207190.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882889_2021_08_25____12_14_49_679362.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882884_2021_08_25____12_14_44_702774.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882883_2021_08_25____12_14_43_186926.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882431_2021_08_25____12_07_11_577901.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882426_2021_08_25____12_07_06_777104.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882414_2021_08_25____12_06_54_497921.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629881760_2021_08_25____11_56_00_820795.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883100_2021_08_25____12_18_20_154007.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883097_2021_08_25____12_18_17_693449.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883078_2021_08_25____12_17_58_021790.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883052_2021_08_25____12_17_32_499556.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883043_2021_08_25____12_17_23_874943.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883037_2021_08_25____12_17_17_883650.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883036_2021_08_25____12_17_16_779383.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883035_2021_08_25____12_17_15_264102.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883028_2021_08_25____12_17_08_254237.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883006_2021_08_25____12_16_46_662036.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882970_2021_08_25____12_16_10_533200.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882960_2021_08_25____12_16_00_026828.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882930_2021_08_25____12_15_30_343774.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882923_2021_08_25____12_15_23_807524.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882909_2021_08_25____12_15_09_228772.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882905_2021_08_25____12_15_05_760385.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882905_2021_08_25____12_15_05_324960.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882888_2021_08_25____12_14_48_143309.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882887_2021_08_25____12_14_47_186002.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882887_2021_08_25____12_14_47_675367.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629880085_2021_08_25____11_28_05_322639.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883106_2021_08_25____12_18_26_087355.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883088_2021_08_25____12_18_08_003675.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883047_2021_08_25____12_17_27_377799.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883044_2021_08_25____12_17_24_817893.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883029_2021_08_25____12_17_09_767887.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883009_2021_08_25____12_16_49_254520.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883003_2021_08_25____12_16_43_200045.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882995_2021_08_25____12_16_35_570337.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882990_2021_08_25____12_16_30_568487.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882985_2021_08_25____12_16_25_599488.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882975_2021_08_25____12_16_15_558317.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882976_2021_08_25____12_16_16_084797.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882972_2021_08_25____12_16_12_075649.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882966_2021_08_25____12_16_06_513976.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882957_2021_08_25____12_15_57_944758.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882956_2021_08_25____12_15_56_425018.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882936_2021_08_25____12_15_36_915840.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882921_2021_08_25____12_15_21_829167.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882921_2021_08_25____12_15_21_297872.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882906_2021_08_25____12_15_06_282289.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882886_2021_08_25____12_14_46_224006.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882423_2021_08_25____12_07_03_573757.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882421_2021_08_25____12_07_01_102565.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883113_2021_08_25____12_18_33_116480.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883093_2021_08_25____12_18_13_542399.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883092_2021_08_25____12_18_12_032126.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883093_2021_08_25____12_18_13_082455.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883085_2021_08_25____12_18_05_506748.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883080_2021_08_25____12_18_00_457873.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883077_2021_08_25____12_17_57_478042.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883072_2021_08_25____12_17_52_934817.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883069_2021_08_25____12_17_49_449159.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883061_2021_08_25____12_17_41_548408.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883055_2021_08_25____12_17_35_998333.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883050_2021_08_25____12_17_30_945742.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883021_2021_08_25____12_17_01_934596.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883018_2021_08_25____12_16_58_777942.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883017_2021_08_25____12_16_57_712717.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883009_2021_08_25____12_16_49_828398.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882987_2021_08_25____12_16_27_126117.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882986_2021_08_25____12_16_26_099955.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882982_2021_08_25____12_16_22_573360.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882980_2021_08_25____12_16_20_534666.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882977_2021_08_25____12_16_17_104049.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882968_2021_08_25____12_16_08_535681.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882958_2021_08_25____12_15_58_944818.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882947_2021_08_25____12_15_47_973054.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882938_2021_08_25____12_15_38_394959.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882938_2021_08_25____12_15_38_900359.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882935_2021_08_25____12_15_35_809953.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882934_2021_08_25____12_15_34_342913.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882932_2021_08_25____12_15_32_425940.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882918_2021_08_25____12_15_18_780615.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882900_2021_08_25____12_15_00_792910.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882885_2021_08_25____12_14_45_671780.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882429_2021_08_25____12_07_09_103577.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882414_2021_08_25____12_06_54_964575.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883112_2021_08_25____12_18_32_119348.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883110_2021_08_25____12_18_30_778267.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883099_2021_08_25____12_18_19_177457.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883079_2021_08_25____12_17_59_520153.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883072_2021_08_25____12_17_52_021938.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883067_2021_08_25____12_17_47_499284.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883061_2021_08_25____12_17_41_921197.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883051_2021_08_25____12_17_31_960836.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883046_2021_08_25____12_17_26_307040.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883040_2021_08_25____12_17_20_829905.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883034_2021_08_25____12_17_14_761446.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883014_2021_08_25____12_16_54_731065.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883007_2021_08_25____12_16_47_649507.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883005_2021_08_25____12_16_45_629552.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883002_2021_08_25____12_16_42_672786.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882988_2021_08_25____12_16_28_522455.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882960_2021_08_25____12_16_00_429133.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882950_2021_08_25____12_15_50_453650.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882948_2021_08_25____12_15_48_919333.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882940_2021_08_25____12_15_40_835966.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882916_2021_08_25____12_15_16_806207.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882913_2021_08_25____12_15_13_823904.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882898_2021_08_25____12_14_58_238818.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883116_2021_08_25____12_18_36_785414.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883116_2021_08_25____12_18_36_126004.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883096_2021_08_25____12_18_16_198218.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883086_2021_08_25____12_18_06_080146.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883069_2021_08_25____12_17_49_082534.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883066_2021_08_25____12_17_46_426649.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883064_2021_08_25____12_17_44_992495.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883063_2021_08_25____12_17_43_938216.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883042_2021_08_25____12_17_22_279668.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883008_2021_08_25____12_16_48_406345.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883005_2021_08_25____12_16_45_185467.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883002_2021_08_25____12_16_42_244254.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882999_2021_08_25____12_16_39_651894.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882963_2021_08_25____12_16_03_465803.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882962_2021_08_25____12_16_02_470269.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882957_2021_08_25____12_15_57_412972.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882946_2021_08_25____12_15_46_900871.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882942_2021_08_25____12_15_42_875194.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882935_2021_08_25____12_15_35_309202.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882932_2021_08_25____12_15_32_823212.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882926_2021_08_25____12_15_26_833685.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882916_2021_08_25____12_15_16_288614.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882906_2021_08_25____12_15_06_811479.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882891_2021_08_25____12_14_51_218578.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882885_2021_08_25____12_14_45_188530.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882434_2021_08_25____12_07_14_269891.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883111_2021_08_25____12_18_31_614795.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883103_2021_08_25____12_18_23_561440.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883101_2021_08_25____12_18_21_096666.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883098_2021_08_25____12_18_18_152498.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883084_2021_08_25____12_18_04_502316.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883060_2021_08_25____12_17_40_953605.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883059_2021_08_25____12_17_39_896730.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882978_2021_08_25____12_16_18_528749.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882939_2021_08_25____12_15_39_584853.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882937_2021_08_25____12_15_37_396138.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882927_2021_08_25____12_15_27_426256.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882924_2021_08_25____12_15_24_279376.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882920_2021_08_25____12_15_20_312209.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882909_2021_08_25____12_15_09_745242.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882903_2021_08_25____12_15_03_209053.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882901_2021_08_25____12_15_01_722045.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882899_2021_08_25____12_14_59_221857.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882883_2021_08_25____12_14_43_688791.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882882_2021_08_25____12_14_42_685844.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882416_2021_08_25____12_06_56_004983.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883103_2021_08_25____12_18_23_186393.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883100_2021_08_25____12_18_20_622916.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883083_2021_08_25____12_18_03_013990.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883075_2021_08_25____12_17_55_437030.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883073_2021_08_25____12_17_53_986303.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883053_2021_08_25____12_17_33_138309.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883050_2021_08_25____12_17_30_382150.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883047_2021_08_25____12_17_27_850478.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883039_2021_08_25____12_17_19_816594.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883039_2021_08_25____12_17_19_339835.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883032_2021_08_25____12_17_12_280009.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883028_2021_08_25____12_17_08_755020.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883027_2021_08_25____12_17_07_779245.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883023_2021_08_25____12_17_03_299004.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883022_2021_08_25____12_17_02_328366.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883018_2021_08_25____12_16_58_208873.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883017_2021_08_25____12_16_57_198692.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883011_2021_08_25____12_16_51_259113.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629883010_2021_08_25____12_16_50_667058.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882998_2021_08_25____12_16_38_660650.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882995_2021_08_25____12_16_35_380775.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882990_2021_08_25____12_16_30_040011.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882984_2021_08_25____12_16_24_550638.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882983_2021_08_25____12_16_23_045811.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882974_2021_08_25____12_16_14_044199.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882965_2021_08_25____12_16_05_478138.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882963_2021_08_25____12_16_03_025620.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882954_2021_08_25____12_15_54_465258.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882947_2021_08_25____12_15_47_429669.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882920_2021_08_25____12_15_20_788854.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882915_2021_08_25____12_15_15_269609.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882914_2021_08_25____12_15_14_264528.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882907_2021_08_25____12_15_07_711247.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882886_2021_08_25____12_14_46_715600.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882884_2021_08_25____12_14_44_244066.pcap , ftp://ftp.cloud.gcm/traffic/1132/1629882419_2021_08_25____12_06_59_115636.pcap
2021-08-25 14:30:02	36456	Сенсор № 1002; Кейс № 8481;	ftp://ftp.cloud.gcm/traffic/1002/1629545291_2021_08_21____14_28_11_361830.pcap
2021-08-25 17:30:02	36457	Сенсор № 1105; Кейс № 8619;	ftp://ftp.cloud.gcm/traffic/1105/1629864829_2021_08_25____07_13_49_825221.pcap
