дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-09-08 07:00:01	36683	Сенсор № 1104; Кейс № 9204;	ftp://ftp.cloud.gcm/traffic/1104/1631037985_2021_09_07____21_06_25_907808.pcap
2021-09-08 07:00:02	36684	Сенсор № 1130; Кейс № 9203;	ftp://ftp.cloud.gcm/traffic/1130/1631036918_2021_09_07____20_48_38_898524.pcap , ftp://ftp.cloud.gcm/traffic/1130/1631067045_2021_09_08____05_10_45_164138.pcap
2021-09-08 07:00:02	36685	Сенсор № 1089; Кейс № 9210;	ftp://ftp.cloud.gcm/traffic/1089/1631066377_2021_09_08____04_59_37_858205.pcap
2021-09-08 07:30:02	36686	Сенсор № 1106; Кейс № 9211;	ftp://ftp.cloud.gcm/traffic/1106/1630994410_2021_09_07____09_00_10_392789.pcap , ftp://ftp.cloud.gcm/traffic/1106/1631044452_2021_09_07____22_54_12_080544.pcap
2021-09-08 08:30:06	36687	Сенсор № 1038; Кейс № 9213;	ftp://ftp.cloud.gcm/traffic/1038/1630983977_2021_09_07____06_06_17_281267.pcap , ftp://ftp.cloud.gcm/traffic/1038/1631078418_2021_09_08____08_20_18_019299.pcap
2021-09-08 08:30:07	36688	Сенсор № 1106; Кейс № 9212;	ftp://ftp.cloud.gcm/traffic/1106/1631013611_2021_09_07____14_20_11_198900.pcap
2021-09-08 08:30:07	36689	Сенсор № 1110сенсор № 1088сенсор № 1134; Кейс № 9193; Воздействие так же направлено на следующие адреса: 212.30.142.5, 176.114.205.113	ftp://ftp.cloud.gcm/traffic/1134/1631023286_2021_09_07____17_01_26_183109.pcap , ftp://ftp.cloud.gcm/traffic/1088/1631016312_2021_09_07____15_05_12_639387.pcap , ftp://ftp.cloud.gcm/traffic/1110/1631010987_2021_09_07____13_36_27_960419.pcap
2021-09-08 09:00:02	36690	Сенсор № 1061; Кейс № 9186;	ftp://ftp.cloud.gcm/traffic/1061/1630964177_2021_09_07____00_36_17_179306.pcap
2021-09-08 09:30:02	36691	Сенсор № 1134; Кейс № 9200;	ftp://ftp.cloud.gcm/traffic/1134/1631009776_2021_09_07____13_16_16_565934.pcap , ftp://ftp.cloud.gcm/traffic/1134/1631031004_2021_09_07____19_10_04_167987.pcap
2021-09-08 09:30:07	36692	Сенсор № 1060; Кейс № 9218;	ftp://ftp.cloud.gcm/traffic/1060/1631071900_2021_09_08____06_31_40_560779.pcap , ftp://ftp.cloud.gcm/traffic/1060/1631079285_2021_09_08____08_34_45_726244.pcap
2021-09-08 11:30:01	36693	Сенсор № 1051; Кейс № 9197;	ftp://ftp.cloud.gcm/traffic/1051/1631026597_2021_09_07____17_56_37_010181.pcap
2021-09-08 11:30:01	36694	Сенсор № 1134; Кейс № 8888;	ftp://ftp.cloud.gcm/traffic/1134/1630316730_2021_08_30____12_45_30_436520.pcap , ftp://ftp.cloud.gcm/traffic/1134/1630339210_2021_08_30____19_00_10_950933.pcap
2021-09-08 13:30:01	36695	Сенсор № 1060; Кейс № 9224;	ftp://ftp.cloud.gcm/traffic/1060/1631093139_2021_09_08____12_25_39_917968.pcap
2021-09-08 14:00:03	36696	Сенсор № 1036; Кейс № 9226;	ftp://ftp.cloud.gcm/traffic/1036/1631051680_2021_09_08____00_54_40_456769.pcap
2021-09-08 15:30:02	36697	Сенсор № 1036; Кейс № 9228;	ftp://ftp.cloud.gcm/traffic/1036/1631054480_2021_09_08____01_41_20_143117.pcap , ftp://ftp.cloud.gcm/traffic/1036/1631099692_2021_09_08____14_14_52_697391.pcap , ftp://ftp.cloud.gcm/traffic/1036/1631096986_2021_09_08____13_29_46_125030.pcap
