дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-09-09 07:00:03	36698	Сенсор № 1089; Кейс № 9239;	ftp://ftp.cloud.gcm/traffic/1089/1631123149_2021_09_08____20_45_49_173461.pcap
2021-09-09 07:00:03	36699	Сенсор № 1071; Кейс № 9241;	ftp://ftp.cloud.gcm/traffic/1071/1631102549_2021_09_08____15_02_29_258497.pcap , ftp://ftp.cloud.gcm/traffic/1071/1631128122_2021_09_08____22_08_42_482586.pcap , ftp://ftp.cloud.gcm/traffic/1071/1631114664_2021_09_08____18_24_24_787183.pcap
2021-09-09 07:00:04	36700	Сенсор № 1134; Кейс № 9242;	ftp://ftp.cloud.gcm/traffic/1134/1631060727_2021_09_08____03_25_27_695770.pcap , ftp://ftp.cloud.gcm/traffic/1134/1631088694_2021_09_08____11_11_34_526621.pcap
2021-09-09 07:00:08	36701	Сенсор № 1036; Кейс № 9244;	ftp://ftp.cloud.gcm/traffic/1036/1631121858_2021_09_08____20_24_18_368124.pcap
2021-09-09 07:00:09	36702	Сенсор № 1017; Кейс № 9245;	ftp://ftp.cloud.gcm/traffic/1017/1631121856_2021_09_08____20_24_16_139893.pcap
2021-09-09 07:00:09	36703	Сенсор № 1053; Кейс № 9246;	ftp://ftp.cloud.gcm/traffic/1053/1631115552_2021_09_08____18_39_12_540061.pcap
2021-09-09 07:00:09	36704	Сенсор № 1092; Кейс № 9247;	ftp://ftp.cloud.gcm/traffic/1092/1631131126_2021_09_08____22_58_46_178313.pcap , ftp://ftp.cloud.gcm/traffic/1092/1631130270_2021_09_08____22_44_30_145933.pcap , ftp://ftp.cloud.gcm/traffic/1092/1631130861_2021_09_08____22_54_21_829325.pcap
2021-09-09 07:00:12	36705	Сенсор № 1094; Кейс № 9249;	ftp://ftp.cloud.gcm/traffic/1094/1631110443_2021_09_08____17_14_03_856942.pcap , ftp://ftp.cloud.gcm/traffic/1094/1631067134_2021_09_08____05_12_14_801321.pcap , ftp://ftp.cloud.gcm/traffic/1094/1631064100_2021_09_08____04_21_40_408103.pcap , ftp://ftp.cloud.gcm/traffic/1094/1631134573_2021_09_08____23_56_13_232856.pcap , ftp://ftp.cloud.gcm/traffic/1094/1631133661_2021_09_08____23_41_01_686135.pcap , ftp://ftp.cloud.gcm/traffic/1094/1631059033_2021_09_08____02_57_13_767737.pcap , ftp://ftp.cloud.gcm/traffic/1094/1631060999_2021_09_08____03_29_59_695982.pcap
2021-09-09 07:00:12	36706	Сенсор № 1036; Кейс № 9254;	ftp://ftp.cloud.gcm/traffic/1036/1631140443_2021_09_09____01_34_03_127793.pcap
2021-09-09 08:00:03	36707	Сенсор № 1043; Кейс № 9240;	ftp://ftp.cloud.gcm/traffic/1043/1631123313_2021_09_08____20_48_33_077647.pcap , ftp://ftp.cloud.gcm/traffic/1043/1631131296_2021_09_08____23_01_36_580216.pcap , ftp://ftp.cloud.gcm/traffic/1043/1631119406_2021_09_08____19_43_26_764945.pcap , ftp://ftp.cloud.gcm/traffic/1043/1631118797_2021_09_08____19_33_17_984348.pcap
2021-09-09 08:00:05	36708	Сенсор № 1035; Кейс № 9235;	ftp://ftp.cloud.gcm/traffic/1035/1631117046_2021_09_08____19_04_06_567781.pcap , ftp://ftp.cloud.gcm/traffic/1035/1631109918_2021_09_08____17_05_18_820872.pcap , ftp://ftp.cloud.gcm/traffic/1035/1631113484_2021_09_08____18_04_44_042445.pcap , ftp://ftp.cloud.gcm/traffic/1035/1631134391_2021_09_08____23_53_11_255583.pcap , ftp://ftp.cloud.gcm/traffic/1035/1631117771_2021_09_08____19_16_11_655775.pcap , ftp://ftp.cloud.gcm/traffic/1035/1631135236_2021_09_09____00_07_16_680576.pcap , ftp://ftp.cloud.gcm/traffic/1035/1631113481_2021_09_08____18_04_41_811262.pcap , ftp://ftp.cloud.gcm/traffic/1035/1631109916_2021_09_08____17_05_16_545236.pcap , ftp://ftp.cloud.gcm/traffic/1035/1631120146_2021_09_08____19_55_46_627015.pcap
2021-09-09 12:00:03	36709	Сенсор № 1115; Кейс № 9259;	ftp://ftp.cloud.gcm/traffic/1115/1631134993_2021_09_09____00_03_13_451618.pcap
2021-09-09 12:30:01	36710	Сенсор № 1045; Кейс № 9261;	ftp://ftp.cloud.gcm/traffic/1045/1631175955_2021_09_09____11_25_55_365351.pcap
2021-09-09 12:30:02	36711	Сенсор № 1051; Кейс № 9194; Воздействие так же направлено на следующие адреса: 192.168.1.238	ftp://ftp.cloud.gcm:21/traffic/1051/1631023913_2021_09_07____17_11_53_983302.pcap
2021-09-09 16:00:01	36712	Сенсор № 1082; Кейс № 9262;	ftp://ftp.cloud.gcm/traffic/1082/1631179669_2021_09_09____12_27_49_862761.pcap
2021-09-09 16:30:01	36713	Сенсор № 1133; Кейс № 9274;	ftp://ftp.cloud.gcm/traffic/1133/1631120880_2021_09_08____20_08_00_874136.pcap
2021-09-09 17:30:02	36714	Сенсор № 1088; Кейс № 9273;	ftp://ftp.cloud.gcm/traffic/1088/1631184647_2021_09_09____13_50_47_721707.pcap
2021-09-09 18:00:02	36715	Сенсор № 1030; Кейс № 9279;	ftp://ftp.cloud.gcm/traffic/1030/1631153594_2021_09_09____05_13_14_941194.pcap
