дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-07-26 09:00:02	35717	Сенсор № 1002; Кейс № 6932;	ftp://ftp.cloud.gcm/traffic/1002/1627001323_2021_07_23____03_48_43_840425.pcap
2021-07-26 09:00:02	35718	Сенсор № 1059; Кейс № 6934;	ftp://ftp.cloud.gcm/traffic/1059/1627051112_2021_07_23____17_38_32_679382.pcap
2021-07-26 09:00:05	35719	Сенсор № 1045; Кейс № 6937;	ftp://ftp.cloud.gcm/traffic/1045/1627060635_2021_07_23____20_17_15_361352.pcap
2021-07-26 09:00:05	35720	Сенсор № 1082; Кейс № 6939;	ftp://ftp.cloud.gcm/traffic/1082/1627019701_2021_07_23____08_55_01_163704.pcap
2021-07-26 09:00:05	35721	Сенсор № 1002; Кейс № 6941;	ftp://ftp.cloud.gcm/traffic/1002/1627063774_2021_07_23____21_09_34_894155.pcap
2021-07-26 09:00:06	35722	Сенсор № 1038; Кейс № 6946;	ftp://ftp.cloud.gcm/traffic/1038/1627065691_2021_07_23____21_41_31_864704.pcap
2021-07-26 09:00:06	35723	Сенсор № 1036; Кейс № 6950;	ftp://ftp.cloud.gcm/traffic/1036/1627084822_2021_07_24____03_00_22_865689.pcap
2021-07-26 09:00:06	35724	Сенсор № 1052; Кейс № 6951;	ftp://ftp.cloud.gcm/traffic/1052/1627074484_2021_07_24____00_08_04_888218.pcap
2021-07-26 09:00:08	35725	Сенсор № 1088; Кейс № 6958;	ftp://ftp.cloud.gcm/traffic/1088/1627084817_2021_07_24____03_00_17_049437.pcap
2021-07-26 09:00:09	35726	Сенсор № 1072; Кейс № 6925; Воздействие так же направлено на следующие адреса: 91.201.209.253, 91.201.209.243, 91.201.209.245, 91.201.209.251, 91.201.209.252, 91.201.209.249	ftp://ftp.cloud.gcm/traffic/1072/1627034089_2021_07_23____12_54_49_778680.pcap , ftp://ftp.cloud.gcm/traffic/1072/1626987602_2021_07_23____00_00_02_623819.pcap
2021-07-26 09:00:10	35727	Сенсор № 1016; Кейс № 6961;	ftp://ftp.cloud.gcm/traffic/1016/1627107863_2021_07_24____09_24_23_044237.pcap
2021-07-26 09:00:10	35728	Сенсор № 1139; Кейс № 6963;	ftp://ftp.cloud.gcm/traffic/1139/1627112973_2021_07_24____10_49_33_265654.pcap
2021-07-26 09:00:10	35729	Сенсор № 1054; Кейс № 6962;	ftp://ftp.cloud.gcm/traffic/1054/1627074631_2021_07_24____00_10_31_922777.pcap
2021-07-26 09:00:11	35730	Сенсор № 1017; Кейс № 6966;	ftp://ftp.cloud.gcm/traffic/1017/1627110524_2021_07_24____10_08_44_577138.pcap
2021-07-26 09:00:11	35731	Сенсор № 1071; Кейс № 6969;	ftp://ftp.cloud.gcm/traffic/1071/1627088120_2021_07_24____03_55_20_585779.pcap
