дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-08-17 09:00:02	36288	Сенсор № 1002; Кейс № 8214;	
2021-08-17 09:00:02	36289	Сенсор № 1030; Кейс № 8249;	ftp://ftp.cloud.gcm/traffic/1030/1629150934_2021_08_17____00_55_34_187277.pcap
2021-08-17 09:00:02	36290	Сенсор № 1072; Кейс № 8247;	ftp://ftp.cloud.gcm/traffic/1072/1629145772_2021_08_16____23_29_32_381622.pcap
2021-08-17 12:30:02	36291	Сенсор № 1016; Кейс № 8263;	ftp://ftp.cloud.gcm/traffic/1016/1629174492_2021_08_17____07_28_12_897545.pcap
2021-08-17 12:30:02	36292	Сенсор № 1059; Кейс № 8252;	ftp://ftp.cloud.gcm/traffic/1059/1629157577_2021_08_17____02_46_17_923653.pcap
2021-08-17 12:30:02	36293	Сенсор № 1017; Кейс № 8264;	ftp://ftp.cloud.gcm/traffic/1017/1629186744_2021_08_17____10_52_24_550590.pcap
2021-08-17 12:30:03	36294	Сенсор № 1072; Кейс № 8251;	ftp://ftp.cloud.gcm/traffic/1072/1629171680_2021_08_17____06_41_20_501071.pcap
2021-08-17 12:30:08	36295	Сенсор № 1037; Кейс № 8246;	ftp://ftp.cloud.gcm/traffic/1037/1629144584_2021_08_16____23_09_44_494400.pcap , ftp://ftp.cloud.gcm/traffic/1037/1629144663_2021_08_16____23_11_03_410576.pcap , ftp://ftp.cloud.gcm/traffic/1037/1629144455_2021_08_16____23_07_35_550740.pcap
2021-08-17 12:30:08	36296	Сенсор № 1066; Кейс № 8225;	ftp://ftp.cloud.gcm/traffic/1066/1629142325_2021_08_16____22_32_05_848982.pcap
2021-08-17 13:00:01	36297	Сенсор № 1012; Кейс № 8203;	ftp://ftp.cloud.gcm/traffic/1012/1629091808_2021_08_16____08_30_08_808883.pcap
2021-08-17 13:00:02	36298	Сенсор № 1134; Кейс № 8205;	ftp://ftp.cloud.gcm/traffic/1134/1629107514_2021_08_16____12_51_54_036641.pcap
2021-08-17 13:30:02	36299	Сенсор № 1123; Кейс № 8266;	ftp://ftp.cloud.gcm/traffic/1123/1629154451_2021_08_17____01_54_11_584392.pcap
2021-08-17 14:00:03	36300	Сенсор № 1016; Кейс № 8211;	ftp://ftp.cloud.gcm/traffic/1016/1629123309_2021_08_16____17_15_09_376195.pcap
2021-08-17 14:00:04	36301	Сенсор № 1030; Кейс № 8213;	ftp://ftp.cloud.gcm/traffic/1030/1629124868_2021_08_16____17_41_08_951772.pcap
