дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-12-06 07:00:02	38784	Сенсор № 1002; Кейс № 12843;	ftp://ftp.cloud.gcm/traffic/1002/1638530281_2021_12_03____14_18_01_938827.pcap
2021-12-06 07:00:03	38785	Сенсор № 1002; Кейс № 12842; Воздействие так же направлено на следующие адреса: 95.173.131.90	ftp://ftp.cloud.gcm/traffic/1002/1638529794_2021_12_03____14_09_54_917876.pcap
2021-12-06 07:00:05	38786	Сенсор № 1054; Кейс № 12826;	ftp://ftp.cloud.gcm/traffic/1054/1638504424_2021_12_03____07_07_04_460506.pcap
2021-12-06 07:00:05	38787	Сенсор № 1059; Кейс № 12834;	ftp://ftp.cloud.gcm/traffic/1059/1638523322_2021_12_03____12_22_02_907067.pcap
2021-12-06 07:00:07	38788	Сенсор № 1010сенсор № 1084сенсор № 1017сенсор № 1028; Кейс № 12830; Воздействие так же направлено на следующие адреса: 84.42.56.82, 195.42.73.196, 91.223.217.250, 91.223.217.250, 84.42.56.82, 93.187.72.67, 93.187.72.48, 93.187.72.67	ftp://ftp.cloud.gcm/traffic/1017/1638532063_2021_12_03____14_47_43_257474.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638533737_2021_12_03____15_15_37_497228.pcap , ftp://ftp.cloud.gcm/traffic/1017/1638524815_2021_12_03____12_46_55_085102.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638532063_2021_12_03____14_47_43_332573.pcap , ftp://ftp.cloud.gcm/traffic/1017/1638524558_2021_12_03____12_42_38_687265.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638525278_2021_12_03____12_54_38_557321.pcap , ftp://ftp.cloud.gcm/traffic/1017/1638525278_2021_12_03____12_54_38_577522.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638524815_2021_12_03____12_46_55_100499.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638534019_2021_12_03____15_20_19_016667.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638532063_2021_12_03____14_47_43_476440.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638524558_2021_12_03____12_42_38_697036.pcap
2021-12-06 07:00:11	38789	Сенсор № 1002; Кейс № 12838; Воздействие так же направлено на следующие адреса: 95.173.136.71, 95.173.128.90, 93.187.72.67, 94.141.63.78, 95.173.136.70, 95.173.136.72, 93.187.72.48	ftp://ftp.cloud.gcm/traffic/1002/1638532118_2021_12_03____14_48_38_599523.pcap , ftp://ftp.cloud.gcm/traffic/1024/1638532679_2021_12_03____14_57_59_653105.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638534617_2021_12_03____15_30_17_706307.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638532104_2021_12_03____14_48_24_741759.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638533317_2021_12_03____15_08_37_601022.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638534111_2021_12_03____15_21_51_812348.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638540802_2021_12_03____17_13_22_235484.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638532679_2021_12_03____14_57_59_343497.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638534620_2021_12_03____15_30_20_077908.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638540801_2021_12_03____17_13_21_716937.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638534651_2021_12_03____15_30_51_020837.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638534803_2021_12_03____15_33_23_151379.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638540828_2021_12_03____17_13_48_069804.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638537636_2021_12_03____16_20_36_609521.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638534613_2021_12_03____15_30_13_087742.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638538282_2021_12_03____16_31_22_593417.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638538315_2021_12_03____16_31_55_012269.pcap , ftp://ftp.cloud.gcm/traffic/1024/1638538306_2021_12_03____16_31_46_988552.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638534615_2021_12_03____15_30_15_289701.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638539056_2021_12_03____16_44_16_830270.pcap
2021-12-06 07:00:15	38790	Сенсор № 1065; Кейс № 12845;	ftp://ftp.cloud.gcm/traffic/1065/1638539956_2021_12_03____16_59_16_517172.pcap
2021-12-06 07:00:15	38791	Сенсор № 1065; Кейс № 12846;	ftp://ftp.cloud.gcm/traffic/1065/1638533949_2021_12_03____15_19_09_917318.pcap
2021-12-06 07:00:18	38792	Сенсор № 1059; Кейс № 12835;	ftp://ftp.cloud.gcm/traffic/1059/1638523890_2021_12_03____12_31_30_904300.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638534808_2021_12_03____15_33_28_162807.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638523881_2021_12_03____12_31_21_844495.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638530215_2021_12_03____14_16_55_321763.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638530815_2021_12_03____14_26_55_679692.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638534805_2021_12_03____15_33_25_568734.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638529797_2021_12_03____14_09_57_358312.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638523884_2021_12_03____12_31_24_011402.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638523892_2021_12_03____12_31_32_480519.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638537859_2021_12_03____16_24_19_822128.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638537862_2021_12_03____16_24_22_273511.pcap
2021-12-06 07:00:39	38793	Сенсор № 1014сенсор № 1054сенсор № 1081сенсор № 1070сенсор № 1003сенсор № 1130сенсор № 1065сенсор № 1115сенсор № 1021сенсор № 1010сенсор № 1066сенсор № 1051сенсор № 1002сенсор № 1084сенсор № 1073сенсор № 1035сенсор № 1044сенсор № 1080сенсор № 1040сенсор № 1059сенсор № 1103сенсор № 1038сенсор № 1052сенсор № 1088сенсор № 1016сенсор № 1012сенсор № 1006сенсор № 1118сенсор № 1135сенсор № 1072сенсор № 1028сенсор № 1106сенсор № 1071сенсор № 1037сенсор № 1053сенсор № 1041сенсор № 1079; Кейс № 12844; Воздействие так же направлено на следующие адреса: 95.173.136.168, 192.168.1.238, 95.173.129.88, 192.168.199.99, 192.168.40.23, 212.12.13.91, 46.42.7.202, 37.203.242.4, 193.29.19.133, 91.201.211.18, 46.61.209.155, 192.168.1.24, 91.223.217.70, 95.173.132.73, 188.254.86.136, 62.33.223.111, 91.201.210.121, 91.201.210.0, 91.223.217.121, 193.29.19.247, 192.168.1.89, 91.201.209.254, 10.120.36.170, 194.226.26.27, 91.201.211.46, 95.173.136.168, 95.173.132.23, 91.223.217.55, 10.120.36.106, 95.173.128.109, 91.201.210.96, 62.76.145.204, 192.168.1.123, 91.201.211.20, 10.120.36.213, 93.187.72.7, 193.29.19.36, 178.209.117.196, 91.223.217.85, 212.22.95.56, 95.173.128.117, 212.22.95.42, 77.241.31.10, 95.173.136.72, 62.33.223.116, 212.22.95.34, 192.168.1.222, 212.22.95.50, 10.0.1.116, 91.201.209.68, 193.29.19.38, 193.29.19.38, 193.29.19.135, 212.22.95.43, 192.168.0.9, 195.93.246.249, 62.76.145.39, 192.168.1.110, 185.24.244.11, 192.168.1.19, 194.226.26.119, 195.3.183.67, 194.226.26.127, 91.201.209.59, 91.223.217.237, 81.177.34.203, 91.223.217.66, 62.33.223.102, 91.223.217.88, 195.208.58.57, 212.22.95.44, 46.42.4.254, 91.201.210.41, 91.223.217.242, 81.177.34.214, 46.61.209.155, 91.201.210.118, 217.107.78.41, 91.201.208.102, 91.215.189.3, 176.114.205.117, 212.12.13.77, 46.61.209.135, 91.201.211.21, 91.223.217.114, 62.76.145.233, 212.12.13.111, 91.223.217.71, 91.223.217.97, 193.29.19.31, 178.209.117.195, 46.61.209.2, 37.112.57.121, 62.33.223.97, 46.61.209.93, 46.61.209.128, 91.222.157.3, 91.223.217.122, 91.201.209.70, 144.206.11.18, 176.114.205.121, 93.187.72.19, 84.42.56.85, 194.226.26.150, 62.76.145.175, 194.226.26.128, 212.59.97.212, 10.120.36.38, 95.173.136.174, 62.76.145.195, 198.18.44.4, 46.61.209.32, 46.61.209.63, 31.173.55.243, 10.65.4.122, 91.223.37.104, 91.211.60.68, 46.61.209.250, 91.223.217.250, 46.61.209.188	ftp://ftp.cloud.gcm/traffic/1052/1638531949_2021_12_03____14_45_49_769578.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638533496_2021_12_03____15_11_36_732096.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638533754_2021_12_03____15_15_54_959901.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638537370_2021_12_03____16_16_10_357610.pcap , ftp://ftp.cloud.gcm/traffic/1051/1638533512_2021_12_03____15_11_52_970923.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638537427_2021_12_03____16_17_07_416310.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638534217_2021_12_03____15_23_37_353491.pcap , ftp://ftp.cloud.gcm/traffic/1088/1638533423_2021_12_03____15_10_23_434030.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638535224_2021_12_03____15_40_24_526359.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638533435_2021_12_03____15_10_35_107472.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638537436_2021_12_03____16_17_16_431632.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638533469_2021_12_03____15_11_09_505556.pcap , ftp://ftp.cloud.gcm/traffic/1106/1638533995_2021_12_03____15_19_55_358969.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638534111_2021_12_03____15_21_51_086669.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638530229_2021_12_03____14_17_09_674451.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638533352_2021_12_03____15_09_12_347171.pcap , ftp://ftp.cloud.gcm/traffic/1037/1638523423_2021_12_03____12_23_43_397211.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638533416_2021_12_03____15_10_16_369452.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638531922_2021_12_03____14_45_22_261676.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638537169_2021_12_03____16_12_49_526277.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638536349_2021_12_03____15_59_09_367466.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638535581_2021_12_03____15_46_21_227926.pcap , ftp://ftp.cloud.gcm/traffic/1106/1638534470_2021_12_03____15_27_50_061056.pcap , ftp://ftp.cloud.gcm/traffic/1035/1638533453_2021_12_03____15_10_53_353856.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638534575_2021_12_03____15_29_35_449904.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638537434_2021_12_03____16_17_14_208302.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638534137_2021_12_03____15_22_17_819514.pcap , ftp://ftp.cloud.gcm/traffic/1051/1638534563_2021_12_03____15_29_23_672002.pcap , ftp://ftp.cloud.gcm/traffic/1130/1638534124_2021_12_03____15_22_04_513228.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638532005_2021_12_03____14_46_45_423944.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638535226_2021_12_03____15_40_26_633849.pcap , ftp://ftp.cloud.gcm/traffic/1118/1638531926_2021_12_03____14_45_26_883410.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638536194_2021_12_03____15_56_34_060045.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638531915_2021_12_03____14_45_15_062679.pcap , ftp://ftp.cloud.gcm/traffic/1080/1638532640_2021_12_03____14_57_20_876370.pcap , ftp://ftp.cloud.gcm/traffic/1118/1638537400_2021_12_03____16_16_40_059532.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638537158_2021_12_03____16_12_38_288781.pcap , ftp://ftp.cloud.gcm/traffic/1041/1638534554_2021_12_03____15_29_14_498192.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638536340_2021_12_03____15_59_00_338051.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638537391_2021_12_03____16_16_31_086857.pcap , ftp://ftp.cloud.gcm/traffic/1003/1638534205_2021_12_03____15_23_25_280215.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638534131_2021_12_03____15_22_11_107465.pcap , ftp://ftp.cloud.gcm/traffic/1106/1638536489_2021_12_03____16_01_29_342825.pcap , ftp://ftp.cloud.gcm/traffic/1071/1638537409_2021_12_03____16_16_49_396636.pcap , ftp://ftp.cloud.gcm/traffic/1079/1638534205_2021_12_03____15_23_25_744896.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638532710_2021_12_03____14_58_30_649717.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638534452_2021_12_03____15_27_32_053422.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638536536_2021_12_03____16_02_16_464925.pcap , ftp://ftp.cloud.gcm/traffic/1040/1638534584_2021_12_03____15_29_44_730783.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638534462_2021_12_03____15_27_42_027399.pcap , ftp://ftp.cloud.gcm/traffic/1065/1638532844_2021_12_03____15_00_44_270198.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638537507_2021_12_03____16_18_27_917870.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638534462_2021_12_03____15_27_42_422128.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638537377_2021_12_03____16_16_17_245504.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638534566_2021_12_03____15_29_26_034880.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638535989_2021_12_03____15_53_09_478127.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638531956_2021_12_03____14_45_56_896778.pcap , ftp://ftp.cloud.gcm/traffic/1081/1638525301_2021_12_03____12_55_01_762821.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638533470_2021_12_03____15_11_10_271861.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638533299_2021_12_03____15_08_19_200697.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638534140_2021_12_03____15_22_20_325311.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638531947_2021_12_03____14_45_47_404041.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638535973_2021_12_03____15_52_53_393420.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638534135_2021_12_03____15_22_15_717261.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638533755_2021_12_03____15_15_55_110182.pcap , ftp://ftp.cloud.gcm/traffic/1052/1638537429_2021_12_03____16_17_09_808213.pcap , ftp://ftp.cloud.gcm/traffic/1066/1638533359_2021_12_03____15_09_19_467373.pcap , ftp://ftp.cloud.gcm/traffic/1071/1638531936_2021_12_03____14_45_36_212966.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638537425_2021_12_03____16_17_05_217039.pcap , ftp://ftp.cloud.gcm/traffic/1052/1638533515_2021_12_03____15_11_55_345067.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638535229_2021_12_03____15_40_29_131358.pcap , ftp://ftp.cloud.gcm/traffic/1003/1638535626_2021_12_03____15_47_06_482315.pcap , ftp://ftp.cloud.gcm/traffic/1006/1638534797_2021_12_03____15_33_17_198220.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638532642_2021_12_03____14_57_22_412179.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638534133_2021_12_03____15_22_13_552616.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638534115_2021_12_03____15_21_55_405770.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638509772_2021_12_03____08_36_12_843789.pcap , ftp://ftp.cloud.gcm/traffic/1052/1638533455_2021_12_03____15_10_55_462820.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638536194_2021_12_03____15_56_34_171637.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638534543_2021_12_03____15_29_03_151664.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638534210_2021_12_03____15_23_30_210876.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638536487_2021_12_03____16_01_27_017163.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638533301_2021_12_03____15_08_21_402678.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638536019_2021_12_03____15_53_39_959617.pcap , ftp://ftp.cloud.gcm/traffic/1037/1638533374_2021_12_03____15_09_34_072484.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638534126_2021_12_03____15_22_06_718508.pcap , ftp://ftp.cloud.gcm/traffic/1051/1638534538_2021_12_03____15_28_58_026777.pcap , ftp://ftp.cloud.gcm/traffic/1080/1638513366_2021_12_03____09_36_06_849247.pcap , ftp://ftp.cloud.gcm/traffic/1003/1638532728_2021_12_03____14_58_48_652844.pcap , ftp://ftp.cloud.gcm/traffic/1066/1638534147_2021_12_03____15_22_27_239779.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638533430_2021_12_03____15_10_30_121043.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638532642_2021_12_03____14_57_22_421030.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638533343_2021_12_03____15_09_03_306235.pcap , ftp://ftp.cloud.gcm/traffic/1041/1638533361_2021_12_03____15_09_21_546993.pcap , ftp://ftp.cloud.gcm/traffic/1053/1638533485_2021_12_03____15_11_25_523610.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638534570_2021_12_03____15_29_30_981659.pcap , ftp://ftp.cloud.gcm/traffic/1106/1638534205_2021_12_03____15_23_25_336018.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638536013_2021_12_03____15_53_33_230923.pcap , ftp://ftp.cloud.gcm/traffic/1044/1638534556_2021_12_03____15_29_16_871818.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638531954_2021_12_03____14_45_54_311371.pcap , ftp://ftp.cloud.gcm/traffic/1021/1638539243_2021_12_03____16_47_23_902990.pcap , ftp://ftp.cloud.gcm/traffic/1135/1638540282_2021_12_03____17_04_42_983471.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638540699_2021_12_03____17_11_39_315887.pcap , ftp://ftp.cloud.gcm/traffic/1084/1638541063_2021_12_03____17_17_43_481822.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638539232_2021_12_03____16_47_12_574659.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638538258_2021_12_03____16_30_58_351243.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638540204_2021_12_03____17_03_24_366838.pcap , ftp://ftp.cloud.gcm/traffic/1066/1638540575_2021_12_03____17_09_35_693674.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638539204_2021_12_03____16_46_44_614382.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638540182_2021_12_03____17_03_02_124431.pcap , ftp://ftp.cloud.gcm/traffic/1052/1638539245_2021_12_03____16_47_25_476194.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638540196_2021_12_03____17_03_16_001066.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638540153_2021_12_03____17_02_33_835993.pcap , ftp://ftp.cloud.gcm/traffic/1066/1638539126_2021_12_03____16_45_26_674340.pcap , ftp://ftp.cloud.gcm/traffic/1037/1638539300_2021_12_03____16_48_20_581248.pcap , ftp://ftp.cloud.gcm/traffic/1052/1638538993_2021_12_03____16_43_13_742480.pcap , ftp://ftp.cloud.gcm/traffic/1052/1638541058_2021_12_03____17_17_38_644771.pcap , ftp://ftp.cloud.gcm/traffic/1003/1638538359_2021_12_03____16_32_39_683399.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638539232_2021_12_03____16_47_12_692454.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638537592_2021_12_03____16_19_52_665055.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638538398_2021_12_03____16_33_18_487566.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638539032_2021_12_03____16_43_52_850145.pcap , ftp://ftp.cloud.gcm/traffic/1053/1638539321_2021_12_03____16_48_41_239438.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638540177_2021_12_03____17_02_57_383821.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638539257_2021_12_03____16_47_37_091677.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638539117_2021_12_03____16_45_17_995957.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638540566_2021_12_03____17_09_26_122697.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638540287_2021_12_03____17_04_47_254200.pcap , ftp://ftp.cloud.gcm/traffic/1051/1638539598_2021_12_03____16_53_18_394549.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638541027_2021_12_03____17_17_07_076841.pcap , ftp://ftp.cloud.gcm/traffic/1106/1638540008_2021_12_03____17_00_08_975923.pcap , ftp://ftp.cloud.gcm/traffic/1106/1638540666_2021_12_03____17_11_06_793268.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638541056_2021_12_03____17_17_36_455588.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638538260_2021_12_03____16_31_00_419936.pcap , ftp://ftp.cloud.gcm/traffic/1088/1638539332_2021_12_03____16_48_52_794366.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638539296_2021_12_03____16_48_16_259317.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638538339_2021_12_03____16_32_19_183995.pcap , ftp://ftp.cloud.gcm/traffic/1071/1638538341_2021_12_03____16_32_21_534050.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638540731_2021_12_03____17_12_11_219597.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638540742_2021_12_03____17_12_22_356761.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638538737_2021_12_03____16_38_57_239217.pcap , ftp://ftp.cloud.gcm/traffic/1115/1638538998_2021_12_03____16_43_18_321313.pcap , ftp://ftp.cloud.gcm/traffic/1052/1638539378_2021_12_03____16_49_38_358527.pcap , ftp://ftp.cloud.gcm/traffic/1051/1638540721_2021_12_03____17_12_01_799355.pcap , ftp://ftp.cloud.gcm/traffic/1052/1638539124_2021_12_03____16_45_24_144958.pcap , ftp://ftp.cloud.gcm/traffic/1088/1638539216_2021_12_03____16_46_56_156706.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638539348_2021_12_03____16_49_08_916342.pcap , ftp://ftp.cloud.gcm/traffic/1079/1638540278_2021_12_03____17_04_38_043767.pcap , ftp://ftp.cloud.gcm/traffic/1012/1638540589_2021_12_03____17_09_49_288691.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638541035_2021_12_03____17_17_15_016145.pcap , ftp://ftp.cloud.gcm/traffic/1080/1638538255_2021_12_03____16_30_55_971031.pcap , ftp://ftp.cloud.gcm/traffic/1037/1638539149_2021_12_03____16_45_49_549096.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638539227_2021_12_03____16_47_07_556015.pcap , ftp://ftp.cloud.gcm/traffic/1106/1638540587_2021_12_03____17_09_47_112501.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638538258_2021_12_03____16_30_58_315542.pcap , ftp://ftp.cloud.gcm/traffic/1066/1638540390_2021_12_03____17_06_30_476637.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638540726_2021_12_03____17_12_06_930351.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638539117_2021_12_03____16_45_17_991471.pcap , ftp://ftp.cloud.gcm/traffic/1130/1638540170_2021_12_03____17_02_50_701980.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638539236_2021_12_03____16_47_16_516090.pcap , ftp://ftp.cloud.gcm/traffic/1054/1638538989_2021_12_03____16_43_09_008228.pcap , ftp://ftp.cloud.gcm/traffic/1035/1638539271_2021_12_03____16_47_51_161742.pcap , ftp://ftp.cloud.gcm/traffic/1051/1638540694_2021_12_03____17_11_34_750960.pcap , ftp://ftp.cloud.gcm/traffic/1066/1638538984_2021_12_03____16_43_04_549305.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638539099_2021_12_03____16_44_59_294992.pcap , ftp://ftp.cloud.gcm/traffic/1066/1638540207_2021_12_03____17_03_27_430274.pcap , ftp://ftp.cloud.gcm/traffic/1106/1638540692_2021_12_03____17_11_32_496074.pcap , ftp://ftp.cloud.gcm/traffic/1051/1638539376_2021_12_03____16_49_36_206172.pcap , ftp://ftp.cloud.gcm/traffic/1044/1638540712_2021_12_03____17_11_52_968903.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638540149_2021_12_03____17_02_29_228192.pcap , ftp://ftp.cloud.gcm/traffic/1052/1638539273_2021_12_03____16_47_53_166712.pcap , ftp://ftp.cloud.gcm/traffic/1059/1638537590_2021_12_03____16_19_50_483741.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638540173_2021_12_03____17_02_53_264993.pcap , ftp://ftp.cloud.gcm/traffic/1006/1638541021_2021_12_03____17_17_01_129977.pcap , ftp://ftp.cloud.gcm/traffic/1003/1638540277_2021_12_03____17_04_37_993035.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638540204_2021_12_03____17_03_24_298709.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638540614_2021_12_03____17_10_14_926009.pcap , ftp://ftp.cloud.gcm/traffic/1051/1638539069_2021_12_03____16_44_29_180420.pcap , ftp://ftp.cloud.gcm/traffic/1041/1638540710_2021_12_03____17_11_50_537241.pcap , ftp://ftp.cloud.gcm/traffic/1002/1638539117_2021_12_03____16_45_17_991715.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638539179_2021_12_03____16_46_19_470339.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638539140_2021_12_03____16_45_40_168398.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638539252_2021_12_03____16_47_32_805791.pcap , ftp://ftp.cloud.gcm/traffic/1038/1638540580_2021_12_03____17_09_40_319373.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638539223_2021_12_03____16_47_03_390083.pcap , ftp://ftp.cloud.gcm/traffic/1040/1638540751_2021_12_03____17_12_31_339552.pcap , ftp://ftp.cloud.gcm/traffic/1065/1638540589_2021_12_03____17_09_49_409219.pcap , ftp://ftp.cloud.gcm/traffic/1118/1638541037_2021_12_03____17_17_17_325554.pcap , ftp://ftp.cloud.gcm/traffic/1028/1638540278_2021_12_03____17_04_38_143558.pcap , ftp://ftp.cloud.gcm/traffic/1041/1638539135_2021_12_03____16_45_35_679121.pcap , ftp://ftp.cloud.gcm/traffic/1106/1638540278_2021_12_03____17_04_38_008473.pcap , ftp://ftp.cloud.gcm/traffic/1003/1638540733_2021_12_03____17_12_13_414028.pcap , ftp://ftp.cloud.gcm/traffic/1073/1638539030_2021_12_03____16_43_50_606360.pcap , ftp://ftp.cloud.gcm/traffic/1072/1638541060_2021_12_03____17_17_40_843473.pcap , ftp://ftp.cloud.gcm/traffic/1070/1638541107_2021_12_03____17_18_27_828363.pcap , ftp://ftp.cloud.gcm/traffic/1106/1638539078_2021_12_03____16_44_38_545118.pcap , ftp://ftp.cloud.gcm/traffic/1065/1638538496_2021_12_03____16_34_56_237293.pcap
