дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-10-07 07:00:03	37298	Сенсор № 1010; Кейс № 10436;	ftp://ftp.cloud.gcm/traffic/1010/1633493574_2021_10_06____07_12_54_694443.pcap
2021-10-07 07:00:04	37299	Сенсор № 1130; Кейс № 10437;	ftp://ftp.cloud.gcm/traffic/1130/1633482051_2021_10_06____04_00_51_737187.pcap
2021-10-07 07:00:04	37300	Сенсор № 1072; Кейс № 10438;	ftp://ftp.cloud.gcm/traffic/1072/1633474960_2021_10_06____02_02_40_966227.pcap
2021-10-07 07:00:05	37301	Сенсор № 1010; Кейс № 10439;	ftp://ftp.cloud.gcm/traffic/1010/1633488693_2021_10_06____05_51_33_122052.pcap
2021-10-07 07:00:05	37302	Сенсор № 1070; Кейс № 10440;	ftp://ftp.cloud.gcm/traffic/1070/1633473225_2021_10_06____01_33_45_601021.pcap
2021-10-07 07:00:06	37303	Сенсор № 1094; Кейс № 10420;	ftp://ftp.cloud.gcm/traffic/1094/1633515130_2021_10_06____13_12_10_457702.pcap , ftp://ftp.cloud.gcm/traffic/1094/1633468828_2021_10_06____00_20_28_830349.pcap
2021-10-07 07:00:07	37304	Сенсор № 1051; Кейс № 10443;	ftp://ftp.cloud.gcm/traffic/1051/1633483995_2021_10_06____04_33_15_369676.pcap
2021-10-07 07:00:08	37305	Сенсор № 1002; Кейс № 10445;	ftp://ftp.cloud.gcm/traffic/1002/1633482048_2021_10_06____04_00_48_434741.pcap
2021-10-07 07:00:08	37306	Сенсор № 1059; Кейс № 10447;	ftp://ftp.cloud.gcm/traffic/1059/1633578217_2021_10_07____06_43_37_710729.pcap
2021-10-07 07:30:02	37307	Сенсор № 1106; Кейс № 10448;	ftp://ftp.cloud.gcm/traffic/1106/1633578441_2021_10_07____06_47_21_110102.pcap
2021-10-07 07:30:02	37308	Сенсор № 1002; Кейс № 10449;	ftp://ftp.cloud.gcm/traffic/1002/1633552619_2021_10_06____23_36_59_643486.pcap
2021-10-07 10:30:01	37309	Сенсор № 1030; Кейс № 10451;	ftp://ftp.cloud.gcm/traffic/1030/1633585895_2021_10_07____08_51_35_242362.pcap
2021-10-07 12:30:02	37310	Сенсор № 1052; Кейс № 10442;	ftp://ftp.cloud.gcm/traffic/1052/1633526814_2021_10_06____16_26_54_170523.pcap
2021-10-07 12:30:02	37311	Сенсор № 1117; Кейс № 10454;	ftp://ftp.cloud.gcm/traffic/1117/1633593647_2021_10_07____11_00_47_769047.pcap
2021-10-07 14:30:02	37312	Сенсор № 1028; Кейс № 10456;	ftp://ftp.cloud.gcm/traffic/1028/1633596009_2021_10_07____11_40_09_068971.pcap
2021-10-07 15:30:03	37313	Сенсор № 1130; Кейс № 10446;	ftp://ftp.cloud.gcm/traffic/1130/1633607833_2021_10_07____14_57_13_512750.pcap , ftp://ftp.cloud.gcm/traffic/1130/1633584654_2021_10_07____08_30_54_158755.pcap , ftp://ftp.cloud.gcm/traffic/1130/1633564461_2021_10_07____02_54_21_700409.pcap , ftp://ftp.cloud.gcm/traffic/1130/1633572028_2021_10_07____05_00_28_919619.pcap
2021-10-07 15:30:03	37314	Сенсор № 1011; Кейс № 10458;	ftp://ftp.cloud.gcm/traffic/1011/1633573746_2021_10_07____05_29_06_547431.pcap
2021-10-07 15:30:03	37315	Сенсор № 1028; Кейс № 10419;	ftp://ftp.cloud.gcm/traffic/1028/1633498021_2021_10_06____08_27_01_873196.pcap
2021-10-07 16:00:02	37316	Сенсор № 1044; Кейс № 10412;	ftp://ftp.cloud.gcm/traffic/1044/1633506985_2021_10_06____10_56_25_509360.pcap
2021-10-07 16:00:02	37317	Сенсор № 1006; Кейс № 10460; Воздействие так же направлено на следующие адреса: 10.0.1.116	ftp://ftp.cloud.gcm/traffic/1006/1633584748_2021_10_07____08_32_28_980678.pcap
2021-10-07 17:30:01	37318	Сенсор № 1014; Кейс № 10462; Воздействие так же направлено на следующие адреса: 192.168.6.75	ftp://ftp.cloud.gcm/traffic/1014/1633565988_2021_10_07____03_19_48_304114.pcap
2021-10-07 18:30:02	37319	Сенсор № 1070; Кейс № 10463;	ftp://ftp.cloud.gcm/traffic/1070/1633616756_2021_10_07____17_25_56_123952.pcap
