дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-09-28 07:00:02	37079	Сенсор № 1045; Кейс № 10056;	ftp://ftp.cloud.gcm/traffic/1045/1632726017_2021_09_27____10_00_17_487801.pcap
2021-09-28 07:00:02	37080	Сенсор № 1021; Кейс № 10053;	ftp://ftp.cloud.gcm/traffic/1021/1632717444_2021_09_27____07_37_24_242958.pcap
2021-09-28 07:00:03	37081	Сенсор № 1030; Кейс № 10059;	ftp://ftp.cloud.gcm/traffic/1030/1632717450_2021_09_27____07_37_30_818885.pcap
2021-09-28 07:00:03	37082	Сенсор № 1048; Кейс № 10060;	ftp://ftp.cloud.gcm/traffic/1048/1632717466_2021_09_27____07_37_46_334922.pcap
2021-09-28 07:00:07	37083	Сенсор № 1074; Кейс № 10061;	ftp://ftp.cloud.gcm/traffic/1074/1632717497_2021_09_27____07_38_17_502082.pcap
2021-09-28 07:00:07	37084	Сенсор № 1066; Кейс № 10063;	ftp://ftp.cloud.gcm/traffic/1066/1632717486_2021_09_27____07_38_06_476393.pcap
2021-09-28 07:30:01	37085	Сенсор № 1022; Кейс № 10064;	ftp://ftp.cloud.gcm/traffic/1022/1632725777_2021_09_27____09_56_17_734162.pcap
2021-09-28 07:30:01	37086	Сенсор № 1073; Кейс № 10055;	ftp://ftp.cloud.gcm/traffic/1073/1632795775_2021_09_28____05_22_55_345062.pcap , ftp://ftp.cloud.gcm/traffic/1073/1632717495_2021_09_27____07_38_15_203069.pcap
2021-09-28 07:30:02	37087	Сенсор № 1013; Кейс № 10054;	ftp://ftp.cloud.gcm/traffic/1013/1632796285_2021_09_28____05_31_25_522979.pcap , ftp://ftp.cloud.gcm/traffic/1013/1632717437_2021_09_27____07_37_17_622146.pcap
2021-09-28 10:00:05	37088	Сенсор № 1105; Кейс № 10051; Воздействие так же направлено на следующие адреса: 10.10.181.4, 10.10.43.107, 172.17.85.48	ftp://ftp.cloud.gcm/traffic/1105/1632804642_2021_09_28____07_50_42_166495.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632808812_2021_09_28____09_00_12_249549.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632810840_2021_09_28____09_34_00_220096.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632810842_2021_09_28____09_34_02_126256.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632810844_2021_09_28____09_34_04_312670.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632726046_2021_09_27____10_00_46_910474.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632725945_2021_09_27____09_59_05_291877.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632710227_2021_09_27____05_37_07_140053.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632711611_2021_09_27____06_00_11_786086.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632717338_2021_09_27____07_35_38_007110.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632717342_2021_09_27____07_35_42_156349.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632717344_2021_09_27____07_35_44_376282.pcap , ftp://ftp.cloud.gcm/traffic/1105/1632725938_2021_09_27____09_58_58_982597.pcap
