дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-11-23 07:00:02	38502	Сенсор № 1012; Кейс № 12433;	ftp://ftp.cloud.gcm/traffic/1012/1637591751_2021_11_22____17_35_51_185322.pcap
2021-11-23 07:00:02	38503	Сенсор № 1072; Кейс № 12434;	ftp://ftp.cloud.gcm/traffic/1072/1637587737_2021_11_22____16_28_57_142689.pcap
2021-11-23 08:30:01	38504	Сенсор № 1106; Кейс № 12435;	ftp://ftp.cloud.gcm/traffic/1106/1637596339_2021_11_22____18_52_19_308543.pcap
2021-11-23 08:30:01	38505	Сенсор № 1135; Кейс № 12411;	ftp://ftp.cloud.gcm/traffic/1135/1637578182_2021_11_22____13_49_42_154804.pcap , ftp://ftp.cloud.gcm/traffic/1135/1637577987_2021_11_22____13_46_27_213937.pcap , ftp://ftp.cloud.gcm/traffic/1135/1637577153_2021_11_22____13_32_33_179120.pcap
2021-11-23 08:30:02	38506	Сенсор № 1072; Кейс № 12460;	ftp://ftp.cloud.gcm/traffic/1072/1637615067_2021_11_23____00_04_27_790708.pcap
2021-11-23 08:30:02	38507	Сенсор № 1082; Кейс № 12436;	ftp://ftp.cloud.gcm/traffic/1082/1637577859_2021_11_22____13_44_19_909261.pcap
2021-11-23 11:00:02	38508	Сенсор № 1030; Кейс № 12461;	ftp://ftp.cloud.gcm/traffic/1030/1637625258_2021_11_23____02_54_18_649584.pcap , ftp://ftp.cloud.gcm/traffic/1030/1637653495_2021_11_23____10_44_55_925376.pcap
2021-11-23 11:00:02	38509	Сенсор № 1028; Кейс № 12462;	ftp://ftp.cloud.gcm/traffic/1028/1637652896_2021_11_23____10_34_56_927144.pcap
2021-11-23 11:30:01	38510	Сенсор № 1106; Кейс № 12463;	ftp://ftp.cloud.gcm/traffic/1106/1637620225_2021_11_23____01_30_25_773257.pcap
2021-11-23 12:00:01	38511	Сенсор № 1052; Кейс № 12466;	ftp://ftp.cloud.gcm/traffic/1052/1637637452_2021_11_23____06_17_32_436939.pcap
2021-11-23 13:00:01	38512	Сенсор № 1036; Кейс № 12471;	ftp://ftp.cloud.gcm/traffic/1036/1637645310_2021_11_23____08_28_30_246968.pcap
2021-11-23 13:30:02	38513	Сенсор № 1036; Кейс № 12472;	ftp://ftp.cloud.gcm/traffic/1036/1637661815_2021_11_23____13_03_35_368099.pcap
2021-11-23 14:00:01	38514	Сенсор № 1038; Кейс № 12473;	ftp://ftp.cloud.gcm/traffic/1038/1637617825_2021_11_23____00_50_25_726904.pcap
2021-11-23 17:30:01	38515	Сенсор № 1036; Кейс № 12476;	ftp://ftp.cloud.gcm/traffic/1036/1637637787_2021_11_23____06_23_07_488561.pcap
2021-11-23 18:00:02	38516	Сенсор № 1061; Кейс № 12477;	ftp://ftp.cloud.gcm/traffic/1061/1637661963_2021_11_23____13_06_03_059355.pcap
