дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-12-21 07:30:02	39176	Сенсор № 1024; Кейс № 14956;	ftp://ftp.cloud.gcm/traffic/1024/1640052329_2021_12_21____05_05_29_446732.pcap
2021-12-21 07:30:02	39177	Сенсор № 1070; Кейс № 14957; Воздействие так же направлено на следующие адреса: 62.33.223.111	ftp://ftp.cloud.gcm/traffic/1070/1640049778_2021_12_21____04_22_58_548160.pcap
2021-12-21 08:30:02	39178	Сенсор № 1072; Кейс № 14948; Воздействие так же направлено на следующие адреса: 91.201.209.244, 91.201.210.96, 91.201.209.254, 91.201.209.248, 91.201.210.2	ftp://ftp.cloud.gcm/traffic/1072/1639992643_2021_12_20____12_30_43_717753.pcap
2021-12-21 09:00:08	39179	Сенсор № 1076сенсор № 1054сенсор № 1070сенсор № 1130сенсор № 1065сенсор № 1125сенсор № 1109сенсор № 1066сенсор № 1077сенсор № 1051сенсор № 1024сенсор № 1002сенсор № 1073сенсор № 1035сенсор № 1080сенсор № 1059сенсор № 1005сенсор № 1038сенсор № 1052сенсор № 1088сенсор № 1006сенсор № 1135сенсор № 1072сенсор № 1028сенсор № 1106сенсор № 1037сенсор № 1134сенсор № 1053сенсор № 1041сенсор № 1030сенсор № 1061; Кейс № 14947; Воздействие так же направлено на следующие адреса: 194.226.16.3, 198.18.44.4, 194.226.26.102, 213.33.197.106, 213.33.197.102, 194.226.26.127, 213.24.76.30, 195.34.232.173, 144.206.11.3, 91.201.211.71, 91.201.211.54, 91.201.211.46, 62.76.145.84, 77.108.112.251, 109.68.21.134, 46.61.209.16, 212.22.95.36, 91.223.217.86, 213.24.76.20, 62.33.223.102, 77.241.31.37, 194.226.26.156, 192.168.1.15, 194.226.26.153, 95.173.132.73, 217.107.78.40, 31.173.55.235, 193.29.19.55, 213.24.76.23, 91.201.209.229, 91.201.211.75, 62.76.145.207, 10.65.4.159, 91.223.217.66, 77.108.112.250, 31.173.55.227, 95.173.132.31, 91.201.210.48, 31.173.55.248, 144.206.11.18, 212.12.13.83, 212.12.13.68, 10.0.1.116, 91.211.60.67, 91.201.211.99, 185.24.244.11, 194.226.132.77, 62.76.145.83, 178.209.117.194, 195.208.58.49, 95.173.157.74, 178.237.206.5, 91.223.217.122, 176.114.205.114, 91.223.217.253	ftp://ftp.cloud.gcm/traffic/1125/1640055712_2021_12_21____06_01_52_175089.pcap , ftp://ftp.cloud.gcm/traffic/1059/1640054912_2021_12_21____05_48_32_875846.pcap , ftp://ftp.cloud.gcm/traffic/1052/1640054978_2021_12_21____05_49_38_002785.pcap , ftp://ftp.cloud.gcm/traffic/1052/1640055009_2021_12_21____05_50_09_166804.pcap , ftp://ftp.cloud.gcm/traffic/1109/1640055809_2021_12_21____06_03_29_421549.pcap , ftp://ftp.cloud.gcm/traffic/1077/1640056138_2021_12_21____06_08_58_576929.pcap , ftp://ftp.cloud.gcm/traffic/1030/1640056153_2021_12_21____06_09_13_100771.pcap , ftp://ftp.cloud.gcm/traffic/1030/1640056247_2021_12_21____06_10_47_730880.pcap , ftp://ftp.cloud.gcm/traffic/1054/1640056875_2021_12_21____06_21_15_906729.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640059772_2021_12_21____07_09_32_275170.pcap , ftp://ftp.cloud.gcm/traffic/1005/1639991784_2021_12_20____12_16_24_980489.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640059758_2021_12_21____07_09_18_366768.pcap , ftp://ftp.cloud.gcm/traffic/1038/1640064573_2021_12_21____08_29_33_082276.pcap , ftp://ftp.cloud.gcm/traffic/1052/1640063902_2021_12_21____08_18_22_378737.pcap , ftp://ftp.cloud.gcm/traffic/1028/1640063987_2021_12_21____08_19_47_761895.pcap , ftp://ftp.cloud.gcm/traffic/1061/1640060716_2021_12_21____07_25_16_780473.pcap , ftp://ftp.cloud.gcm/traffic/1073/1640061714_2021_12_21____07_41_54_237328.pcap , ftp://ftp.cloud.gcm/traffic/1106/1640062811_2021_12_21____08_00_11_198973.pcap , ftp://ftp.cloud.gcm/traffic/1035/1640052273_2021_12_21____05_04_33_714521.pcap , ftp://ftp.cloud.gcm/traffic/1052/1640052401_2021_12_21____05_06_41_902348.pcap , ftp://ftp.cloud.gcm/traffic/1028/1640053187_2021_12_21____05_19_47_905426.pcap , ftp://ftp.cloud.gcm/traffic/1051/1640049770_2021_12_21____04_22_50_724182.pcap , ftp://ftp.cloud.gcm/traffic/1030/1640049820_2021_12_21____04_23_40_353365.pcap , ftp://ftp.cloud.gcm/traffic/1070/1640054453_2021_12_21____05_40_53_750337.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640058853_2021_12_21____06_54_13_068516.pcap , ftp://ftp.cloud.gcm/traffic/1002/1640057781_2021_12_21____06_36_21_223377.pcap , ftp://ftp.cloud.gcm/traffic/1028/1640058121_2021_12_21____06_42_01_552696.pcap , ftp://ftp.cloud.gcm/traffic/1037/1640057666_2021_12_21____06_34_26_832955.pcap , ftp://ftp.cloud.gcm/traffic/1052/1640057439_2021_12_21____06_30_39_861884.pcap , ftp://ftp.cloud.gcm/traffic/1130/1640058621_2021_12_21____06_50_21_120872.pcap , ftp://ftp.cloud.gcm/traffic/1037/1640058727_2021_12_21____06_52_07_127841.pcap , ftp://ftp.cloud.gcm/traffic/1030/1640057462_2021_12_21____06_31_02_115704.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640058825_2021_12_21____06_53_45_825883.pcap , ftp://ftp.cloud.gcm/traffic/1066/1640058719_2021_12_21____06_51_59_241134.pcap , ftp://ftp.cloud.gcm/traffic/1135/1640058148_2021_12_21____06_42_28_943009.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640059112_2021_12_21____06_58_32_529446.pcap , ftp://ftp.cloud.gcm/traffic/1073/1640058784_2021_12_21____06_53_04_228310.pcap , ftp://ftp.cloud.gcm/traffic/1005/1640059150_2021_12_21____06_59_10_552144.pcap , ftp://ftp.cloud.gcm/traffic/1059/1640059144_2021_12_21____06_59_04_157577.pcap , ftp://ftp.cloud.gcm/traffic/1065/1640062163_2021_12_21____07_49_23_473898.pcap , ftp://ftp.cloud.gcm/traffic/1024/1640061156_2021_12_21____07_32_36_691094.pcap , ftp://ftp.cloud.gcm/traffic/1006/1640062905_2021_12_21____08_01_45_528905.pcap , ftp://ftp.cloud.gcm/traffic/1065/1640063824_2021_12_21____08_17_04_744102.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640060430_2021_12_21____07_20_30_199938.pcap , ftp://ftp.cloud.gcm/traffic/1054/1640061237_2021_12_21____07_33_57_122302.pcap , ftp://ftp.cloud.gcm/traffic/1066/1640061231_2021_12_21____07_33_51_169904.pcap , ftp://ftp.cloud.gcm/traffic/1088/1640062757_2021_12_21____07_59_17_642842.pcap , ftp://ftp.cloud.gcm/traffic/1041/1640062010_2021_12_21____07_46_50_997420.pcap , ftp://ftp.cloud.gcm/traffic/1080/1640063811_2021_12_21____08_16_51_672525.pcap , ftp://ftp.cloud.gcm/traffic/1066/1640061187_2021_12_21____07_33_07_009491.pcap , ftp://ftp.cloud.gcm/traffic/1076/1640062650_2021_12_21____07_57_30_182674.pcap , ftp://ftp.cloud.gcm/traffic/1028/1640063624_2021_12_21____08_13_44_057181.pcap , ftp://ftp.cloud.gcm/traffic/1134/1640062759_2021_12_21____07_59_19_820909.pcap , ftp://ftp.cloud.gcm/traffic/1028/1640060704_2021_12_21____07_25_04_694521.pcap , ftp://ftp.cloud.gcm/traffic/1053/1640063561_2021_12_21____08_12_41_072419.pcap , ftp://ftp.cloud.gcm/traffic/1065/1640062208_2021_12_21____07_50_08_878420.pcap
2021-12-21 09:00:18	39180	Сенсор № 1054сенсор № 1130сенсор № 1036сенсор № 1065сенсор № 1125сенсор № 1110сенсор № 1051сенсор № 1002сенсор № 1073сенсор № 1035сенсор № 1044сенсор № 1080сенсор № 1040сенсор № 1139сенсор № 1059сенсор № 1006сенсор № 1118сенсор № 1072сенсор № 1106сенсор № 1053сенсор № 1041; Кейс № 14952; Воздействие так же направлено на следующие адреса: 193.29.19.31, 10.0.1.54, 91.211.60.66, 95.173.136.72, 176.100.242.209, 178.209.117.194, 193.29.19.51, 176.100.242.150, 185.24.244.12, 176.100.242.210, 46.61.243.34, 46.61.243.217, 77.241.31.14, 176.100.242.154, 144.206.95.4, 46.61.243.218, 176.100.242.153, 46.61.243.132, 46.61.243.67, 46.61.243.125, 193.29.19.53, 10.65.4.32, 91.201.211.71, 91.201.211.64, 10.65.4.122, 91.201.209.253, 91.201.211.171, 46.42.4.165, 212.22.95.45, 195.208.58.57, 144.206.14.43, 144.206.14.50, 212.22.95.62, 144.206.11.3, 144.206.11.23, 144.206.14.62, 212.22.95.34, 144.206.6.26, 144.206.11.18, 212.12.13.90, 91.222.157.7, 77.243.12.229, 91.201.211.75, 91.201.208.67, 91.201.210.84, 91.201.211.28, 91.201.210.41, 91.201.209.244, 91.215.189.3, 91.201.211.46, 212.30.142.4, 91.201.209.143, 198.18.47.11, 192.168.1.98, 91.201.210.61, 212.22.95.39	ftp://ftp.cloud.gcm/traffic/1139/1640050718_2021_12_21____04_38_38_680255.pcap , ftp://ftp.cloud.gcm/traffic/1073/1640054857_2021_12_21____05_47_37_038252.pcap , ftp://ftp.cloud.gcm/traffic/1139/1640050707_2021_12_21____04_38_27_205948.pcap , ftp://ftp.cloud.gcm/traffic/1139/1640050714_2021_12_21____04_38_34_070328.pcap , ftp://ftp.cloud.gcm/traffic/1073/1640054859_2021_12_21____05_47_39_286180.pcap , ftp://ftp.cloud.gcm/traffic/1006/1640055015_2021_12_21____05_50_15_333683.pcap , ftp://ftp.cloud.gcm/traffic/1002/1640052587_2021_12_21____05_09_47_333032.pcap , ftp://ftp.cloud.gcm/traffic/1035/1640052216_2021_12_21____05_03_36_356620.pcap , ftp://ftp.cloud.gcm/traffic/1139/1640050704_2021_12_21____04_38_24_947991.pcap , ftp://ftp.cloud.gcm/traffic/1139/1640050716_2021_12_21____04_38_36_422904.pcap , ftp://ftp.cloud.gcm/traffic/1080/1640054934_2021_12_21____05_48_54_761780.pcap , ftp://ftp.cloud.gcm/traffic/1073/1640054851_2021_12_21____05_47_31_848265.pcap , ftp://ftp.cloud.gcm/traffic/1125/1640050839_2021_12_21____04_40_39_429261.pcap , ftp://ftp.cloud.gcm/traffic/1139/1640050720_2021_12_21____04_38_40_987535.pcap , ftp://ftp.cloud.gcm/traffic/1139/1640050711_2021_12_21____04_38_31_768276.pcap , ftp://ftp.cloud.gcm/traffic/1139/1640050709_2021_12_21____04_38_29_506016.pcap , ftp://ftp.cloud.gcm/traffic/1041/1640052002_2021_12_21____05_00_02_715361.pcap , ftp://ftp.cloud.gcm/traffic/1073/1640054854_2021_12_21____05_47_34_787804.pcap , ftp://ftp.cloud.gcm/traffic/1139/1640050723_2021_12_21____04_38_43_294252.pcap , ftp://ftp.cloud.gcm/traffic/1130/1640056188_2021_12_21____06_09_48_684687.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640057038_2021_12_21____06_23_58_195153.pcap , ftp://ftp.cloud.gcm/traffic/1130/1640056827_2021_12_21____06_20_27_735008.pcap , ftp://ftp.cloud.gcm/traffic/1130/1640056829_2021_12_21____06_20_29_880371.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640057040_2021_12_21____06_24_00_561741.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640057042_2021_12_21____06_24_02_808349.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640057035_2021_12_21____06_23_55_934026.pcap , ftp://ftp.cloud.gcm/traffic/1044/1640062090_2021_12_21____07_48_10_555720.pcap , ftp://ftp.cloud.gcm/traffic/1053/1640063652_2021_12_21____08_14_12_559730.pcap , ftp://ftp.cloud.gcm/traffic/1065/1640063668_2021_12_21____08_14_28_233001.pcap , ftp://ftp.cloud.gcm/traffic/1106/1640062853_2021_12_21____08_00_53_714596.pcap , ftp://ftp.cloud.gcm/traffic/1054/1640063647_2021_12_21____08_14_07_820131.pcap , ftp://ftp.cloud.gcm/traffic/1054/1640063476_2021_12_21____08_11_16_868073.pcap , ftp://ftp.cloud.gcm/traffic/1106/1640062849_2021_12_21____08_00_49_238449.pcap , ftp://ftp.cloud.gcm/traffic/1106/1640062844_2021_12_21____08_00_44_579171.pcap , ftp://ftp.cloud.gcm/traffic/1054/1640063654_2021_12_21____08_14_14_801173.pcap , ftp://ftp.cloud.gcm/traffic/1054/1640063657_2021_12_21____08_14_17_039872.pcap , ftp://ftp.cloud.gcm/traffic/1054/1640063659_2021_12_21____08_14_19_443553.pcap , ftp://ftp.cloud.gcm/traffic/1040/1640062846_2021_12_21____08_00_46_862248.pcap , ftp://ftp.cloud.gcm/traffic/1054/1640063661_2021_12_21____08_14_21_756721.pcap , ftp://ftp.cloud.gcm/traffic/1054/1640063474_2021_12_21____08_11_14_466496.pcap , ftp://ftp.cloud.gcm/traffic/1106/1640062851_2021_12_21____08_00_51_468169.pcap , ftp://ftp.cloud.gcm/traffic/1054/1640063650_2021_12_21____08_14_10_133707.pcap , ftp://ftp.cloud.gcm/traffic/1036/1640063822_2021_12_21____08_17_02_321666.pcap , ftp://ftp.cloud.gcm/traffic/1106/1640061226_2021_12_21____07_33_46_376849.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640059189_2021_12_21____06_59_49_746226.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640059191_2021_12_21____06_59_51_846868.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640059187_2021_12_21____06_59_47_190492.pcap , ftp://ftp.cloud.gcm/traffic/1118/1640057690_2021_12_21____06_34_50_655619.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640059185_2021_12_21____06_59_45_076871.pcap , ftp://ftp.cloud.gcm/traffic/1051/1640058915_2021_12_21____06_55_15_989911.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640058281_2021_12_21____06_44_41_429767.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640059180_2021_12_21____06_59_40_229991.pcap , ftp://ftp.cloud.gcm/traffic/1059/1640058157_2021_12_21____06_42_37_215013.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640058283_2021_12_21____06_44_43_632052.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640059182_2021_12_21____06_59_42_558725.pcap , ftp://ftp.cloud.gcm/traffic/1072/1640058279_2021_12_21____06_44_39_146069.pcap , ftp://ftp.cloud.gcm/traffic/1110/1640057576_2021_12_21____06_32_56_374180.pcap , ftp://ftp.cloud.gcm/traffic/1106/1640061228_2021_12_21____07_33_48_500271.pcap
2021-12-21 09:00:19	39181	Сенсор № 1013; Кейс № 14954;	ftp://ftp.cloud.gcm/traffic/1013/1640054781_2021_12_21____05_46_21_941906.pcap
2021-12-21 11:30:01	39182	Сенсор № 1012; Кейс № 14960;	ftp://ftp.cloud.gcm/traffic/1012/1640066054_2021_12_21____08_54_14_732175.pcap
2021-12-21 13:00:02	39183	Сенсор № 1106; Кейс № 14962;	ftp://ftp.cloud.gcm/traffic/1106/1640062803_2021_12_21____08_00_03_278106.pcap
2021-12-21 15:30:02	39184	Сенсор № 1130; Кейс № 14963;	ftp://ftp.cloud.gcm/traffic/1130/1640068513_2021_12_21____09_35_13_469154.pcap
