дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-09-20 07:00:02	36862	Сенсор № 1094; Кейс № 9689;	ftp://ftp.cloud.gcm/traffic/1094/1631892047_2021_09_17____18_20_47_014034.pcap
2021-09-20 07:00:06	36863	Сенсор № 1061; Кейс № 9683;	ftp://ftp.cloud.gcm/traffic/1061/1631891791_2021_09_17____18_16_31_850852.pcap , ftp://ftp.cloud.gcm/traffic/1061/1631892568_2021_09_17____18_29_28_280946.pcap , ftp://ftp.cloud.gcm/traffic/1061/1631890040_2021_09_17____17_47_20_969230.pcap , ftp://ftp.cloud.gcm/traffic/1061/1631880223_2021_09_17____15_03_43_574376.pcap , ftp://ftp.cloud.gcm/traffic/1061/1631876975_2021_09_17____14_09_35_450448.pcap , ftp://ftp.cloud.gcm/traffic/1061/1631877123_2021_09_17____14_12_03_167453.pcap
2021-09-20 07:00:07	36864	Сенсор № 1002; Кейс № 9677;	ftp://ftp.cloud.gcm/traffic/1002/1631887208_2021_09_17____17_00_08_907249.pcap
2021-09-20 07:00:07	36865	Сенсор № 1018; Кейс № 9693;	ftp://ftp.cloud.gcm/traffic/1018/1631921926_2021_09_18____02_38_46_344080.pcap
2021-09-20 07:00:11	36866	Сенсор № 1052; Кейс № 9692;	ftp://ftp.cloud.gcm/traffic/1052/1631933119_2021_09_18____05_45_19_877675.pcap
2021-09-20 07:00:12	36867	Сенсор № 1002; Кейс № 9699;	ftp://ftp.cloud.gcm/traffic/1002/1631951847_2021_09_18____10_57_27_945562.pcap
2021-09-20 07:00:13	36868	Сенсор № 1061; Кейс № 9697;	ftp://ftp.cloud.gcm/traffic/1061/1631923210_2021_09_18____03_00_10_226293.pcap
2021-09-20 07:00:15	36869	Сенсор № 1061; Кейс № 9701;	ftp://ftp.cloud.gcm/traffic/1061/1631917656_2021_09_18____01_27_36_008353.pcap
2021-09-20 07:00:16	36870	Сенсор № 1094; Кейс № 9708;	ftp://ftp.cloud.gcm/traffic/1094/1631946250_2021_09_18____09_24_10_108845.pcap
2021-09-20 07:00:16	36871	Сенсор № 1010; Кейс № 9715;	ftp://ftp.cloud.gcm/traffic/1010/1631968402_2021_09_18____15_33_22_459213.pcap
2021-09-20 07:00:16	36872	Сенсор № 1065; Кейс № 9719;	ftp://ftp.cloud.gcm/traffic/1065/1631973238_2021_09_18____16_53_58_222858.pcap
2021-09-20 07:00:17	36873	Сенсор № 1139; Кейс № 9725;	ftp://ftp.cloud.gcm/traffic/1139/1631973278_2021_09_18____16_54_38_162500.pcap
2021-09-20 07:00:17	36874	Сенсор № 1048; Кейс № 9724;	ftp://ftp.cloud.gcm/traffic/1048/1631973218_2021_09_18____16_53_38_256475.pcap
2021-09-20 07:00:18	36875	Сенсор № 1061; Кейс № 9736;	ftp://ftp.cloud.gcm/traffic/1061/1631973233_2021_09_18____16_53_53_857784.pcap
2021-09-20 07:00:18	36876	Сенсор № 1002; Кейс № 9737;	ftp://ftp.cloud.gcm/traffic/1002/1631973179_2021_09_18____16_52_59_871977.pcap
2021-09-20 07:00:21	36877	Сенсор № 1051; Кейс № 9734;	ftp://ftp.cloud.gcm/traffic/1051/1631973142_2021_09_18____16_52_22_657736.pcap
2021-09-20 07:00:22	36878	Сенсор № 1080; Кейс № 9738;	ftp://ftp.cloud.gcm/traffic/1080/1631973244_2021_09_18____16_54_04_993022.pcap
2021-09-20 07:00:22	36879	Сенсор № 1054; Кейс № 9741;	ftp://ftp.cloud.gcm/traffic/1054/1631973227_2021_09_18____16_53_47_511209.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631973226_2021_09_18____16_53_46_942503.pcap
2021-09-20 07:00:22	36880	Сенсор № 1070; Кейс № 9742;	ftp://ftp.cloud.gcm/traffic/1070/1631973240_2021_09_18____16_54_00_360909.pcap
2021-09-20 07:00:24	36881	Сенсор № 1088; Кейс № 9747;	ftp://ftp.cloud.gcm/traffic/1088/1632002220_2021_09_19____00_57_00_958221.pcap
2021-09-20 07:00:24	36882	Сенсор № 1003; Кейс № 9748;	ftp://ftp.cloud.gcm/traffic/1003/1632002225_2021_09_19____00_57_05_454474.pcap
2021-09-20 07:00:26	36883	Сенсор № 1072; Кейс № 9707; Воздействие так же направлено на следующие адреса: 91.201.209.252, 91.201.209.251, 91.201.209.250, 91.201.209.242, 91.201.209.253	ftp://ftp.cloud.gcm/traffic/1072/1631917893_2021_09_18____01_31_33_745724.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631932213_2021_09_18____05_30_13_695983.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631932216_2021_09_18____05_30_16_154647.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631937058_2021_09_18____06_50_58_848834.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631939627_2021_09_18____07_33_47_920083.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631945027_2021_09_18____09_03_47_984948.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631952949_2021_09_18____11_15_49_207974.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631953151_2021_09_18____11_19_11_768829.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631953158_2021_09_18____11_19_18_222286.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631953160_2021_09_18____11_19_20_398619.pcap
2021-09-20 07:00:27	36884	Сенсор № 1072; Кейс № 9749; Воздействие так же направлено на следующие адреса: 91.201.209.243, 91.201.209.242, 91.201.209.253, 91.201.209.252, 91.201.209.251	ftp://ftp.cloud.gcm/traffic/1072/1631997947_2021_09_18____23_45_47_832492.pcap
2021-09-20 07:00:28	36885	Сенсор № 1070; Кейс № 9706;	ftp://ftp.cloud.gcm/traffic/1070/1631917845_2021_09_18____01_30_45_178392.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631917978_2021_09_18____01_32_58_758236.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631930667_2021_09_18____05_04_27_572650.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631943663_2021_09_18____08_41_03_060890.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631951800_2021_09_18____10_56_40_331769.pcap
2021-09-20 07:00:30	36886	Сенсор № 1054; Кейс № 9705; Воздействие так же направлено на следующие адреса: 144.206.7.198, 144.206.7.196, 144.206.7.77	ftp://ftp.cloud.gcm/traffic/1054/1631917992_2021_09_18____01_33_12_422621.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631921801_2021_09_18____02_36_41_153018.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631921818_2021_09_18____02_36_58_580510.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631926809_2021_09_18____04_00_09_093340.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631947587_2021_09_18____09_46_27_194989.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631953162_2021_09_18____11_19_22_696533.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631953168_2021_09_18____11_19_28_550815.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631953363_2021_09_18____11_22_43_144875.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631953365_2021_09_18____11_22_45_489878.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631953369_2021_09_18____11_22_49_371866.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631953393_2021_09_18____11_23_13_416570.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631955349_2021_09_18____11_55_49_798559.pcap
2021-09-20 07:00:30	36887	Сенсор № 1054; Кейс № 9755;	ftp://ftp.cloud.gcm/traffic/1054/1632002114_2021_09_19____00_55_14_516549.pcap
