дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-10-19 09:00:02	37543	Сенсор № 1082; Кейс № 10828;	ftp://ftp.cloud.gcm/traffic/1082/1634579666_2021_10_18____20_54_26_859233.pcap
2021-10-19 09:30:02	37544	Сенсор № 1115; Кейс № 10818;	ftp://ftp.cloud.gcm/traffic/1115/1634568823_2021_10_18____17_53_43_618779.pcap
2021-10-19 09:30:03	37545	Сенсор № 1032; Кейс № 10836;	ftp://ftp.cloud.gcm/traffic/1032/1634615216_2021_10_19____06_46_56_956608.pcap
2021-10-19 09:30:03	37546	Сенсор № 1110; Кейс № 10835;	ftp://ftp.cloud.gcm:21/traffic/1110/1634614629_2021_10_19____06_37_09_236347.pcap
2021-10-19 09:30:03	37547	Сенсор № 1121; Кейс № 10834;	ftp://ftp.cloud.gcm/traffic/1121/1634590247_2021_10_18____23_50_47_403492.pcap
2021-10-19 09:30:04	37548	Сенсор № 1106; Кейс № 10831;	ftp://ftp.cloud.gcm/traffic/1106/1634586829_2021_10_18____22_53_49_385003.pcap
2021-10-19 09:30:04	37549	Сенсор № 1038; Кейс № 10832;	ftp://ftp.cloud.gcm//traffic/1038/1634583400_2021_10_18____21_56_40_434654.pcap
2021-10-19 09:30:04	37550	Сенсор № 1115; Кейс № 10830;	ftp://ftp.cloud.gcm/traffic/1115/1634585484_2021_10_18____22_31_24_504663.pcap
2021-10-19 09:30:05	37551	Сенсор № 1053; Кейс № 10829;	ftp://ftp.cloud.gcm/traffic/1053/1634570959_2021_10_18____18_29_19_909752.pcap
2021-10-19 10:00:02	37552	Сенсор № 1088сенсор № 1043; Кейс № 10825; Воздействие так же направлено на следующие адреса: 176.114.205.114, 176.114.205.112	ftp://ftp.cloud.gcm/traffic/1043/1634570948_2021_10_18____18_29_08_196214.pcap , ftp://ftp.cloud.gcm/traffic/1088/1634571012_2021_10_18____18_30_12_881927.pcap , ftp://ftp.cloud.gcm/traffic/1088/1634571010_2021_10_18____18_30_10_380098.pcap
2021-10-19 10:00:03	37553	Сенсор № 1003сенсор № 1052; Кейс № 10827; Воздействие так же направлено на следующие адреса: 194.226.26.152	ftp://ftp.cloud.gcm/traffic/1003/1634583397_2021_10_18____21_56_37_335670.pcap , ftp://ftp.cloud.gcm/traffic/1052/1634581492_2021_10_18____21_24_52_709234.pcap
2021-10-19 10:00:03	37554	Сенсор № 1038; Кейс № 10824; Воздействие так же направлено на следующие адреса: 46.61.209.17	ftp://ftp.cloud.gcm/traffic/1038/1634570935_2021_10_18____18_28_55_196341.pcap , ftp://ftp.cloud.gcm/traffic/1038/1634586836_2021_10_18____22_53_56_182766.pcap
2021-10-19 10:00:03	37555	Сенсор № 1059; Кейс № 10822;	ftp://ftp.cloud.gcm/traffic/1059/1634571066_2021_10_18____18_31_06_804669.pcap , ftp://ftp.cloud.gcm/traffic/1059/1634575722_2021_10_18____19_48_42_818627.pcap
2021-10-19 10:00:04	37556	Сенсор № 1054; Кейс № 10816; Воздействие так же направлено на следующие адреса: 144.206.7.140, 144.206.7.216	ftp://ftp.cloud.gcm/traffic/1054/1634585041_2021_10_18____22_24_01_904080.pcap , ftp://ftp.cloud.gcm/traffic/1054/1634555218_2021_10_18____14_06_58_644261.pcap , ftp://ftp.cloud.gcm/traffic/1054/1634566831_2021_10_18____17_20_31_481760.pcap
2021-10-19 10:00:05	37557	Сенсор № 1038; Кейс № 10815; Воздействие так же направлено на следующие адреса: 192.168.22.20, 192.168.22.202, 192.168.22.35, 192.168.128.182, 192.168.128.82, 192.168.21.181, 192.168.25.171, 192.168.23.21, 46.61.209.17, 192.168.22.165, 46.61.209.162, 192.168.229.18, 192.168.18.164, 192.168.28.138, 192.168.149.109	ftp://ftp.cloud.gcm/traffic/1038/1634570927_2021_10_18____18_28_47_444208.pcap , ftp://ftp.cloud.gcm/traffic/1038/1634570932_2021_10_18____18_28_52_415292.pcap , ftp://ftp.cloud.gcm/traffic/1038/1634605226_2021_10_19____04_00_26_572976.pcap , ftp://ftp.cloud.gcm/traffic/1038/1634555699_2021_10_18____14_14_59_485945.pcap
2021-10-19 10:00:05	37558	Сенсор № 1022; Кейс № 10810;	ftp://ftp.cloud.gcm/traffic/1022/1634528700_2021_10_18____06_45_00_917695.pcap
2021-10-19 10:00:06	37559	Сенсор № 1051сенсор № 1013; Кейс № 10808; Воздействие так же направлено на следующие адреса: 195.128.68.68	ftp://ftp.cloud.gcm/traffic/1013/1634518349_2021_10_18____03_52_29_503415.pcap , ftp://ftp.cloud.gcm/traffic/1051/1634564350_2021_10_18____16_39_10_921196.pcap
2021-10-19 10:00:07	37560	Сенсор № 1072; Кейс № 10709;	ftp://ftp.cloud.gcm/traffic/1072/1634284985_2021_10_15____11_03_05_803317.pcap
2021-10-19 10:00:10	37561	Сенсор № 1012; Кейс № 10809;	ftp://ftp.cloud.gcm/traffic/1012/1634548560_2021_10_18____12_16_00_534749.pcap
2021-10-19 11:30:02	37562	Сенсор № 1030; Кейс № 10839;	ftp://ftp.cloud.gcm/traffic/1030/1634627885_2021_10_19____10_18_05_612443.pcap
2021-10-19 11:30:03	37563	Сенсор № 1076; Кейс № 10840;	ftp://ftp.cloud.gcm/traffic/1076/1634627198_2021_10_19____10_06_38_396013.pcap
2021-10-19 11:30:05	37564	Сенсор № 1028; Кейс № 10795;	ftp://ftp.cloud.gcm/traffic/1028/1634499660_2021_10_17____22_41_00_977199.pcap
2021-10-19 11:30:06	37565	Сенсор № 1053; Кейс № 10672;	ftp://ftp.cloud.gcm/traffic/1053/1634114174_2021_10_13____11_36_14_263975.pcap
2021-10-19 11:30:06	37566	Сенсор № 1139; Кейс № 10842; Воздействие так же направлено на следующие адреса: 46.61.243.126, 46.61.243.121, 46.61.243.143	ftp://ftp.cloud.gcm/traffic/1139/1634614402_2021_10_19____06_33_22_624878.pcap
2021-10-19 11:30:07	37567	Сенсор № 1072; Кейс № 10792;	ftp://ftp.cloud.gcm/traffic/1072/1634495292_2021_10_17____21_28_12_298416.pcap
2021-10-19 11:30:12	37568	Сенсор № 1066; Кейс № 10790;	ftp://ftp.cloud.gcm/traffic/1066/1634491391_2021_10_17____20_23_11_957731.pcap
2021-10-19 11:30:13	37569	Сенсор № 1060; Кейс № 10788;	ftp://ftp.cloud.gcm/traffic/1060/1634488239_2021_10_17____19_30_39_009794.pcap
2021-10-19 12:00:09	37570	Сенсор № 1053; Кейс № 10783;	ftp://ftp.cloud.gcm/traffic/1053/1634476925_2021_10_17____16_22_05_331434.pcap
