дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-12-10 07:00:02	38919	Сенсор № 1130; Кейс № 13046;	ftp://ftp.cloud.gcm/traffic/1130/1639066612_2021_12_09____19_16_52_935058.pcap
2021-12-10 07:00:02	38920	Сенсор № 1051; Кейс № 13047;	ftp://ftp.cloud.gcm/traffic/1051/1639065936_2021_12_09____19_05_36_478630.pcap
2021-12-10 07:00:03	38921	Сенсор № 1038; Кейс № 13391;	ftp://ftp.cloud.gcm/traffic/1038/1639032083_2021_12_09____09_41_23_295130.pcap
2021-12-10 07:00:03	38922	Сенсор № 1002; Кейс № 13910;	ftp://ftp.cloud.gcm/traffic/1002/1639077078_2021_12_09____22_11_18_230759.pcap
2021-12-10 07:30:02	38923	Сенсор № 1002; Кейс № 13913;	ftp://ftp.cloud.gcm/traffic/1002/1639087407_2021_12_10____01_03_27_982130.pcap
2021-12-10 07:30:06	38924	Сенсор № 1054сенсор № 1010сенсор № 1051сенсор № 1002сенсор № 1035сенсор № 1038сенсор № 1052сенсор № 1039сенсор № 1072; Кейс № 13035; Воздействие так же направлено на следующие адреса: 46.61.209.250, 172.16.10.177, 77.241.31.12, 144.206.11.24, 95.173.132.72, 192.168.1.141, 91.201.211.33, 194.226.26.120, 95.173.136.168, 91.201.211.76, 95.173.136.70, 95.173.136.162, 93.187.78.129, 91.222.157.2, 91.222.157.4, 95.173.128.90	ftp://ftp.cloud.gcm/traffic/1038/1639048381_2021_12_09____14_13_01_419771.pcap , ftp://ftp.cloud.gcm/traffic/1072/1639051549_2021_12_09____15_05_49_823174.pcap , ftp://ftp.cloud.gcm/traffic/1054/1639046787_2021_12_09____13_46_27_267464.pcap , ftp://ftp.cloud.gcm/traffic/1052/1639029792_2021_12_09____09_03_12_386257.pcap , ftp://ftp.cloud.gcm/traffic/1002/1639036987_2021_12_09____11_03_07_454477.pcap , ftp://ftp.cloud.gcm/traffic/1038/1639015161_2021_12_09____04_59_21_476248.pcap , ftp://ftp.cloud.gcm/traffic/1035/1639030680_2021_12_09____09_18_00_432538.pcap , ftp://ftp.cloud.gcm/traffic/1051/1639050405_2021_12_09____14_46_45_605911.pcap , ftp://ftp.cloud.gcm/traffic/1072/1639066173_2021_12_09____19_09_33_346219.pcap , ftp://ftp.cloud.gcm/traffic/1002/1639068654_2021_12_09____19_50_54_457094.pcap , ftp://ftp.cloud.gcm/traffic/1038/1639106568_2021_12_10____06_22_48_673437.pcap , ftp://ftp.cloud.gcm/traffic/1002/1639080880_2021_12_09____23_14_40_650765.pcap
2021-12-10 08:00:02	38925	Сенсор № 1016; Кейс № 13037;	ftp://ftp.cloud.gcm/traffic/1016/1639009028_2021_12_09____03_17_08_639873.pcap
2021-12-10 08:00:03	38926	Сенсор № 1010сенсор № 1077сенсор № 1012сенсор № 1018; Кейс № 13039; Воздействие так же направлено на следующие адреса: 93.187.72.25, 10.120.36.103, 195.93.247.14, 195.93.246.176, 195.93.247.53, 84.42.49.66	ftp://ftp.cloud.gcm/traffic/1012/1639045546_2021_12_09____13_25_46_663714.pcap , ftp://ftp.cloud.gcm/traffic/1077/1638997767_2021_12_09____00_09_27_156175.pcap , ftp://ftp.cloud.gcm/traffic/1018/1639013690_2021_12_09____04_34_50_222981.pcap
2021-12-10 08:00:03	38927	Сенсор № 1017сенсор № 1106; Кейс № 13038; Воздействие так же направлено на следующие адреса: 195.42.73.196	ftp://ftp.cloud.gcm/traffic/1106/1639045953_2021_12_09____13_32_33_070937.pcap , ftp://ftp.cloud.gcm/traffic/1017/1639050633_2021_12_09____14_50_33_563934.pcap
2021-12-10 08:00:04	38928	Сенсор № 1036сенсор № 1052сенсор № 1017; Кейс № 13044; Воздействие так же направлено на следующие адреса: 188.254.49.99, 195.42.73.204, 77.243.12.233	ftp://ftp.cloud.gcm/traffic/1036/1639071559_2021_12_09____20_39_19_722932.pcap , ftp://ftp.cloud.gcm/traffic/1017/1639071557_2021_12_09____20_39_17_422677.pcap , ftp://ftp.cloud.gcm/traffic/1036/1639069361_2021_12_09____20_02_41_503906.pcap , ftp://ftp.cloud.gcm/traffic/1052/1639069363_2021_12_09____20_02_43_719537.pcap
