дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-10-22 07:00:06	37659	Сенсор № 1134; Кейс № 10954;	ftp://ftp.cloud.gcm/traffic/1134/1634825121_2021_10_21____17_05_21_222252.pcap
2021-10-22 07:00:13	37660	Сенсор № 1130; Кейс № 10957;	ftp://ftp.cloud.gcm/traffic/1130/1634795524_2021_10_21____08_52_04_771677.pcap
2021-10-22 07:00:13	37661	Сенсор № 1017; Кейс № 10953;	ftp://ftp.cloud.gcm/traffic/1017/1634825087_2021_10_21____17_04_47_963915.pcap
2021-10-22 07:00:14	37662	Сенсор № 1037; Кейс № 10955;	ftp://ftp.cloud.gcm/traffic/1037/1634824413_2021_10_21____16_53_33_152388.pcap
2021-10-22 07:00:15	37663	Сенсор № 1036; Кейс № 10956;	ftp://ftp.cloud.gcm/traffic/1036/1634811373_2021_10_21____13_16_13_915462.pcap
2021-10-22 07:00:15	37664	Сенсор № 1071; Кейс № 10964;	ftp://ftp.cloud.gcm/traffic/1071/1634860570_2021_10_22____02_56_10_369474.pcap
2021-10-22 07:00:16	37665	Сенсор № 1036; Кейс № 10965;	ftp://ftp.cloud.gcm/traffic/1036/1634865217_2021_10_22____04_13_37_003382.pcap
2021-10-22 12:00:01	37666	Сенсор № 1038; Кейс № 10975;	ftp://ftp.cloud.gcm/traffic/1038/1634890438_2021_10_22____11_13_58_189998.pcap
2021-10-22 12:00:01	37667	Сенсор № 1073; Кейс № 10976;	ftp://ftp.cloud.gcm/traffic/1073/1634889877_2021_10_22____11_04_37_773433.pcap
2021-10-22 12:00:02	37668	Сенсор № 1002; Кейс № 10977;	ftp://ftp.cloud.gcm/traffic/1002/1634881279_2021_10_22____08_41_19_019600.pcap
2021-10-22 13:00:02	37669	Сенсор № 1014; Кейс № 10971;	ftp://ftp.cloud.gcm/traffic/1014/1634886646_2021_10_22____10_10_46_687643.pcap
2021-10-22 14:00:01	37670	Сенсор № 1002; Кейс № 10983; Воздействие так же направлено на следующие адреса: 95.173.136.72	ftp://ftp.cloud.gcm/traffic/1002/1634864011_2021_10_22____03_53_31_435228.pcap
2021-10-22 14:30:01	37671	Сенсор № 1002; Кейс № 10985;	ftp://ftp.cloud.gcm/traffic/1002/1634867427_2021_10_22____04_50_27_375506.pcap
2021-10-22 15:30:07	37672	Сенсор № 1002; Кейс № 10986;	ftp://ftp.cloud.gcm/traffic/1002/1634867913_2021_10_22____04_58_33_944828.pcap
2021-10-22 15:30:08	37673	Сенсор № 1046; Кейс № 10984;	ftp://ftp.cloud.gcm/traffic/1046/1634899984_2021_10_22____13_53_04_713787.pcap
2021-10-22 15:30:09	37674	Сенсор № 1002; Кейс № 10987;	ftp://ftp.cloud.gcm/traffic/1002/1634870302_2021_10_22____05_38_22_889062.pcap
2021-10-22 17:30:01	37675	Сенсор № 1002; Кейс № 10992;	ftp://ftp.cloud.gcm/traffic/1002/1634879578_2021_10_22____08_12_58_596492.pcap
