дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-07-08 09:00:01	35188	Сенсор № 1077; Кейс № 6135;	ftp://ftp.cloud.gcm/traffic/1077/1625670738_2021_07_07____18_12_18_619782.pcap
2021-07-08 09:00:02	35189	Сенсор № 1017; Кейс № 6137;	ftp://ftp.cloud.gcm/traffic/1017/1625624163_2021_07_07____05_16_03_389838.pcap
2021-07-08 09:00:02	35190	Сенсор № 1072; Кейс № 6138;	ftp://ftp.cloud.gcm/traffic/1072/1625669319_2021_07_07____17_48_39_993853.pcap
2021-07-08 09:00:02	35191	Сенсор № 1059; Кейс № 6143;	ftp://ftp.cloud.gcm/traffic/1059/1625680227_2021_07_07____20_50_27_189032.pcap
2021-07-08 09:00:03	35192	Сенсор № 1002; Кейс № 6144;	ftp://ftp.cloud.gcm/traffic/1002/1625677913_2021_07_07____20_11_53_369138.pcap
2021-07-08 09:00:08	35193	Сенсор № 1036; Кейс № 6146;	ftp://ftp.cloud.gcm/traffic/1036/1625701706_2021_07_08____02_48_26_951063.pcap
2021-07-08 09:00:08	35194	Сенсор № 1036; Кейс № 6147;	ftp://ftp.cloud.gcm/traffic/1036/1625701257_2021_07_08____02_40_57_284981.pcap
2021-07-08 09:00:12	35195	Сенсор № 1003; Кейс № 6150;	ftp://ftp.cloud.gcm/traffic/1003/1625708641_2021_07_08____04_44_01_912710.pcap
2021-07-08 09:00:13	35196	Сенсор № 1002; Кейс № 6151;	ftp://ftp.cloud.gcm/traffic/1002/1625710193_2021_07_08____05_09_53_331072.pcap
2021-07-08 09:00:13	35197	Сенсор № 1002; Кейс № 6152;	ftp://ftp.cloud.gcm/traffic/1002/1625693158_2021_07_08____00_25_58_452106.pcap
2021-07-08 09:00:13	35198	Сенсор № 1002; Кейс № 6153;	ftp://ftp.cloud.gcm/traffic/1002/1625705005_2021_07_08____03_43_25_933776.pcap
2021-07-08 10:00:01	35199	Сенсор № 1074; Кейс № 6161;	ftp://ftp.cloud.gcm/traffic/1074/1625680718_2021_07_07____20_58_38_732258.pcap
2021-07-08 10:30:02	35200	Сенсор № 1035; Кейс № 6160;	ftp://ftp.cloud.gcm/traffic/1035/1625679731_2021_07_07____20_42_11_849570.pcap
2021-07-08 10:30:04	35201	Сенсор № 1002сенсор № 1041сенсор № 1030; Кейс № 5809; Воздействие так же направлено на следующие адреса: 95.173.136.168, 95.173.136.168, 178.209.117.194, 213.24.76.21	ftp://ftp.cloud.gcm/traffic/1002/1620927634_2021_05_13____20_40_34_325964.pcap , ftp://ftp.cloud.gcm/traffic/1002/1620927634_2021_05_13____20_40_34_325964.pcap
2021-07-08 12:00:01	35202	Сенсор № 1017; Кейс № 6163;	ftp://ftp.cloud.gcm/traffic/1017/1625719252_2021_07_08____07_40_52_695868.pcap
2021-07-08 12:30:02	35203	Сенсор № 1066; Кейс № 6164;	ftp://ftp.cloud.gcm/traffic/1066/1625729523_2021_07_08____10_32_03_520338.pcap
2021-07-08 12:30:04	35204	Сенсор № 1036; Кейс № 6165;	ftp://ftp.cloud.gcm/traffic/1036/1625729340_2021_07_08____10_29_00_738042.pcap , ftp://ftp.cloud.gcm/traffic/1036/1625729285_2021_07_08____10_28_05_662171.pcap
2021-07-08 13:30:01	35205	Сенсор № 1018; Кейс № 6159;	ftp://ftp.cloud.gcm/traffic/1018/1625684544_2021_07_07____22_02_24_397380.pcap
2021-07-08 13:30:02	35206	Сенсор № 1084; Кейс № 6156;	ftp://ftp.cloud.gcm/traffic/1084/1625706686_2021_07_08____04_11_26_425697.pcap
