дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-08-02 09:00:02	35885	Сенсор № 1130; Кейс № 7316;	ftp://ftp.cloud.gcm/traffic/1130/1627632522_2021_07_30____11_08_42_882197.pcap
2021-08-02 09:00:02	35886	Сенсор № 1130; Кейс № 7317;	ftp://ftp.cloud.gcm/traffic/1130/1627648100_2021_07_30____15_28_20_593944.pcap
2021-08-02 09:00:03	35887	Сенсор № 1088; Кейс № 7320;	ftp://ftp.cloud.gcm/traffic/1088/1627657820_2021_07_30____18_10_20_912324.pcap
2021-08-02 09:00:03	35888	Сенсор № 1061; Кейс № 7326;	ftp://ftp.cloud.gcm/traffic/1061/1627633360_2021_07_30____11_22_40_436017.pcap
2021-08-02 09:00:05	35889	Сенсор № 1061; Кейс № 7328;	ftp://ftp.cloud.gcm/traffic/1061/1627602222_2021_07_30____02_43_42_529180.pcap
2021-08-02 09:00:06	35890	Сенсор № 1002; Кейс № 7329;	ftp://ftp.cloud.gcm/traffic/1002/1627677407_2021_07_30____23_36_47_348902.pcap
2021-08-02 09:00:07	35891	Сенсор № 1059; Кейс № 7330;	ftp://ftp.cloud.gcm/traffic/1059/1627666777_2021_07_30____20_39_37_609714.pcap
2021-08-02 09:00:07	35892	Сенсор № 1002; Кейс № 7331;	ftp://ftp.cloud.gcm/traffic/1002/1627679239_2021_07_31____00_07_19_754266.pcap
2021-08-02 09:00:09	35893	Сенсор № 1041; Кейс № 7333;	ftp://ftp.cloud.gcm/traffic/1041/1627681855_2021_07_31____00_50_55_569326.pcap
2021-08-02 09:00:09	35894	Сенсор № 1106; Кейс № 7334;	ftp://ftp.cloud.gcm/traffic/1106/1627680336_2021_07_31____00_25_36_162993.pcap
2021-08-02 09:00:10	35895	Сенсор № 1028; Кейс № 7336;	ftp://ftp.cloud.gcm/traffic/1028/1627689626_2021_07_31____03_00_26_467813.pcap
2021-08-02 09:00:10	35896	Сенсор № 1002; Кейс № 7337;	ftp://ftp.cloud.gcm/traffic/1002/1627689629_2021_07_31____03_00_29_414774.pcap
2021-08-02 09:00:10	35897	Сенсор № 1054; Кейс № 7338;	ftp://ftp.cloud.gcm/traffic/1054/1627700429_2021_07_31____06_00_29_673749.pcap
2021-08-02 09:00:11	35898	Сенсор № 1054; Кейс № 7339;	ftp://ftp.cloud.gcm/traffic/1054/1627701076_2021_07_31____06_11_16_849890.pcap
2021-08-02 09:00:11	35899	Сенсор № 1054; Кейс № 7340;	ftp://ftp.cloud.gcm/traffic/1054/1627701331_2021_07_31____06_15_31_095558.pcap
2021-08-02 09:00:12	35900	Сенсор № 1072; Кейс № 7342; Воздействие так же направлено на следующие адреса: 91.201.209.253, 91.201.209.243, 91.201.209.252	ftp://ftp.cloud.gcm/traffic/1072/1627702777_2021_07_31____06_39_37_988206.pcap , ftp://ftp.cloud.gcm/traffic/1072/1627691067_2021_07_31____03_24_27_673059.pcap , ftp://ftp.cloud.gcm/traffic/1072/1627701039_2021_07_31____06_10_39_872880.pcap , ftp://ftp.cloud.gcm/traffic/1072/1627689940_2021_07_31____03_05_40_510669.pcap
2021-08-02 09:00:12	35901	Сенсор № 1066; Кейс № 7346; Воздействие так же направлено на следующие адреса: 84.42.49.86	ftp://ftp.cloud.gcm/traffic/1022/1627716271_2021_07_31____10_24_31_452122.pcap , ftp://ftp.cloud.gcm/traffic/1066/1627716273_2021_07_31____10_24_33_823450.pcap
2021-08-02 09:00:13	35902	Сенсор № 1092; Кейс № 7358;	ftp://ftp.cloud.gcm/traffic/1092/1627722628_2021_07_31____12_10_28_580434.pcap
2021-08-02 09:00:13	35903	Сенсор № 1041; Кейс № 7369;	ftp://ftp.cloud.gcm/traffic/1041/1627727735_2021_07_31____13_35_35_347951.pcap
2021-08-02 09:00:13	35904	Сенсор № 1054; Кейс № 7375;	ftp://ftp.cloud.gcm/traffic/1054/1627760722_2021_07_31____22_45_22_611944.pcap
2021-08-02 09:00:14	35905	Сенсор № 1054; Кейс № 7378;	ftp://ftp.cloud.gcm/traffic/1054/1627785610_2021_08_01____05_40_10_178563.pcap
2021-08-02 09:00:18	35906	Сенсор № 1044; Кейс № 7383;	ftp://ftp.cloud.gcm/traffic/1044/1627779482_2021_08_01____03_58_02_674879.pcap
2021-08-02 09:00:18	35907	Сенсор № 1048; Кейс № 7385;	ftp://ftp.cloud.gcm/traffic/1048/1627792557_2021_08_01____07_35_57_529586.pcap , ftp://ftp.cloud.gcm/traffic/1048/1627771343_2021_08_01____01_42_23_768725.pcap
2021-08-02 09:00:19	35908	Сенсор № 1036; Кейс № 7386; Воздействие так же направлено на следующие адреса: 77.243.12.233	ftp://ftp.cloud.gcm/traffic/1036/1627772298_2021_08_01____01_58_18_327153.pcap , ftp://ftp.cloud.gcm/traffic/1036/1627794588_2021_08_01____08_09_48_927658.pcap , ftp://ftp.cloud.gcm/traffic/1036/1627771947_2021_08_01____01_52_27_357573.pcap , ftp://ftp.cloud.gcm/traffic/1036/1627792829_2021_08_01____07_40_29_070832.pcap
2021-08-02 09:00:20	35909	Сенсор № 1017; Кейс № 7387;	ftp://ftp.cloud.gcm/traffic/1017/1627789644_2021_08_01____06_47_24_182832.pcap , ftp://ftp.cloud.gcm/traffic/1017/1627781667_2021_08_01____04_34_27_332778.pcap , ftp://ftp.cloud.gcm/traffic/1017/1627785250_2021_08_01____05_34_10_377305.pcap
2021-08-02 09:00:20	35910	Сенсор № 1037; Кейс № 7388;	ftp://ftp.cloud.gcm/traffic/1037/1627785522_2021_08_01____05_38_42_688325.pcap
2021-08-02 09:00:21	35911	Сенсор № 1071; Кейс № 7389;	ftp://ftp.cloud.gcm/traffic/1071/1627784543_2021_08_01____05_22_23_797088.pcap
2021-08-02 09:00:21	35912	Сенсор № 1135; Кейс № 7390;	ftp://ftp.cloud.gcm/traffic/1135/1627802387_2021_08_01____10_19_47_136496.pcap
2021-08-02 09:00:22	35913	Сенсор № 1074; Кейс № 7394;	ftp://ftp.cloud.gcm/traffic/1074/1627806048_2021_08_01____11_20_48_103587.pcap
2021-08-02 09:00:22	35914	Сенсор № 1048; Кейс № 7396;	ftp://ftp.cloud.gcm/traffic/1048/1627809516_2021_08_01____12_18_36_257944.pcap , ftp://ftp.cloud.gcm/traffic/1048/1627811570_2021_08_01____12_52_50_388202.pcap
2021-08-02 09:00:23	35915	Сенсор № 1017; Кейс № 7399;	ftp://ftp.cloud.gcm/traffic/1017/1627819256_2021_08_01____15_00_56_898865.pcap , ftp://ftp.cloud.gcm/traffic/1017/1627819029_2021_08_01____14_57_09_294663.pcap
2021-08-02 09:00:23	35916	Сенсор № 1071; Кейс № 7401;	ftp://ftp.cloud.gcm/traffic/1071/1627817528_2021_08_01____14_32_08_995721.pcap
2021-08-02 09:00:24	35917	Сенсор № 1072; Кейс № 7402; Воздействие так же направлено на следующие адреса: 91.201.209.250, 91.201.209.252, 91.201.209.251, 91.201.209.253, 91.201.209.242	ftp://ftp.cloud.gcm/traffic/1072/1627829953_2021_08_01____17_59_13_247996.pcap , ftp://ftp.cloud.gcm/traffic/1072/1627825068_2021_08_01____16_37_48_219422.pcap , ftp://ftp.cloud.gcm/traffic/1072/1627816072_2021_08_01____14_07_52_914855.pcap , ftp://ftp.cloud.gcm/traffic/1072/1627822802_2021_08_01____16_00_02_460754.pcap , ftp://ftp.cloud.gcm/traffic/1072/1627824671_2021_08_01____16_31_11_039033.pcap
