дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-07-12 08:39:36	35293	Сенсор № 1037; Кейс № 6279;	ftp://ftp.cloud.gcm/traffic/1037/1625844328_2021_07_09____18_25_28_575228.pcap
2021-07-12 08:39:40	35294	Сенсор № 1061; Кейс № 6280;	ftp://ftp.cloud.gcm/traffic/1061/1625842664_2021_07_09____17_57_44_047929.pcap
2021-07-12 08:39:40	35295	Сенсор № 1002; Кейс № 6284;	ftp://ftp.cloud.gcm/traffic/1002/1625842385_2021_07_09____17_53_05_942581.pcap
2021-07-12 08:39:40	35296	Сенсор № 1078; Кейс № 6285;	ftp://ftp.cloud.gcm/traffic/1078/1625842381_2021_07_09____17_53_01_417097.pcap
2021-07-12 08:39:41	35297	Сенсор № 1017; Кейс № 6288;	ftp://ftp.cloud.gcm/traffic/1017/1625848100_2021_07_09____19_28_20_832615.pcap
2021-07-12 08:39:41	35298	Сенсор № 1135; Кейс № 6290;	ftp://ftp.cloud.gcm/traffic/1135/1625857790_2021_07_09____22_09_50_028694.pcap
2021-07-12 08:39:46	35299	Сенсор № 1006; Кейс № 6293; Воздействие так же направлено на следующие адреса: 185.24.244.10	ftp://ftp.cloud.gcm/traffic/1006/1625884209_2021_07_10____05_30_09_737952.pcap , ftp://ftp.cloud.gcm/traffic/1006/1625873300_2021_07_10____02_28_20_263528.pcap
2021-07-12 08:39:46	35300	Сенсор № 1028; Кейс № 6297;	ftp://ftp.cloud.gcm/traffic/1028/1625864554_2021_07_10____00_02_34_409952.pcap
2021-07-12 08:39:50	35301	Сенсор № 1054; Кейс № 6299;	ftp://ftp.cloud.gcm/traffic/1054/1625855655_2021_07_09____21_34_15_244948.pcap , ftp://ftp.cloud.gcm/traffic/1054/1625887800_2021_07_10____06_30_00_711055.pcap
2021-07-12 08:39:50	35302	Сенсор № 1016; Кейс № 6304; Воздействие так же направлено на следующие адреса: 188.254.86.132, 188.254.86.152, 188.254.86.135	
2021-07-12 08:39:56	35303	Сенсор № 1016; Кейс № 6309;	ftp://ftp.cloud.gcm/traffic/1016/1625905048_2021_07_10____11_17_28_516435.pcap
2021-07-12 08:39:56	35304	Сенсор № 1036; Кейс № 6315;	ftp://ftp.cloud.gcm/traffic/1036/1625876752_2021_07_10____03_25_52_084912.pcap
