дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-11-19 07:00:04	38378	Сенсор № 1054; Кейс № 12286;	ftp://ftp.cloud.gcm/traffic/1054/1637195104_2021_11_18____03_25_04_013685.pcap
2021-11-19 07:00:05	38379	Сенсор № 1079; Кейс № 12287;	ftp://ftp.cloud.gcm/traffic/1079/1637248810_2021_11_18____18_20_10_419158.pcap
2021-11-19 07:00:06	38380	Сенсор № 1060; Кейс № 12289;	ftp://ftp.cloud.gcm/traffic/1060/1637246671_2021_11_18____17_44_31_317004.pcap
2021-11-19 07:00:06	38381	Сенсор № 1012; Кейс № 12290;	ftp://ftp.cloud.gcm/traffic/1012/1637246666_2021_11_18____17_44_26_415140.pcap
2021-11-19 07:00:06	38382	Сенсор № 1012; Кейс № 12274;	ftp://ftp.cloud.gcm/traffic/1012/1637227479_2021_11_18____12_24_39_256796.pcap
2021-11-19 07:00:07	38383	Сенсор № 1099; Кейс № 12282;	ftp://ftp.cloud.gcm/traffic/1099/1637184836_2021_11_18____00_33_56_665599.pcap
2021-11-19 07:00:07	38384	Сенсор № 1099; Кейс № 12283;	ftp://ftp.cloud.gcm/traffic/1099/1637198090_2021_11_18____04_14_50_667847.pcap
2021-11-19 08:30:01	38385	Сенсор № 1012; Кейс № 12295;	ftp://ftp.cloud.gcm/traffic/1012/1637268285_2021_11_18____23_44_45_977027.pcap
2021-11-19 08:30:02	38386	Сенсор № 1106; Кейс № 12298;	ftp://ftp.cloud.gcm/traffic/1106/1637207977_2021_11_18____06_59_37_785821.pcap
2021-11-19 08:30:03	38387	Сенсор № 1072; Кейс № 12300; Воздействие так же направлено на следующие адреса: 91.201.209.253, 91.201.209.252, 91.201.209.243, 91.201.209.242	ftp://ftp.cloud.gcm/traffic/1072/1637242704_2021_11_18____16_38_24_817514.pcap , ftp://ftp.cloud.gcm/traffic/1072/1637244280_2021_11_18____17_04_40_695786.pcap , ftp://ftp.cloud.gcm/traffic/1072/1637236364_2021_11_18____14_52_44_315418.pcap , ftp://ftp.cloud.gcm/traffic/1072/1637242622_2021_11_18____16_37_02_802904.pcap , ftp://ftp.cloud.gcm/traffic/1072/1637244658_2021_11_18____17_10_58_518376.pcap , ftp://ftp.cloud.gcm/traffic/1072/1637232273_2021_11_18____13_44_33_761457.pcap , ftp://ftp.cloud.gcm/traffic/1072/1637241286_2021_11_18____16_14_46_640092.pcap , ftp://ftp.cloud.gcm/traffic/1072/1637229934_2021_11_18____13_05_34_068835.pcap , ftp://ftp.cloud.gcm/traffic/1072/1637231648_2021_11_18____13_34_08_267981.pcap
2021-11-19 08:30:03	38388	Сенсор № 1106; Кейс № 12299;	ftp://ftp.cloud.gcm/traffic/1106/1637214232_2021_11_18____08_43_52_324176.pcap
2021-11-19 08:30:03	38389	Сенсор № 1010сенсор № 1139сенсор № 1072; Кейс № 12301; Воздействие так же направлено на следующие адреса: 91.201.211.71, 91.201.211.5, 91.201.211.54, 93.187.72.82	ftp://ftp.cloud.gcm/traffic/1072/1637210165_2021_11_18____07_36_05_695295.pcap , ftp://ftp.cloud.gcm/traffic/1072/1637213152_2021_11_18____08_25_52_436537.pcap , ftp://ftp.cloud.gcm/traffic/1010/1637196545_2021_11_18____03_49_05_999452.pcap , ftp://ftp.cloud.gcm/traffic/1139/1637210167_2021_11_18____07_36_07_978949.pcap
2021-11-19 11:00:01	38390	Сенсор № 1074; Кейс № 12132;	ftp://ftp.cloud.gcm/traffic/1074/1636944805_2021_11_15____05_53_25_175996.pcap
2021-11-19 11:30:02	38391	Сенсор № 1054; Кейс № 12149; Воздействие так же направлено на следующие адреса: 144.206.7.73, 144.206.7.6	ftp://ftp.cloud.gcm/traffic/1054/1636982285_2021_11_15____16_18_05_631740.pcap , ftp://ftp.cloud.gcm/traffic/1054/1636997035_2021_11_15____20_23_55_655287.pcap , ftp://ftp.cloud.gcm/traffic/1054/1636991400_2021_11_15____18_50_00_766381.pcap , ftp://ftp.cloud.gcm/traffic/1054/1636997028_2021_11_15____20_23_48_538461.pcap , ftp://ftp.cloud.gcm/traffic/1054/1637255526_2021_11_18____20_12_06_526098.pcap , ftp://ftp.cloud.gcm/traffic/1054/1637070638_2021_11_16____16_50_38_840820.pcap
2021-11-19 11:30:03	38392	Сенсор № 1054; Кейс № 12305;	ftp://ftp.cloud.gcm/traffic/1054/1637299724_2021_11_19____08_28_44_127754.pcap
2021-11-19 11:30:03	38393	Сенсор № 1135; Кейс № 12306;	ftp://ftp.cloud.gcm/traffic/1135/1637297007_2021_11_19____07_43_27_027084.pcap
2021-11-19 12:00:02	38394	Сенсор № 1070; Кейс № 12307;	ftp://ftp.cloud.gcm/traffic/1070/1637303416_2021_11_19____09_30_16_665396.pcap
2021-11-19 12:30:01	38395	Сенсор № 1010; Кейс № 12308; Воздействие так же направлено на следующие адреса: 93.187.72.6	ftp://ftp.cloud.gcm/traffic/1010/1637297704_2021_11_19____07_55_04_520632.pcap
2021-11-19 13:00:01	38396	Сенсор № 1110; Кейс № 12304;	ftp://ftp.cloud.gcm/traffic/1110/1637268314_2021_11_18____23_45_14_177825.pcap
2021-11-19 14:30:02	38397	Сенсор № 1131; Кейс № 12303;	ftp://ftp.cloud.gcm/traffic/1131/1637283547_2021_11_19____03_59_07_945753.pcap
2021-11-19 16:00:02	38398	Сенсор № 1036; Кейс № 12315;	ftp://ftp.cloud.gcm/traffic/1036/1637290133_2021_11_19____05_48_53_033335.pcap
2021-11-19 16:30:02	38399	Сенсор № 1002; Кейс № 12314;	ftp://ftp.cloud.gcm/traffic/1002/1637317049_2021_11_19____13_17_29_735073.pcap
2021-11-19 17:30:02	38400	Сенсор № 1014; Кейс № 12319; Воздействие так же направлено на следующие адреса: 37.203.242.29	ftp://ftp.cloud.gcm/traffic/1014/1637280008_2021_11_19____03_00_08_784464.pcap
