дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-09-17 07:00:05	36850	Сенсор № 1070; Кейс № 9467;	ftp://ftp.cloud.gcm/traffic/1070/1631742474_2021_09_16____00_47_54_025573.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631745215_2021_09_16____01_33_35_933908.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631757993_2021_09_16____05_06_33_374069.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631790546_2021_09_16____14_09_06_637867.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631644693_2021_09_14____21_38_13_091397.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631643118_2021_09_14____21_11_58_514969.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631641551_2021_09_14____20_45_51_844820.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631634377_2021_09_14____18_46_17_333228.pcap , ftp://ftp.cloud.gcm/traffic/1070/1631616411_2021_09_14____13_46_51_354559.pcap
2021-09-17 07:00:06	36851	Сенсор № 1037; Кейс № 9659;	ftp://ftp.cloud.gcm/traffic/1037/1631811467_2021_09_16____19_57_47_296634.pcap , ftp://ftp.cloud.gcm/traffic/1037/1631765229_2021_09_16____07_07_09_495352.pcap
2021-09-17 07:00:06	36852	Сенсор № 1035; Кейс № 9644;	ftp://ftp.cloud.gcm/traffic/1035/1631742716_2021_09_16____00_51_56_404065.pcap
2021-09-17 07:00:08	36853	Сенсор № 1130; Кейс № 9660;	
2021-09-17 07:00:10	36854	Сенсор № 1061; Кейс № 9661;	ftp://ftp.cloud.gcm/traffic/1061/1631801380_2021_09_16____17_09_40_356180.pcap
2021-09-17 07:00:10	36855	Сенсор № 1139; Кейс № 9662;	ftp://ftp.cloud.gcm/traffic/1139/1631750842_2021_09_16____03_07_22_617645.pcap
2021-09-17 07:00:11	36856	Сенсор № 1030; Кейс № 9666;	ftp://ftp.cloud.gcm:21/traffic/1030/1631847722_2021_09_17____06_02_02_003229.pcap
2021-09-17 07:00:14	36857	Сенсор № 1061; Кейс № 9591;	ftp://ftp.cloud.gcm/traffic/1061/1631820068_2021_09_16____22_21_08_545377.pcap , ftp://ftp.cloud.gcm/traffic/1061/1631822882_2021_09_16____23_08_02_881562.pcap , ftp://ftp.cloud.gcm/traffic/1061/1631829948_2021_09_17____01_05_48_972629.pcap , ftp://ftp.cloud.gcm/traffic/1061/1631829951_2021_09_17____01_05_51_240289.pcap , ftp://ftp.cloud.gcm/traffic/1061/1631843921_2021_09_17____04_58_41_597738.pcap , ftp://ftp.cloud.gcm/traffic/1061/1631750410_2021_09_16____03_00_10_650981.pcap
2021-09-17 08:00:02	36858	Сенсор № 1072; Кейс № 9669; Воздействие так же направлено на следующие адреса: 91.201.211.194, 91.201.211.191, 91.201.211.193, 91.201.211.192	ftp://ftp.cloud.gcm/traffic/1072/1631844572_2021_09_17____05_09_32_571044.pcap
2021-09-17 08:00:02	36859	Сенсор № 1070; Кейс № 9671;	ftp://ftp.cloud.gcm/traffic/1070/1631844182_2021_09_17____05_03_02_248558.pcap
2021-09-17 10:30:03	36860	Сенсор № 1130; Кейс № 9664;	ftp://ftp.cloud.gcm:21/traffic/1130/1631824394_2021_09_16____23_33_14_415212.pcap
2021-09-17 13:30:02	36861	Сенсор № 1060; Кейс № 9682;	ftp://ftp.cloud.gcm/traffic/1060/1631865610_2021_09_17____11_00_10_069242.pcap
