дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-09-14 07:00:01	36784	Сенсор № 1011; Кейс № 9419; Воздействие так же направлено на следующие адреса: 10.10.3.106	ftp://ftp.cloud.gcm/traffic/1011/1631527210_2021_09_13____13_00_10_472725.pcap
2021-09-14 07:00:05	36785	Сенсор № 1071; Кейс № 9396;	ftp://ftp.cloud.gcm/traffic/1071/1631521049_2021_09_13____11_17_29_930199.pcap , ftp://ftp.cloud.gcm/traffic/1071/1631508519_2021_09_13____07_48_39_557842.pcap
2021-09-14 07:00:06	36786	Сенсор № 1017; Кейс № 9395;	ftp://ftp.cloud.gcm/traffic/1017/1631514448_2021_09_13____09_27_28_657152.pcap , ftp://ftp.cloud.gcm/traffic/1017/1631505549_2021_09_13____06_59_09_436677.pcap
2021-09-14 07:00:06	36787	Сенсор № 1037; Кейс № 9393;	ftp://ftp.cloud.gcm/traffic/1037/1631516664_2021_09_13____10_04_24_161105.pcap , ftp://ftp.cloud.gcm/traffic/1037/1631494098_2021_09_13____03_48_18_181382.pcap
2021-09-14 07:00:07	36788	Сенсор № 1036; Кейс № 9392;	ftp://ftp.cloud.gcm/traffic/1036/1631497281_2021_09_13____04_41_21_385328.pcap
2021-09-14 07:00:09	36789	Сенсор № 1059; Кейс № 9422; Воздействие так же направлено на следующие адреса: 95.173.148.242	ftp://ftp.cloud.gcm/traffic/1059/1631542465_2021_09_13____17_14_25_798792.pcap , ftp://ftp.cloud.gcm/traffic/1059/1631536441_2021_09_13____15_34_01_111578.pcap , ftp://ftp.cloud.gcm/traffic/1059/1631536375_2021_09_13____15_32_55_719740.pcap , ftp://ftp.cloud.gcm/traffic/1059/1631536074_2021_09_13____15_27_54_872414.pcap , ftp://ftp.cloud.gcm/traffic/1059/1631534422_2021_09_13____15_00_22_431861.pcap , ftp://ftp.cloud.gcm/traffic/1059/1631534023_2021_09_13____14_53_43_954713.pcap , ftp://ftp.cloud.gcm/traffic/1059/1631532397_2021_09_13____14_26_37_949561.pcap , ftp://ftp.cloud.gcm/traffic/1059/1631531059_2021_09_13____14_04_19_270990.pcap
2021-09-14 07:00:10	36790	Сенсор № 1054; Кейс № 9423;	ftp://ftp.cloud.gcm/traffic/1054/1631535145_2021_09_13____15_12_25_716740.pcap , ftp://ftp.cloud.gcm/traffic/1054/1631534410_2021_09_13____15_00_10_776249.pcap
2021-09-14 07:00:10	36791	Сенсор № 1061; Кейс № 9425;	ftp://ftp.cloud.gcm/traffic/1061/1631532098_2021_09_13____14_21_38_134947.pcap
2021-09-14 07:00:11	36792	Сенсор № 1035; Кейс № 9426;	ftp://ftp.cloud.gcm/traffic/1035/1631534071_2021_09_13____14_54_31_100978.pcap
2021-09-14 07:00:11	36793	Сенсор № 1043; Кейс № 9429;	ftp://ftp.cloud.gcm/traffic/1043/1631509121_2021_09_13____07_58_41_662286.pcap
2021-09-14 12:30:02	36794	Сенсор № 1002; Кейс № 9436; Воздействие так же направлено на следующие адреса: 95.173.128.90	ftp://ftp.cloud.gcm/traffic/1002/1631594147_2021_09_14____07_35_47_223635.pcap
2021-09-14 13:00:02	36795	Сенсор № 1039; Кейс № 9437; Воздействие так же направлено на следующие адреса: 91.222.157.5	
2021-09-14 13:00:02	36796	Сенсор № 1094; Кейс № 9250;	ftp://ftp.cloud.gcm/traffic/1094/1631113031_2021_09_08____17_57_11_149437.pcap , ftp://ftp.cloud.gcm/traffic/1094/1631113033_2021_09_08____17_57_13_496876.pcap
2021-09-14 13:00:03	36797	Сенсор № 1066; Кейс № 9256;	ftp://ftp.cloud.gcm/traffic/1066/1631164314_2021_09_09____08_11_54_467094.pcap , ftp://ftp.cloud.gcm/traffic/1066/1631154190_2021_09_09____05_23_10_371684.pcap
2021-09-14 16:00:03	36798	Сенсор № 1072; Кейс № 9445; Воздействие так же направлено на следующие адреса: 91.201.211.55, 91.201.210.24	ftp://ftp.cloud.gcm/traffic/1072/1631568748_2021_09_14____00_32_28_494568.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631570846_2021_09_14____01_07_26_049132.pcap , ftp://ftp.cloud.gcm/traffic/1072/1631569631_2021_09_14____00_47_11_493802.pcap
2021-09-14 16:30:03	36799	Сенсор № 1010сенсор № 1048сенсор № 1056сенсор № 1134сенсор № 1119; Кейс № 9443; Воздействие так же направлено на следующие адреса: 10.120.36.110, 62.148.142.3, 192.168.82.81, 178.237.206.7	ftp://ftp.cloud.gcm/traffic/1134/1631620521_2021_09_14____14_55_21_196192.pcap , ftp://ftp.cloud.gcm/traffic/1134/1631620808_2021_09_14____15_00_08_575252.pcap , ftp://ftp.cloud.gcm/traffic/1010/1631584368_2021_09_14____04_52_48_635716.pcap , ftp://ftp.cloud.gcm/traffic/1048/1631584395_2021_09_14____04_53_15_440039.pcap , ftp://ftp.cloud.gcm/traffic/1119/1631584439_2021_09_14____04_53_59_889100.pcap , ftp://ftp.cloud.gcm/traffic/1134/1631584446_2021_09_14____04_54_06_486592.pcap , ftp://ftp.cloud.gcm:21/traffic/1056/1631613982_2021_09_14____13_06_22_704942.pcap , ftp://ftp.cloud.gcm/traffic/1056/1631584402_2021_09_14____04_53_22_065819.pcap
